Drug Code,Drug Code URL,licId,Name of the drug,Name of drug (Chinese),Ingredient name/ingredient content,Gauge quantity,Single compound,Price,Effective date,Effective start date,Effective end date,Pharmacists,dosage form,Classification of medicines,Taxonomy group name,ATC code
AC58129417,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=51058129,51058129,"Tetracycline Hydrochloride Ophthalmic Ointment ""GCPC""","""人人""鹽酸四環素眼藥膏",TETRACYCLINE HCL 10 MG/GM,3.5 GM,單方,12.00,106.04.01- 迄今,106.04.01,,人人化學製藥股份有限公司,點眼膏劑,一般學名藥,"TETRACYCLINE , 眼耳鼻用軟膏 , 10.00 MG/GM , 3.50 GM",S01AA09
AC58129421,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=51058129,51058129,"Tetracycline Hydrochloride Ophthalmic Ointment ""GCPC""","""人人""鹽酸四環素眼藥膏",TETRACYCLINE HCL 10 MG/GM,5 GM,單方,16.60,111.01.01- 迄今,111.01.01,,人人化學製藥股份有限公司,點眼膏劑,一般學名藥,"TETRACYCLINE , 眼耳鼻用軟膏 , 10.00 MG/GM , 5.00 GM",S01AA09
AC58194216,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=51058194,51058194,UNVOMIT IV Injection,非吐靜脈注射液,GRANISETRON (HCL) 1 MG/ML,3 ML,單方,210.00,114.04.01- 迄今,114.04.01,,永信藥品工業股份有限公司,注射液劑,一般學名藥,"GRANISETRON , 注射劑 , 3.00 MG",A04AA02
AC60175100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=51060175,51060175,Lavitol Film Coated Tablets 2mg,好脂定膜衣錠2毫克,GRANISETRON (HCL) 1 MG/ML,3 ML,單方,210.00,114.04.01- 迄今,114.04.01,,濟生醫藥生技股份有限公司,注射劑,一般學名藥,"GRANISETRON , 注射劑 , 3.00 MG",A04AA02
BA25337100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02025337,02025337,Tulip 20mg Film coated Tablets,妥寧膜衣錠 20 毫克,ATORVASTATIN CALCIUM ANHYDROUS 20 MG,,單方,13.00,114.04.01- 迄今,114.04.01,,台灣山德士藥業股份有限公司,膜衣錠,一般學名藥,"ATORVASTATIN , 一般錠劑膠囊劑 , 20.00 MG",C10AA05
BA25797100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02025797,02025797,Robestar Sandoz Film-coated Tablets 5mg,"魯士定""山德士""膜衣錠5毫克",ROSUVASTATIN CALCIUM 5 MG,,單方,6.90,114.04.01- 迄今,114.04.01,,台灣山德士藥業股份有限公司,膜衣錠,一般學名藥,"ROSUVASTATIN , 一般錠劑膠囊劑 , 5.00 MG",C10AA07
BC23737100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02023737,02023737,MYFORTIC 180MG GASTRO-RESISTANT TABLETS,睦體康１８０毫克腸衣錠,MYCOPHENOLIC ACID 180 MG,,單方,42.50,113.04.01- 迄今,113.04.01,,台灣諾華股份有限公司,腸溶膜衣錠,研發廠,"MYCOPHENOLIC ACID , 一般錠劑膠囊劑 , 180.00 MG",L04AA06
BC23738100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02023738,02023738,MYFORTIC 360MG GASTRO-RESISTANT TABLETS,睦體康３６０毫克腸衣錠,SODIUM MYCOPHENOLATE 360 MG,,單方,84.00,108.04.01- 迄今,108.04.01,,台灣諾華股份有限公司,腸溶膜衣錠,研發廠,"MYCOPHENOLIC ACID , 一般錠劑膠囊劑 , 360.00 MG",L04AA06
BC23964453,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02023964,02023964,OTOZAMBON EAR DROPS,耳多贊邦點耳液劑,POLYMYXIN B SULFATE 10000 IU/ML NEOMYCIN SULFATE 5 MG/ML LIDOCAINE HCL 40 MG/ML,8 ML,複方,100.00,108.04.01- 迄今,108.04.01,,幸生實業股份有限公司,點耳液劑,一般學名藥,"LIDOCAINE 40MG/ML + NEOMYCIN 5MG/ML + POLYMYXIN 10KIU/ML, 耳鼻用液劑, 8.00ML",S02AA30
BC23970100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02023970,02023970,SIMVAHEXAL FILM-COATED TABLETS 20MG,喜克脂膜衣錠20毫克,SIMVASTATIN 20 MG,,單方,2.93,113.04.01- 迄今,113.04.01,,台灣山德士藥業股份有限公司,膜衣錠,BA/BE學名藥,"SIMVASTATIN , 一般錠劑膠囊劑 , 20.00 MG",C10AA01
BC24041277,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02024041,02024041,GELOFUSINE,"""柏朗"" 佳樂施 注射液",SODIUM CHLORIDE 7.01 MG/ML GELATIN SUCCINYLATED 40 MG/ML,500 ML,複方,204.00,111.01.01- 迄今,111.01.01,,台灣柏朗股份有限公司,注射劑,一般學名藥,"SUCCINYLATED GELATIN , 注射劑 , 40.00 MG/ML , 500.00 ML",B05AA06
BC24129100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02024129,02024129,CRESTOR 20MG FILM-COATED TABLETS,冠脂妥膜衣錠20毫克,ROSUVASTATIN CALCIUM 20 MG,,單方,13.70,114.04.01- 迄今,114.04.01,,臺灣阿斯特捷利康股份有限公司,膜衣錠,研發廠,"ROSUVASTATIN , 一般錠劑膠囊劑 , 20.00 MG",C10AA07
BC24131100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02024131,02024131,CRESTOR 10MG FILM-COATED TABLETS,冠脂妥膜衣錠10毫克,ROSUVASTATIN CALCIUM 10 MG,,單方,10.30,114.04.01- 迄今,114.04.01,,臺灣阿斯特捷利康股份有限公司,膜衣錠,研發廠,"ROSUVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA07
BC24215100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02024215,02024215,CELLCEPT F.C. TABLETS 500MG,山喜多膜衣錠500毫克,MYCOPHENOLATE MOFETIL 500 MG,,單方,77.00,114.04.01- 迄今,114.04.01,,羅氏大藥廠股份有限公司,膜衣錠,研發廠,"MYCOPHENOLATE MOFETIL , 一般錠劑膠囊劑 , 500.00 MG",L04AA06
BC24443248,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=02024443,02024443,Tygacil (Tigecycline) 50mg Lyophilized Powder,老虎黴素凍晶注射劑50毫克,TIGECYCLINE 50 MG,,單方,11.00,114.04.01- 迄今,114.04.01,,台田藥品股份有限公司,膜衣錠,研發廠,"PITAVASTATIN , 一般錠劑膠囊劑 , 2.00 MG",C10AA08
BC28528100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=52028528,52028528,Febuxostat Sandoz Film-Coated Tablets 80mg,"法布特""山德士""膜衣錠80毫克",Febuxostat 80 MG,,單方,10.50,114.04.01- 迄今,114.04.01,,台灣山德士藥業股份有限公司,膜衣錠,一般學名藥,"FEBUXOSTAT , 一般錠劑膠囊劑, 80MG",M04AA03
BC285221G6,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=52028522,52028522,Thyrocure tablets 25 mcg,法佐甲錠25微公克,LEVOTHYROXINE SODIUM 0.03 MG,,單方,2.00,113.08.01- 迄今,113.08.01,,法諾亞生技藥品股份有限公司,膜衣錠,一般學名藥,"ATORVASTATIN , 一般錠劑膠囊劑 , 10.00 MG",C10AA05
NC011091G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=12001109,12001109,"THYROID TABLETS 64MG ""JOHNSON""","""強生""甲狀腺錠64毫克",THYROID 64 MG,,單方,2.00,100.12.01- 迄今,100.12.01,,強生化學製藥廠股份有限公司,錠劑,一般學名藥,"THYROID , 一般錠劑膠囊劑 , 64.00 MG",H03AA05
NC056161G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=12005616,12005616,"Winsumin F.C. Tablets 25mg ""JOHNSON""","""強生""穩舒眠膜衣錠25毫克",CHLORPROMAZINE 25 MG,,單方,2.00,101.02.01- 迄今,101.02.01,,強生化學製藥廠股份有限公司,膜衣錠,一般學名藥,"CHLORPROMAZINE , 一般錠劑膠囊劑 , 25.00 MG",N05AA01
NC05874100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=12005874,12005874,"HYDROCHLOROTHIAZIDE TABLETS ""N.C.P.""",利壓腫錠,HYDROCHLOROTHIAZIDE 25 MG,,單方,1.50,106.12.01- 迄今,106.12.01,,新喜國際企業股份有限公司,錠劑,一般學名藥,"HYDROCHLOROTHIAZIDE , 一般錠劑膠囊劑 , 25.00 MG",C03AA03
X000037100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=000037,000037,CYSTAGON CAP. 150MG,CYSTAGON CAP. 150MG,CYSTEAMINE BITARTRATE 150 MG,,單方,81.00,113.10.01- 迄今,113.10.01,,科懋生物科技股份有限公司,膠囊劑,一般學名藥,"CYSTEAMINE , 一般錠劑膠囊劑 , 150.00 MG",A16AA04
X000334229,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=000334,000334,CALCIUM GLUCONATE LARUTAN INJEKSI IM/IV 10％,Calcium Gluconate Larutan injeksi IM/IV 10％,CALCIUM GLUCONATE 100 MG/ML,10 ML,單方,28.00,114.10.17- 116.01.31,114.10.17,116.01.31,新熠有限公司,注射劑,一般學名藥,"CALCIUM GLUCONATE , 注射劑 , 1.00 GM",A12AA03
A005225100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01005225,01005225,COLCHICINE TABLETS,癒風錠,COLCHICINE 0.5 MG,,單方,0.99,103.07.01- 迄今,103.07.01,,國信藥品股份有限公司,錠劑,一般學名藥,"COLCHICINE , 一般錠劑膠囊劑 , 500-650 MCG",M04AC01
A007443323,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01007443,01007443,"PARACORT OINTMENT ""H.L.""","""華琳""濕膚克寧軟膏",FLUOCINOLONE ACETONIDE 0.25 MG/GM,6 GM,單方,22.30,114.04.01- 迄今,114.04.01,,華琳實業有限公司,軟膏劑,一般學名藥,"FLUOCINOLONE , 外用軟膏劑 , 0.25 MG/GM , 6.00 GM",D07AC04
A009983100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009983,01009983,CYASIN S.C. TABLETS,"""豐田""即安心糖衣錠",DIPYRIDAMOLE 25 MG,,單方,0.90,103.07.01- 迄今,103.07.01,,豐田藥品股份有限公司,糖衣錠,一般學名藥,"DIPYRIDAMOLE , 一般錠劑膠囊劑 , 25.00 MG",B01AC07
A0099831G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009983,01009983,CYASIN S.C. TABLETS,"""豐田""即安心糖衣錠",DIPYRIDAMOLE 25 MG,,單方,1.50,97.08.01- 迄今,97.08.01,,豐田藥品股份有限公司,糖衣錠,一般學名藥,"DIPYRIDAMOLE , 一般錠劑膠囊劑 , 25.00 MG",B01AC07
A011081321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01011081,01011081,"BENISON CREAM 0.1％ ""GENTLE""",必汝爽水溶性軟膏０．１％,BETAMETHASONE (VALERATE) 1 MG/GM,5 GM,單方,11.70,113.04.01- 迄今,113.04.01,,政德製藥股份有限公司,乳膏劑,一般學名藥,"BETAMETHASONE (VALERATE) , 外用軟膏劑 , 1.00 MG/GM , 5.00 GM",D07AC01
A011564335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01011564,01011564,"WANTACORT CREAM ""W.T.""",萬達康親水性軟膏,FLUOCINOLONE ACETONIDE 0.25 MG/GM,15 GM,單方,50.00,114.04.01- 迄今,114.04.01,,萬春藥業股份有限公司,軟膏劑,一般學名藥,"FLUOCINOLONE , 外用軟膏劑 , 0.25 MG/GM , 15.00 GM",D07AC04
A017014321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017014,01017014,"FLUDEX CREAM (FLUOCINONIDE) ""CBC""","""中生"" 膚得適乳膏",FLUOCINONIDE 0.5 MG/GM,5 GM,單方,29.00,114.04.01- 迄今,114.04.01,,中生生技製藥股份有限公司淡水廠,乳膏劑,一般學名藥,"FLUOCINONIDE , 外用軟膏劑 , 0.50 MG/GM , 5.00 GM",D07AC08
A017014329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017014,01017014,"FLUDEX CREAM (FLUOCINONIDE) ""CBC""","""中生"" 膚得適乳膏",FLUOCINONIDE 0.5 MG/GM,10 GM,單方,39.20,114.04.01- 迄今,114.04.01,,中生生技製藥股份有限公司淡水廠,乳膏劑,一般學名藥,"FLUOCINONIDE , 外用軟膏劑 , 0.50 MG/GM , 10.00 GM",D07AC08
A020296321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020296,01020296,WINSOLVE ANTIFUNGAL CREAM,允消無黴乳膏,MICONAZOLE NITRATE 20 MG/GM,5 GM,單方,20.50,103.07.01- 迄今,103.07.01,,永信藥品工業股份有限公司,乳膏劑,一般學名藥,"MICONAZOLE , 外用軟膏劑 , 20.00 MG/GM , 5.00 GM",D01AC02
A020296329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020296,01020296,WINSOLVE ANTIFUNGAL CREAM,允消無黴乳膏,MICONAZOLE NITRATE 20 MG/GM,10 GM,單方,34.00,113.04.01- 迄今,113.04.01,,永信藥品工業股份有限公司,乳膏劑,一般學名藥,"MICONAZOLE , 外用軟膏劑 , 20.00 MG/GM , 10.00 GM",D01AC02
A020613100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020613,01020613,"CLONIDINE TABLETS ""H.H.""","""華興""降達錠",CLONIDINE HCL 0.15 MG,,單方,1.00,105.04.01- 迄今,105.04.01,,華興化學製藥廠股份有限公司,錠劑,一般學名藥,"CLONIDINE , 一般錠劑膠囊劑 , 150.00 MCG",C02AC01
A0214801G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021480,01021480,"CLONIDINE TABLETS ""SWISS""","""瑞士"" 固樂平錠（降達）",CLONIDINE HCL 0.15 MG,,單方,1.50,98.05.01- 迄今,98.05.01,,瑞士藥廠股份有限公司,錠劑,一般學名藥,"CLONIDINE , 一般錠劑膠囊劑 , 150.00 MCG",C02AC01
A021853329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021853,01021853,"DAFRIN CREAM ""SWISS"" (MICONAZOLE)","""瑞士"" 達膚寧乳膏（邁可那挫）",MICONAZOLE NITRATE 20 MG/GM,10 GM,單方,34.00,113.04.01- 迄今,113.04.01,,瑞士藥廠股份有限公司,乳膏劑,一般學名藥,"MICONAZOLE , 外用軟膏劑 , 20.00 MG/GM , 10.00 GM",D01AC02
A021887417,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021887,01021887,LECORTIN ORAL BASE (TRIAMCINOLONE),利口炎口內膏（安西諾隆）,TRIAMCINOLONE (ACETONIDE) 1 MG/GM,3.5 GM,單方,21.10,113.04.01- 迄今,113.04.01,,新瑞生物科技股份有限公司,口內膏,一般學名藥,"TRIAMCINOLONE , 口內膏 , 1.00 MG/GM , 3.50 GM",A01AC01
A021887423,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021887,01021887,LECORTIN ORAL BASE (TRIAMCINOLONE),利口炎口內膏（安西諾隆）,TRIAMCINOLONE (ACETONIDE) 1 MG/GM,6 GM,單方,34.90,113.04.01- 迄今,113.04.01,,新瑞生物科技股份有限公司,口內膏,一般學名藥,"TRIAMCINOLONE , 口內膏 , 1.00 MG/GM , 6.00 GM",A01AC01
A022077100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022077,01022077,"COLCHICINE TABLETS ""N.Y.""","""紐約""秋水仙鹼錠",COLCHICINE 0.65 MG,,單方,0.99,103.07.01- 迄今,103.07.01,,人人化學製藥股份有限公司,錠劑,一般學名藥,"COLCHICINE , 一般錠劑膠囊劑 , 500-650 MCG",M04AC01
A022525321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022525,01022525,"CLOMELON CREAM (CLOTRIMAZOLE) ""GENTLE""","""政德""克黴朗乳膏（克氯黴唑）",CLOTRIMAZOLE 10 MG/GM,5 GM,單方,8.40,109.10.01- 迄今,109.10.01,,政德製藥股份有限公司,乳膏劑,一般學名藥,"CLOTRIMAZOLE , 外用軟膏劑 , 10.00 MG/GM , 5.00 GM",D01AC01
A022686329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022686,01022686,CLOMAZOLE CREAM 1％ (CLOTRIMAZOLE),"""榮民"" 克黴樂乳膏１％（克催瑪汝）",CLOTRIMAZOLE 10 MG/GM,10 GM,單方,14.50,113.04.01- 迄今,113.04.01,,榮民製藥股份有限公司,乳膏劑,一般學名藥,"CLOTRIMAZOLE , 外用軟膏劑 , 10.00 MG/GM , 10.00 GM",D01AC01
A023035321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023035,01023035,"GYNO-MYCODERIN CREAM (MICONAZOLE) ""BOWLIN""",可寧陰道乳膏（邁可那挫）,MICONAZOLE NITRATE 20 MG/GM,5 GM,單方,20.50,103.07.01- 迄今,103.07.01,,寶齡富錦生技股份有限公司,乳膏劑,一般學名藥,"MICONAZOLE , 外用軟膏劑 , 20.00 MG/GM , 5.00 GM",D01AC02
A023115335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023115,01023115,CLOMAZOLE SPRAY SOLUTION 1％ (CLOTRIMAZOLE).,"""榮民"" 克黴樂噴霧液１％（克催瑪汝）．",CLOTRIMAZOLE 10 MG/ML,15 ML,單方,45.00,103.07.01- 迄今,103.07.01,,榮民製藥股份有限公司,外用液劑,一般學名藥,"CLOTRIMAZOLE , 外用液劑 , 10.00 MG/ML , 15.00 ML",D01AC01
A023687321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023687,01023687,"FUDELIN CREAM (FLUOCINONIDE)""L.S.""","""龍杏""膚得寧乳膏（氟欣諾能）",FLUOCINONIDE 0.5 MG/GM,5 GM,單方,29.00,114.04.01- 迄今,114.04.01,,龍杏生技製藥股份有限公司,乳膏劑,一般學名藥,"FLUOCINONIDE , 外用軟膏劑 , 0.50 MG/GM , 5.00 GM",D07AC08
A024225338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024225,01024225,"WHITE CLOUD OINTMENT ""C.H."" (FLUOCINONIDE)","""正和"" 白雲軟膏（氟欣諾能）",FLUOCINONIDE 0.5 MG/GM,20 GM,單方,77.00,114.04.01- 迄今,114.04.01,,正和製藥股份有限公司新營廠,軟膏劑,一般學名藥,"FLUOCINONIDE , 外用軟膏劑 , 0.50 MG/GM , 20.00 GM",D07AC08
A024878321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024878,01024878,"PERICON CREAM ""F.B""","""富邦""皮利康乳膏",ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,5 GM,複方,10.10,113.04.01- 迄今,113.04.01,,富邦藥品有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 5.00GM",D01AC20
A024878335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024878,01024878,"PERICON CREAM ""F.B""","""富邦""皮利康乳膏",ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,15 GM,複方,22.20,111.01.01- 迄今,111.01.01,,富邦藥品有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 15.00GM",D01AC20
A025136321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025136,01025136,"MYCOSTEN CREAM 10MG/GM ""SINPHAR""(CLOTRIMAZOLE)","""杏輝""黴克頓乳膏10毫克/公克（克氯黴唑）",CLOTRIMAZOLE 10 MG/GM,5 GM,單方,8.40,109.10.01- 迄今,109.10.01,,杏輝藥品工業股份有限公司,乳膏劑,一般學名藥,"CLOTRIMAZOLE , 外用軟膏劑 , 10.00 MG/GM , 5.00 GM",D01AC01
A025136329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025136,01025136,"MYCOSTEN CREAM 10MG/GM ""SINPHAR""(CLOTRIMAZOLE)","""杏輝""黴克頓乳膏10毫克/公克（克氯黴唑）",CLOTRIMAZOLE 10 MG/GM,10 GM,單方,14.50,113.04.01- 迄今,113.04.01,,杏輝藥品工業股份有限公司,乳膏劑,一般學名藥,"CLOTRIMAZOLE , 外用軟膏劑 , 10.00 MG/GM , 10.00 GM",D01AC01
A0252021G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025202,01025202,FELCAM CAPSULES 10MG (PIROXICAM),"""皇佳"" 痛普治膠囊１０毫克（匹洛卡）",PIROXICAM 10 MG,,單方,1.50,99.06.01- 迄今,99.06.01,,皇佳化學製藥股份有限公司,膠囊劑,一般學名藥,"PIROXICAM , 一般錠劑膠囊劑 , 10.00 MG",M01AC01
A025310100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025310,01025310,FUROKAN CAPSULES (PIROXICAM),復而康膠囊（匹洛卡）,PIROXICAM 10 MG,,單方,1.00,108.04.01- 迄今,108.04.01,,台灣陽生製藥工業股份有限公司,膠囊劑,一般學名藥,"PIROXICAM , 一般錠劑膠囊劑 , 10.00 MG",M01AC01
A025431100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025431,01025431,"DIPYRIDAMOLE S.C. TABLETS 75MG""Oriental""","""東洲""奧力舒心糖衣錠７５公絲（待匹力達）",DIPYRIDAMOLE 75 MG,,單方,1.38,107.05.01- 迄今,107.05.01,,東洲化學製藥廠股份有限公司,糖衣錠,一般學名藥,"DIPYRIDAMOLE , 一般錠劑膠囊劑 , 75.00 MG",B01AC07
A023533329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023533,01023533,"FUNGICIDE CREAM (CLOTRIMAZOLE) ""ROYAL""","""信隆""必得康膠囊１０毫克（匹若卡）",PIROXICAM 10 MG,,單方,1.50,97.11.01- 迄今,97.11.01,,信隆藥品工業股份有限公司,膠囊劑,一般學名藥,"PIROXICAM , 一般錠劑膠囊劑 , 10.00 MG",M01AC01
A025883335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025883,01025883,"Nail Fungus FAPG Cream ""M.D.""","""美的"" 灰甲淨藥用乳膏",MICONAZOLE NITRATE 20 MG/GM HYDROCORTISONE 10 MG/GM,15 GM,複方,91.00,89.02.01- 迄今,89.02.01,,美的生物科技有限公司,乳膏劑,一般學名藥,"HYDROCORTISONE 10MG/GM + MICONAZOLE 20MG/GM, 外用軟膏劑, 15.00GM",D01AC20
A026338329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026338,01026338,"CEFUL CREAM ""S.C.""",適膚乳膏,MICONAZOLE NITRATE 20 MG HYDROCORTISONE 10 MG,10 GM,複方,36.00,106.04.01- 迄今,106.04.01,,十全實業股份有限公司,乳膏劑,一般學名藥,"HYDROCORTISONE 10MG/GM + MICONAZOLE 20MG/GM, 外用軟膏劑, 10.00GM",D01AC20
A026770100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026770,01026770,PERSANTINE S.C. TABLETS 25MG,血栓淨糖衣錠25毫克(待匹力達),DIPYRIDAMOLE 25 MG,,單方,0.90,103.07.01- 迄今,103.07.01,,華樺生技藥品股份有限公司,糖衣錠,一般學名藥,"DIPYRIDAMOLE , 一般錠劑膠囊劑 , 25.00 MG",B01AC07
A026906321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026906,01026906,EPISONE CREAM,益必爽乳膏,ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE (ACETONIDE) 1 MG/GM,5 GM,複方,10.20,113.04.01- 迄今,113.04.01,,健喬信元醫藥生技股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 5.00GM",D01AC20
A026906329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026906,01026906,EPISONE CREAM,益必爽乳膏,ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE (ACETONIDE) 1 MG/GM,10 GM,複方,17.40,113.04.01- 迄今,113.04.01,,健喬信元醫藥生技股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 10.00GM",D01AC20
A026906335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026906,01026906,EPISONE CREAM,益必爽乳膏,ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,15 GM,複方,22.20,111.01.01- 迄今,111.01.01,,健喬信元醫藥生技股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 15.00GM",D01AC20
A027146321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027146,01027146,"FU-KONG CREAM ""T.L.B""",膚康乳膏〝天良〞,ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,5 GM,複方,9.70,109.10.01- 迄今,109.10.01,,天良生物科技企業股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 5.00GM",D01AC20
A027146335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027146,01027146,"FU-KONG CREAM ""T.L.B""",膚康乳膏〝天良〞,ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,15 GM,複方,22.20,111.01.01- 迄今,111.01.01,,天良生物科技企業股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 15.00GM",D01AC20
A029217329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01029217,01029217,"ANTIFUNGUO CREAM ""T.F.""","""大豐""抗黴菌乳膏",ECONAZOLE NITRATE 10 MG/GM TRIAMCINOLONE ACETONIDE 1 MG/GM,10 GM,複方,17.40,113.04.01- 迄今,113.04.01,,大豐製藥股份有限公司,乳膏劑,一般學名藥,"TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM, 外用軟膏劑, 10.00GM",D01AC20
