IDLicitacion,NombreLicitacion,Tipo,Estado,FechaPublicacion,Descripcion,Moneda,TipoPresupuesto,TipoMonto,MontoLicitacion,Organismo
3736-42-LE25,ADQUISICION EQUIPOS ACCES. COMP. Y DE IMPRESION    - Readjudicada en Id 3736-42-R125,LE,Adjudicada a uno o varios proveedores,23/06/2025 11:08:12,"ADQUISICION DE EQUIPOS, ACCESORIOS COMPUTACIONALES E INSUMOS DE IMPRESION PARA LAS ESCUELAS JOSE ABELARDO NUÑEZ, LAS CIENAGASY NIVEQUETEN, FONDOS  SEP. SEGÚN D.A. N°6.311 DE FECHA 16/06/2025 QUE APRUEBA BASES",CLP,PUBLICADO,DISPONIBLE,15.500.000,I MUNICIPALIDAD DE LAJA
2745-12-LE25,Reparaciones y Declaraciones de Inst. de Gas - Readjudicada en Id 2745-12-R125,LE,Adjudicada a uno o varios proveedores,22/07/2025 17:57:48,"Tienen como objetivo regular la contratación de los servicios de reparación y declaración de instalaciones de gas, necesarios para la obtención del Sello Verde para los diferentes establecimientos educacionales, garantizando el cumplimiento de la normativa vigente en seguridad, calidad y certificación de instalaciones de GLP.",CLP,PUBLICADO,ESTIMADO,16.627.216,I MUNICIPALIDAD DE ANGOL
5048-14-O125,"EI CONSTRUCCIÓN ENLACE CARELMAPU,ACCESO NTE CHACAO",O1,Adjudicada a uno o varios proveedores,08/04/2025 18:29:00,El estudio de ingeniería considera el proyecto de una pista de acceso y estacionamiento para empalmar con el acceso a edificio Réplica del Puente Chacao y una obra de atravieso,CLP,NO PUBLICADO,NO ES POSIBLE DE ESTIMAR,No público,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
4401-67-LE25,sc 837 INSUMOS ESTERILIZACIÓN,LE,Adjudicada a uno o varios proveedores,30/07/2025 13:32:24,SE REQUIERE ADQUIRIR INSUMOS ESTERILIZACIÓN,CLP,PUBLICADO,DISPONIBLE,8.000.000,I MUNICIPALIDAD DE SAN CLEMENTE
621-505-LR25,EVEROLIMUS 075 MG CMCM REC 1000021130,LR,Adjudicada a uno o varios proveedores,05/05/2025 12:53:31,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,1.802.881.761,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
621-574-LR25,SODIO CLORURO 09% SOL INY IV AM 5 ML 1000021203,LR,Adjudicada a uno o varios proveedores,19/05/2025 10:59:07,"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD",CLP,PUBLICADO,ESTIMADO,433.125.075,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD
4322-14-LE25,CORREOS ELECTRÓNICOS CORPORATIVOS,LE,Adjudicada a uno o varios proveedores,23/07/2025 15:05:00,Servicios de Correos Electrónicos Corporativos para la Municipalidad y su Departamento de Salud,CLP,PUBLICADO,DISPONIBLE,34.450.000,I MUNICIPALIDAD DE PERQUENCO
2674-68-LE25,PRODUCCION ACTIVIDAD MES DEL NIÑO 16.08.2025,LE,Adjudicada a uno o varios proveedores,05/08/2025 16:32:27,PRODUCCION ACTIVIDAD MES DEL NIÑO 16.08.2025,CLP,PUBLICADO,DISPONIBLE,25.900.000,ILUSTRE MUNICIPALIDAD DE MELIPILLA
4377-58-LE25,MODULO TIPO CONTAINER DE 20 PIES MÁS TRASLADO.-,LE,Adjudicada a uno o varios proveedores,21/07/2025 17:31:40,MODULO TIPO CONTAINER DE 20 PIES MÁS TRASLADO EN LA COMUNA DE SAN ROSENDO.-,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE SAN ROSENDO
905-18-LE25,Servicios médicos veterinarios de apoyo a Brucelosis ,LE,Adjudicada a uno o varios proveedores,14/07/2025 18:33:29,"Servicios médicos veterinarios para apoyo al programa de Control y Erradicación de Brucelosis Bovina en la Región O´Higgins, bajo la modalidad de suministro por un período de 05 meses, para Oficinas Sectoriales Rancagua, San Vicente T.T., San Fernando y Santa Cruz.",CLP,PUBLICADO,DISPONIBLE,19.139.274,SERVICIO AGRICOLA Y GANADERO
1087-3-LE25,Adquisicion equipamiento FNDR Cod. BIP 40051104-0,LE,Adjudicada a uno o varios proveedores,24/07/2025 17:06:49,La Corporación requiere adquirir equipamiento tecnológico y de trabajo para las brigadas de UPRIF según lo refrendado en Convenio CONAF-FNDR Cod. BIP 40051104-0.,CLP,PUBLICADO,DISPONIBLE,22.577.947,CORP NACIONAL FORESTAL
2591-117-LE25,Servicio de reparación del Camión Recolector,LE,Adjudicada a uno o varios proveedores,14/07/2025 12:49:16,"Servicio de reparación del Camión Recolector de Residuos Domiciliarios, Patente  JBHF-94, perteneciente a la Dirección de Dimao, el cual presta servicio en las  localidades de La Tirana y La Huayca, comuna de Pozo Almonte. Solicitud N817, factibilidad N748, codigo de intranet N7077",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,ILUSTRE MUNICIPALIDAD DE POZO ALMONTE
837-46-LP25,SC 239 - SERV DE ASEO SML NUEVO ED INSTITUCIONAL,LP,Adjudicada a uno o varios proveedores,14/05/2025 12:23:00,"SC 239 - SERVICIO DE ASEO PARA EL SERVICIO MÉDICO LEGAL DE SANTIAGO – NUEVO EDIFICIO INSTITUCIONAL. POR UN PERIODO DE 6 MESES. UBICADA EN CALLE ISABEL RIQUELME N.º 1699, COMUNA DE PEDRO AGUIRRE CERDA, SANTIAGO.",CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 1.000 UTM e inferior a 2.000 UTM,SERVICIO MEDICO LEGAL
3509-26-LE25,MANTENCION SALA BOMBAS DE AGUA POTABLE DPTO. SALUD,LE,Adjudicada a uno o varios proveedores,24/07/2025 16:10:00,"El Departamento de Salud de la Municipalidad mediante requerimiento Nº624 de fecha 10 de junio de 2025, solicita la contratación para el servicio de mantenimiento y reparación de sala de bombas, tableros eléctricos, hydropack, piping, estanques de agua potable y pintado de estanques de agua en dependencias del departamento de salud, con el objetivo de mantener en correcto funcionamiento los estanques de agua potable que suministran a las Postas Rurales, Estación Medico Rurales y centros de salud.",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE ILLAPEL
1698-27-LE25,Reparación de cubierta Corte de Apelaciones,LE,Adjudicada a uno o varios proveedores,29/05/2025 14:58:37,Reparación de cubierta Corte de Apelaciones de La Serena,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,CORP ADMINISTRATIVA DEL PODER JUDICIAL
5067-139-L125,Adquisición de productos de limpieza /CDP 84457 CC 035  - Readjudicada en Id 5067-139-R125,L1,Adjudicada a uno o varios proveedores,24/07/2025 17:06:58,"Compra de productos de limpieza, sanitización y aseo especializados para la Unidad de Servicios Alimentarios.",CLP,PUBLICADO,DISPONIBLE,5.078.000,UNIVERSIDAD DE SANTIAGO DE CHILE
1532-21-LP25,Ecocardiografo para unidad de imagenologia,LP,Adjudicada a uno o varios proveedores,08/04/2025 12:48:00,Ecocardiografo para unidad de imagenología,CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 1.000 UTM e inferior a 2.000 UTM,CENTRO REFERENCIAL DE SALUD DR SALVADOR ALLENDE GOSSENS
2279-69-LE25,SP 565 SERVICIO DE ARRIENDO DE CONTENEDOR ,LE,Adjudicada a uno o varios proveedores,10/07/2025 16:01:25,Se requiere la contratación del Servicio de Arriendo de Contenedor tipo Camarines para deportistas según lo solicitado en especificaciones técnicas,CLP,PUBLICADO,DISPONIBLE,10.500.000,MUNICIPALIDAD DE PUDAHUEL
5586-124-LE25,JG ADQ. DE TRIPODES PARA EL INSTITUTO DE INFORMÁTICA EDUCATIVA DE LA UNIVERSIDAD DE LA FRONTERA,LE,Adjudicada a uno o varios proveedores,25/07/2025 13:08:52,LICITACION POR LINEA: ADQUISICIÓN DE TRIPODES PARA EL INSTITUTO DE INFORMÁTICA EDUCATIVA DE LA UNIVERSIDAD DE LA FRONTERA,CLP,PUBLICADO,DISPONIBLE,28.000.000,UNIVERSIDAD DE LA FRONTERA
188-64-LE25,ADQUISICIÓN COMPLEJO B - COMUDEF,LE,Adjudicada a uno o varios proveedores,30/07/2025 17:05:04,"SUMINISTRO, POR 12 MESES, DE COMPLEJO B INYECTABLE PARA LA CORPORACIÓN MUNICIPAL DE LA FLORIDA - COMUDEF”, cuyo objeto es garantizar el abastecimiento de Complejo Vitamínico B, asegurando la continuidad de la estrategia de suplementación dirigida a adultos mayores y personas mayores de 50 años, en el marco de las políticas de salud preventiva implementadas por la Municipalidad de La Florida. La presente contratación permitirá la adquisición y distribución del suplemento en operativos comunales estratégicos, garantizando el acceso equitativo y oportuno a una intervención nutricional que promueve el envejecimiento saludable y fortalece el bienestar integral de los beneficiarios.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,CORP MUNICIPAL DE EDUC SALUD CULTURA Y RECREACION DE LA FLORIDA
5300-19-LE25,MEJORAMIENTO CUBIERTA CENTRO CULTURAL CASABLANCA,LE,Adjudicada a uno o varios proveedores,02/07/2025 09:07:15,"La necesidad de llamar a Licitación Pública para la ejecución del proyecto denominado “ MEJORAMIENTO CUBIERTA CENTRO CULTURAL CASABLANCA””, financiado a través del presupuesto Municipal año 2025.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE CASABLANCA
1469-174-L125,SERVICIOS DE ALOJAMIENTO EN SANTIAGO PARA LA UNIVERSIDAD DE TALCA,L1,Adjudicada a uno o varios proveedores,08/08/2025 11:44:53,"Disponer del suministro de Servicios de Alojamiento en Santiago por cuanto resulta ser indispensables para el quehacer universitario considerando la gran magnitud de actividades, sobre todo académicas, que la Universidad desarrolla de manera frecuente en las que distintos funcionarios deben pernoctar en lugares a los cuales deben acudir por concepto de viajes enmarcados dentro de una actividad laboral relacionada con el ejercicio de sus funciones.",CLP,PUBLICADO,ESTIMADO,6.864.690,UNIVERSIDAD DE TALCA
2354-18-LE25,SERVICIO DE PRODUCCIÓN BINGOS LOS QUE PASARON AGOSTO 2025,LE,Adjudicada a uno o varios proveedores,30/07/2025 10:01:09,"La Ilustre Municipalidad de Punta Arenas, a través de la Dirección de Desarrollo Comunitario, requiere contratar un Servicio de Producción de Eventos, para la realización de “Bingo  Los que pasaron agosto 2025 para adultos mayores de la comuna, a realizarse el día 2 de septiembre del 2025.",CLP,PUBLICADO,DISPONIBLE,16.000.000,I MUNICIPALIDAD DE PUNTA ARENAS
3958-59-L125,MONITOR/A DE TALLER DE CIENCIAS PARA ESCUELA FRANCISCO CHÁVEZ CIFUENTES,L1,Adjudicada a uno o varios proveedores,22/07/2025 12:12:16,"DAEM de la Ilustre Municipalidad de Navidad, requiere adquirir el servicio de Monitor/a de taller de Ciencias para Escuela Francisco Chávez Cifuentes, para los meses de agosto, septiembre, octubre, noviembre y diciembre de 2025.",CLP,PUBLICADO,DISPONIBLE,945.000,I MUNICIPALIDAD DE NAVIDAD
3053-5-R125,Adquisición de Mobiliario para Municipalidad de San Pedro de Atacama,LE,Adjudicada a uno o varios proveedores,19/06/2025 21:50:10,"La Ilustre Municipalidad de San Pedro de Atacama invita a participar en el proceso de licitación pública para la Adquisición de Mobiliario para Municipalidad de San Pedro de Atacama, con el objetivo de mejorar la funcionalidad operativa, ergonomía, durabilidad y la imagen institucional en las áreas de trabajo.",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA
4686-24-LE25,Renovación de Enlace de Internet Secundario,LE,Adjudicada a uno o varios proveedores,04/07/2025 12:31:30,"La Cámara de Diputados de Chile, llama a licitación públic, para “Renovación de Enlace de Internet secundario por 24 meses para la Cámara de Diputadas y Diputados”, en los términos y condiciones establecidos en el presente instrumento.",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,Cámara de Diputados de Chile
2766-59-L125,Medicamentos amlodipino atorvastatina metformina,L1,Adjudicada a uno o varios proveedores,04/08/2025 11:05:00,Abastecer de medicamentos las farmacias de los Cesfam.,CLP,NO PUBLICADO,ESTIMADO,Menor a 100 UTM,I MUNICIPALIDAD DE LA CISTERNA
2307-28-LP25,CONVENIO DE SUMINISTRO DISPOSITIVOS DENTALES Y PRODUCTOS FARMACÉUTICOS DE USO DENTAL REQ.2233,LP,Adjudicada a uno o varios proveedores,23/04/2025 11:59:22,"La Ilustre Municipalidad de Osorno a través de su Departamento de Salud requiere la realización de un Convenio de Suministro de Dispositivos Dentales y Productos Farmacéuticos para los correspondientes Centros de Salud dependientes del Departamento de Salud Municipal, con el fin de dar cumplimiento a los tratamientos de los usuarios de la Red, por un periodo de 18 meses según solicitud N°2.233.",CLP,PUBLICADO,DISPONIBLE,294.621.058,I MUNICIPALIDAD DE OSORNO
2042-5-LE25,Construcción Sala de Estar Municipal,LE,Adjudicada a uno o varios proveedores,19/06/2025 15:38:00,Contratar servicios de construcción sala de estar municipal según antecedentes técnicos,CLP,PUBLICADO,DISPONIBLE,40.000.000,Ilustre Municipalidad de Tortel
1004823-23-LE25,SUMINISTROS DE EQUIPOS INSUMOS Y MATERIALES DE USO DOCENTE DE LA CARRERA DE TÉCNICO DE NIVEL SUPERIOR EN ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA DEL CENTRO DE FORMACIÓN TÉCNICA ESTATAL DE LA REGIÓN DE COQUIMBO,LE,Adjudicada a uno o varios proveedores,01/08/2025 13:23:19,"SUMINISTROS DE EQUIPOS, INSUMOS Y MATERIALES DE USO DOCENTE DE LA CARRERA DE TÉCNICO DE NIVEL SUPERIOR EN ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA DEL CENTRO DE FORMACIÓN TÉCNICA ESTATAL DE LA REGIÓN DE COQUIMBO",CLP,PUBLICADO,ESTIMADO,25.000.000,CENTRO DE FORMACION TECNICA DE LA REGION DE COQUIMBO
3663-37-LE25,Servicios de seguro de bienes muebles inmuebles y vehículos para el Departamento de Salud ,LE,Adjudicada a uno o varios proveedores,31/07/2025 11:22:33,"Servicios de seguro de bienes muebles, inmuebles y vehículos para el Departamento de Salud de la Comuna de Requínoa",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE REQUINOA
2744-37-LE25,SERVICIO DE ARRIENDO DE VEHICULO CON CONDUCTOR PARA CSF. ALEMANIA,LE,Adjudicada a uno o varios proveedores,31/07/2025 12:48:00,SE SOLICITA SERVICIO DE ARRIENDO DE VEHICULO CON CONDUCTOR PARA CSF. ALEMANIA SEGUN BASES Y ANEXOS ADJUNTO. ,CLP,PUBLICADO,DISPONIBLE,8.391.298,I MUNICIPALIDAD DE ANGOL
5060-112-L125,S60-SEP. SERVICIO DE SALIDA PEDAGOGICA PARA COLEGIO MUNDO MÁGICO SOLICITUD N°60,L1,Adjudicada a uno o varios proveedores,07/08/2025 15:33:58,S60-SEP. SERVICIO DE SALIDA PEDAGOGICA PARA COLEGIO MUNDO MÁGICO SOLICITUD N°60,CLP,PUBLICADO,DISPONIBLE,5.000.000,I MUNICIPALIDAD DE TEMUCO
5061-63-L125,"SCHC N°185 Servicio de provisión e instalación de nueva mampara interior con cristal laminado y mejoramiento de iluminación para Cesfam Pedro de Valdivia. - Convenio AGL de seguridad, Según especificaciones técnicas. ",L1,Adjudicada a uno o varios proveedores,24/07/2025 12:53:06,"Servicio de provisión e instalación de nueva mampara interior con cristal laminado y mejoramiento de iluminación para Cesfam Pedro de Valdivia. - Convenio AGL de seguridad, Según especificaciones técnicas. ",CLP,PUBLICADO,DISPONIBLE,6.800.000,I MUNICIPALIDAD DE TEMUCO
1697-18-CO25,SERVICIO DE TRANSPORTE JUZGADOS DE TOCOPILLA,CO,Adjudicada a uno o varios proveedores,27/06/2025 16:37:33,"SERVICIO DE TRANSPORTE PARA NOTIFICACIONES DEL JUZGADO DE LETRAS, FAMILIA Y LABORAL DE TOCOPILLA",CLF,NO PUBLICADO,ESTIMADO,Igual o superior a 100 UTM e inferior a 1000 UTM,CORP ADMINISTRATIVA DEL PODER JUDICIAL
1114-23-LE25,ESTUDIO DE PROSPECCIÓN DE AGUAS SUBTERRÁNEAS,LE,Adjudicada a uno o varios proveedores,07/07/2025 15:46:46,"ESTUDIO DE PROSPECCIÓN DE AGUAS SUBTERRÁNEAS A TRAVÉS DE REGISTRO DE DATOS GEOFÍSICOS, EN SECTORES DE APROVECHAMIENTO COMÚN SHAC MELIPILLA, TIL TIL, RÍO MAIPO Y ESTERO ALHUÉ, REGIÓN METROPOLITANA DE SANTIAGO",CLP,PUBLICADO,DISPONIBLE,11.138.400,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1251183-2-R125,CANASTA INTEGRAL OFTALMOLOGIA PROGRAMA RESOLUTIVIDAD ,LE,Adjudicada a uno o varios proveedores,08/07/2025 13:41:24,La necesidad de entregar prestaciones en la especialidad de oftalmología y la entrega de lentes ópticos para los usuarios de los Centros de Salud Calera de Tango para dar cumplimiento al programa RESOLUTIVIDAD en Atención Primaria SALUD año 2025.,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,CORP MUNICIPAL DE DESARROLLO SOCIAL DE CALERA DE TANGO
2791-21-LE25,SALIDAS PEDAGÓGICAS ESC. ADELAIDA LA FETRA,LE,Adjudicada a uno o varios proveedores,27/06/2025 13:22:03,SALIDAS PEDAGÓGICAS ESCUELA ADELAIDA LA FETRA SOLICITUD 25-225,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,Municipalidad de Huechuraba
4174-55-L125,Productos Farmacéuticos Veterinarios,L1,Adjudicada a uno o varios proveedores,24/07/2025 17:19:17,la necesidad de adquirir productos farmacéuticos veterinarios para operatorio sanitario del Programa Prodesal Quirihue,CLP,NO PUBLICADO,DISPONIBLE,Menor a 100 UTM,Ilustre Municipalidad de Quirihue
2546-47-LE25,PROP PUB N57 ADQ EQUIPOS COMPUTACIONALES Y LICENCI,LE,Adjudicada a uno o varios proveedores,08/07/2025 16:44:14,"PROPUESTA PUBLICA N57 ADQUISICIÓN DE EQUIPOS COMPUTACIONALES Y LICENCIAS, PARA PROGRAMA DE SEGURIDAD CIUDADANA",CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE PADRE LAS CASAS
1002588-57-LE25,Traslado estudiantes para Esc. Rep. de Grecia,LE,Adjudicada a uno o varios proveedores,04/07/2025 10:17:27,Servicio de traslado para salidas pedagógicas destinado a estudiantes de la escuela República de Grecia,CLP,PUBLICADO,DISPONIBLE,8.500.000,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA
818-3-O125,CONSERVACION GLOBAL AALL 2025,O1,Adjudicada a uno o varios proveedores,05/03/2025 09:33:09,CONTRATAR SERVICIOS DE LIMPIEZA Y DESEMBANQUE DE COLECTORES Y RED DE CAUCES RECOLECTORES DE AGUAS LLUVIAS,CLP,NO PUBLICADO,NO ES POSIBLE DE ESTIMAR,No público,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1729-26-LE25,SERVICIO PRODUCCION PROGRAMA DIA DE LA NIÑEZ,LE,Adjudicada a uno o varios proveedores,08/08/2025 15:40:22,SE NECESITA ADQUIRIR UN SERVICIO DE PRODUCCION PARA LA EJECUCION DEL PROGRAMA TIERRAPALOOZA POR LA INFANCIA Y ADOLESCENCIA 2025 SEGUN BASES TECNICAS Y ADMINISTRATIVAS ADJUNTAS.,CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE TIERRA AMARILLA
1058092-3-LE25,ADQUISICIÓN DE MEDICAMENTOS CONTROLADOS HSLBP,LE,Adjudicada a uno o varios proveedores,07/05/2025 17:52:12,ADQUISICIÓN DE MEDICAMENTOS CONTROLADOS PARA EL HOSPITAL SAN LUIS DE BUIN-PAINE,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,SERVICIO DE SALUD SUR HOSPITAL SAN LUIS
2345-99-LE25,SERVICIO DE RELATORÍAS PARA SEMINARIOS 2025,LE,Adjudicada a uno o varios proveedores,15/07/2025 19:03:11,"Este proceso de licitación tiene como objeto contratar los servicios de relatorías para 15 Seminarios, de hasta 100 personas cada uno, dirigido a los funcionarios de la Municipalidad de Las Condes. Los Seminarios tienen por finalidad potenciar y desarrollar habilidades de trabajo en equipo, comunicación efectiva, empatía, así como también, favorecer el sentido de servicio público, identidad y pertenencia de los funcionarios con el municipio y su labor. ",CLP,PUBLICADO,ESTIMADO,49.500.000,I MUNICIPALIDAD DE LAS CONDES
1057491-4-LE25,ADQUISICIÓN DE CISTOSCOPIO PEDIATRICO 9.5Fr,LE,Adjudicada a uno o varios proveedores,10/01/2025 20:05:00,"ADQUISICION DE CISTOSCOPIO PEDIATRICO 9.5Fr, PARA EL HOSPITAL DOCTOR LUIS CALVO MACKENNA",CLP,PUBLICADO,DISPONIBLE,18.000.000,SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA
2467-97-LE25,SERVICIO DE COMUNICACION CENTRAL TELEFONICA IP,LE,Adjudicada a uno o varios proveedores,13/06/2025 09:11:12,"La Ilustre municipalidad de Chillán requiere contratar por 24 meses, los servicios de comunicación y conexión fija necesarios para el desarrollo de sus funciones básicas y de gestión, según especificaciones técnicas.",CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,I MUNICIPALIDAD DE CHILLAN
1081988-5-L125,Compra de Computadores - Readjudicada en Id 1081988-5-R125,L1,Adjudicada a uno o varios proveedores,16/06/2025 15:19:00,Compra de Computadores para programa Senda.,CLP,PUBLICADO,DISPONIBLE,3.000.000,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M
1469-170-L125,20-35498 ACCESORIOS COMPUTACIONALES,L1,Adjudicada a uno o varios proveedores,05/08/2025 18:31:50,ACCESORIOS COMPUTACIONALES,CLP,PUBLICADO,ESTIMADO,1.557.100,UNIVERSIDAD DE TALCA
2981-108-LE25,OFRENDAS FLORALES JENAPU,LE,Adjudicada a uno o varios proveedores,28/07/2025 16:35:16,ADQUISICION DE 13 OFRENDAS FLORALES CON TRIPODE Y BOLSOS DE TRANSPORTE,CLP,PUBLICADO,DISPONIBLE,19.878.950,POLICIA DE INVESTIGACIONES DE CHILE
1211839-64-LQ25,MANTENCION Y SUMINISTRO DE CALDERAS CMPTEALTO,LQ,Adjudicada a uno o varios proveedores,25/06/2025 12:04:09,"La presente licitación corresponde a la contratación de un servicio de Mantenimiento de Sistemas de Calefacción y Calderas para los establecimientos de Salud y Biblioteca, el que tiene por finalidad el Mantenimiento Preventivo General, Correctivo, de Emergencia y Suministro de Equipos y Repuestos para los sistemas de Calefacción y Calderas de las diversas dependencias administradas por la Corpora.",CLP,PUBLICADO,DISPONIBLE,311.876.924,CORP MUNIC EDUC SALUD Y ATENCION
2426-39-LE25,ATO CONST OBRAS ATRAV ESTERO PAV CALLE EL RETEN,LE,Adjudicada a uno o varios proveedores,16/06/2025 12:35:55,"“ASESORÍA TÉCNICA DE OBRA CONSTRUCCIÓN OBRAS DE ATRAVIESO ESTERO PAVIMENTACIÓN CALLE EL RETÉN, PLACILLA, VALPARAÍSO”",CLP,PUBLICADO,DISPONIBLE,16.617.000,I MUNICIPALIDAD DE VALPARAISO
1057547-279-LQ25,CONVENIO SUMINISTRO DE CATETER DE TROMBECTOMIA ,LQ,Adjudicada a uno o varios proveedores,12/06/2025 11:42:37,CONVENIO SUMINISTRO DE CATETER DE TROMBECTOMIA PARA UNIDAD DE DIAGNOSTICO Y TRATAMIENTO ENDOVASCULAR HOSPITAL BASE VALDIVIA,CLP,PUBLICADO,ESTIMADO,244.000.000,SERVICIO DE SALUD VALDIVIA HOSPITAL BASE
1224982-4-LE25,Feria en Familia con nuestros niños y niñas de M,LE,Adjudicada a uno o varios proveedores,07/08/2025 17:29:54,Realización de  dos días para las familias de Maule entorno a los niños y niñas con funciones artísticas y actividades de recreación.,CLP,NO PUBLICADO,DISPONIBLE,Entre 100 y 1000 UTM,Corporación Cultural Municipalidad del Maule
1058095-149-LE25,Convenio 23 orales por 36 meses,LE,Adjudicada a uno o varios proveedores,30/07/2025 11:33:02,La necesidad de contar con medicamentos,CLP,NO PUBLICADO,ESTIMADO,Entre 100 y 1000 UTM,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO
3929-41-LR25,CARGUÍO TRANSPORTE TERRESTRE ARMADO Y DESARME DE LAS PLATAFORMAS DE DISPARO DE FUEGOS ARTIFICIALES AÑO NUEVO 2026-2027-2028,LR,Adjudicada a uno o varios proveedores,20/05/2025 15:21:33,"Las presentes bases norman el proceso de la propuesta pública que efectúa la contratación del servicio de “Carguío, transporte terrestre, armado y desarme de las plataformas de disparo de fuegos artificiales año nuevo 2026-2027-2028”. ",CLP,NO PUBLICADO,DISPONIBLE,Igual o superior a 5.000 UTM,I MUNICIPALIDAD DE VINA DEL MAR
3947-25-LE25,SERVICIO DE PREUNIVERSITARIO ORIENTADO A ESTUDIANTES O EGRESADOS DE CUARTO MEDIO DE LA COMUNA DE SANTA JUANA,LE,Adjudicada a uno o varios proveedores,08/05/2025 13:27:16,SERVICIO DE PREUNIVERSITARIO ORIENTADO A ESTUDIANTES O EGRESADOS DE CUARTO MEDIO DE LA COMUNA DE SANTA JUANA,CLP,PUBLICADO,ESTIMADO,13.000.000,I MUNICIPALIDAD DE SANTA JUANA
2440-103-L125,Servicio de Traslado de Estudiantes Establecimiento Educacional  Escuela La Obra,L1,Adjudicada a uno o varios proveedores,04/07/2025 13:10:36,El Departamento de Administración de Educación Municipal de Curicó requiere contratar Servicio de Traslado de Estudiantes Establecimiento Educacional  Escuela La Obra,CLP,PUBLICADO,DISPONIBLE,4.960.000,I MUNICIPALIDAD DE CURICO
1227338-8-LE25,Servicio Técnico Gala Folclor 2025,LE,Adjudicada a uno o varios proveedores,07/08/2025 17:14:12,"La Corporación Cultural de Peñalolén requiere contratar el Servicio de Producción Técnica para la “Gala de Folclor 2025”, evento inserto en su programación anual, cuyo objetivo es poner en valor el folclor nacional, fomentando la participación ciudadana, la identidad local y el encuentro comunitario en torno a nuestras tradiciones musicales y dancísticas.",CLP,PUBLICADO,DISPONIBLE,12.690.000,CORPORACION CULTURAL DE PENALOLEN
1111089-15-LE25,PROGRAMA DE ACTIVIDADES DE CALIDAD DE VIDA LABORAL,LE,Adjudicada a uno o varios proveedores,07/07/2025 12:08:00,"La Agencia Nacional de Investigación y Desarrollo, ANID, en el marco de las funciones encomendadas a la Subdirección de Áreas Transversales, y en acuerdo con los objetivos y lineamientos expresados por la Dirección Nacional, se deberá implementar y ejecutar el programa de actividades de calidad de vida, para los y las funcionarias de planta, contrata y honorarios de la Agencia Nacional de Investigación y Desarrollo con la finalidad de promover ambientes laborales saludables que busquen el bienestar de cada uno de ellos.",CLP,PUBLICADO,DISPONIBLE,18.000.000,Comisión Nacional de Investigación Científica y Tecnológicas - CONICYT
