Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL15065045AZ,VOREN INJECTION VIAL 25MG/ML,MAL15065045AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL15085010ARZ,"Zoledronic Acid Kabi, 4mg/5ml Concentrate for Solution for Infusion",MAL15085010ARZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,FRESENIUS KABI AUSTRIA GMBH,"HAFNERSTRABE 36, 8055 GRAZ, AUSTRIA"
MAL15085066XZ,Folina Tablets 15mg,MAL15085066XZ,PHARM-D SDN. BHD.,"8B, JALAN 1/137C BEDFORD BUSINESS PARK OFF JALAN KELANG LAMA 58000 KUALA LUMPUR MALAYSIA",0377707918,TTY Biopharm Company Limited Lioudu Factory,"NO. 5, GONGJIAN W. RD., QIDU DISTRICT, KEELUNG TAIWAN"
MAL15085071AZ,Converium 150mg Tablets,MAL15085071AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL15085072AZ,Converium 300mg Tablet,MAL15085072AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL15085075AZ,B-MYCIN EYE & EAR DROPS,MAL15085075AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL15085079AZ,Cetraxal Plus Ear Drops Solution,MAL15085079AZ,HYPHENS PHARMA SDN. BHD.,"C- L2-01, BLOCK C, AXIS BUSINESS PARK, NO. 10, JALAN BERSATU 13/4, 46200 PETALING JAYA MALAYSIA",+60379316188,"Laboratorios Salvat, SA","GALL 30-36, 08950 ESPLUGUES DE LLOBREGAT, BARCELONA, SPAIN"
MAL15095004N,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL15095018AZ,YSP SHINCORT INJECTION 40MG/ML,MAL15095018AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL15095022AZ,B GARGLE SOLUTION 0.15% W/V,MAL15095022AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL15095026AZ,YSP SHINCORT INJECTION 10MG/ML,MAL15095026AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL15095036AZ,Vimizim 1mg/ml Concentrate for Solution for Infusion,MAL15095036AZ,PHARM-D SDN. BHD.,"8B, JALAN 1/137C BEDFORD BUSINESS PARK OFF JALAN KELANG LAMA 58000 KUALA LUMPUR MALAYSIA",0377707918,BioMarin International Limited,"SHANBALLY, RINGASKIDDY, COUNTY CORK IRELAND"
MAL15105034AZ,ONDATRON (ONDANSETRON INJECTION BP 2mg/mL),MAL15105034AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL15125037AZ,YSP Knowful Injection 200mg/ml.,MAL15125037AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL15125040AZ,KYTRON SOLUTION FOR INJECTION/INFUSION 3MG/3ML,MAL15125040AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL15125041X,Condrosa Sachet for oral solution,MAL15125041X,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL15125042XZ,Avadol-Fast Tablet 500mg,MAL15125042XZ,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL16015033AZ,XEOMIN powder for solution for injection 50 LD50 units,MAL16015033AZ,TT Medical Management Sdn Bhd,"A-3A-03, EKOCHERAS, NO 693, BATU 5, JALAN CHERAS, 56000 KUALA LUMPUR MALAYSIA",0391345391,MERZ PHARMA GMBH & CO. KGAA,"AM PHARMAPARK, 06861 DESSAU-ROßLAU SAXONY-ANHALT, GERMANY"
MAL16015034AZ,XEOMIN powder for solution for injection 100 LD50 units,MAL16015034AZ,TT Medical Management Sdn Bhd,"A-3A-03, EKOCHERAS, NO 693, BATU 5, JALAN CHERAS, 56000 KUALA LUMPUR MALAYSIA",0391345391,MERZ PHARMA GMBH & CO. KGAA,"AM PHARMAPARK, 06861 DESSAU-ROßLAU SAXONY-ANHALT, GERMANY"
MAL16015037AZ,YSP Bufencon Injection,MAL16015037AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16015038ARZ,Rocuronium Kabi 10mg/ml Solution for Injection/Infusion,MAL16015038ARZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,FRESENIUS KABI AUSTRIA GMBH,"HAFNERSTRABE 36, 8055 GRAZ, AUSTRIA"
MAL16015039AZ,IPRANEB 250 (Ipratropium Bromide 250mcg/2mL Nebuliser Solution BP),MAL16015039AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL16025035AZ,Vaxcel Methylprednisolone 1g for Injection,MAL16025035AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL16025041ACRZ,"IMIPENEM /CILASTATIN Kabi 500 mg/ 500 mg, Powder for solution for infusion",MAL16025041ACRZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,ACS DOBFAR S.P.A.,NUCLEO INDUSTRIALE S. ATTO (LOC. S. NICOLO` A TORDINO) 64100 TERAMO (TE) ITALY
MAL16025043AZ,Ramtace Tablet 5mg,MAL16025043AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16025045AZ,Minox 5% Topical Solution (Extra Strength),MAL16025045AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL16035027AZ,Axcel Cephalexin-250 Suspension,MAL16035027AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL16045055AZ,Docetaxel Injection Concentrate 20mg/ml Daxotel,MAL16045055AZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,Fresenius Kabi Oncology Limited (XI Route),"VILLAGE KISHANPURA, BADDI, TEHSIL NALAGARH, DISTRICT SOLAN HIMACHAL PRADESH IN-174101 INDIA"
MAL16065018AZ,FUROMIDE (FUROSEMIDE INJECTION BP 20mg/2mL),MAL16065018AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL16065023AZ,DOPAINE (Sterile Dopamine Concentrate 40mg/mL),MAL16065023AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL16065048AZ,ADENORYTHM SOLUTION FOR INJECTION 3mg/mL,MAL16065048AZ,MMS PHARMA (MALAYSIA) SDN. BHD.,"B-5-9, IMPIAN HEIGHTS 47100 PUCHONG MALAYSIA",019-3578019,VIANEX S.A. - Plant A,"12TH KM. ATHENS LAMIA NATIONAL ROAD, METAMORPHOSSI ATTIKI 14451 GREECE"
MAL16065050AZ,Creobic DA (Double Action) Cream,MAL16065050AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL16075016X,AVM-Artrisa Sachet for Oral Solution 1500mg,MAL16075016X,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL16075021AZ,CIPOFAIN (Ciprofloxacin Sterile Ophthalmic Solution 0.3% w/v),MAL16075021AZ,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2, 16100 KOTA BHARU MALAYSIA",09-7743388,AIN MEDICARE SDN. BHD.,"LOT 4933, 4934 & PT2464, JALAN 6/44 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2 16100 KOTA BHARU MALAYSIA"
MAL16075026AZ,Bisocor Tablet 5mg,MAL16075026AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16075029AZ,Bisocor Tablet 2.5mg,MAL16075029AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16085024AZ,Rolazide Tablet 80mg,MAL16085024AZ,ROYCE PHARMA MANUFACTURING SDN. BHD.,"PT 1663, NILAI INDUSTRIAL ESTATE 71800 NILAI MALAYSIA",067995999,ROYCE PHARMA MANUFACTURING SDN. BHD.,"PT 1663, NILAI INDUSTRIAL ESTATE 71800 NILAI MALAYSIA"
MAL16105033AZ,AXCEL PHENTERMINE-30MG TABLETS,MAL16105033AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL16105034AZ,BEZONE OINTMENT 0.1% W/W,MAL16105034AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL16115039AZ,Prelica Capsule 75mg,MAL16115039AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL16115040AZ,Prelica Capsule 150mg,MAL16115040AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL16125011N,Consulf Capsule,MAL16125011N,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA",06-7941071,AV MANUFACTURING SDN.BHD,"LOT 10621 (PT 16700), JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NILAI MALAYSIA"
MAL16125027AZ,Zodenox Film Coated Tablets 10mg,MAL16125027AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"Yung Shin Pharmaceutical Ind. CO., Ltd. (Taichung Youth Factory)","NO. 27, KUNG CHIU RD., TACHIA,TAICHUNG TAIWAN TAIWAN"
MAL16125030AZ,Edyfil Film Coated Tablet 100mg,MAL16125030AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16125031AZ,Edyfil Film Coated Tablet 50mg,MAL16125031AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL16125034AZ,Visolone Tablet 1mg,MAL16125034AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL17035024ACZ,ENDOMETRIN 100mg Vaginal Tablet,MAL17035024ACZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,Sever Pharma Solutions AB,"AGNESLUNDSVAGEN 27, SE-212 15, MALMO SWEDEN"
MAL17035032ARSZ,"SmofKabiven Electrolyte Free, Emulsion for Infusion",MAL17035032ARSZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,FRESENIUS KABI AUSTRIA GMBH,"HAFNERSTRABE 36, 8055 GRAZ, AUSTRIA"
MAL17035046AZ,Vaxcel Azithromycin 500mg I.V. for Infusion,MAL17035046AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL17065002AZ,Pharmaniaga Leucovorin Calcium 50mg/5ml Injection,MAL17065002AZ,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA, 47100 PUCHONG MALAYSIA",03-80612006,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA 47100 PUCHONG MALAYSIA"
MAL17065012ACRZ,Dexmedetomidine Kabi 0.1mg/mL Concentrate for Infusion,MAL17065012ACRZ,FRESENIUS KABI MALAYSIA SDN. BHD,"3-1 & 3-2, AXIS TECHNOLOGY CENTRE LOT 13 JALAN 51A/225 46100 PETALING JAYA MALAYSIA",03-7957 2929,Gland Pharma Limited,"SURVEY NO. 143 TO 148,150,151 NEAR GANDIMAISAMMA MANDAL CROSS ROADS ,D.P.PALLY, DUNDIGAL, MEDCHAL-MALKAJGIRI, HYDERABAD-500043,TELANGANA, INDIA"
MAL17065019AZ,Pharmaniaga Amikacin 500mg/2ml Injection,MAL17065019AZ,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA, 47100 PUCHONG MALAYSIA",03-80612006,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA 47100 PUCHONG MALAYSIA"
MAL17065024AZ,Vaxcel Granisetron 1mg/ml Injection,MAL17065024AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL17075013AZ,MENELAT 30 MG TABLETS,MAL17075013AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 DIST. MEHSANA INDIA
MAL17075014AZ,ELASTA 60mg FILM-COATED TABLETS,MAL17075014AZ,MMS PHARMA (MALAYSIA) SDN. BHD.,"B-5-9, IMPIAN HEIGHTS 47100 PUCHONG MALAYSIA",019-3578019,Pharmathen S.A.,"DERVENAKION 6, PALLINI ATTIKI, 153351 15351 GREECE"
MAL17075017AZ,YSP Salbutamol Injection 0.5mg/ml,MAL17075017AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL17085005AZ,VENLIFT ER 37.5 MG CAPSULE,MAL17085005AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 DIST. MEHSANA INDIA
MAL17085006AZ,VENLIFT ER 75MG CAPSULE,MAL17085006AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 DIST. MEHSANA INDIA
MAL17085007AZ,VENLIFT ER 150 MG CAPSULE,MAL17085007AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD,INDRAD - 382721 DIST. MEHSANA INDIA
MAL17085008AZ,Pharmaniaga Phenytoin Sodium 250mg/5ml Injection,MAL17085008AZ,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA, 47100 PUCHONG MALAYSIA",03-80612006,PHARMANIAGA LIFESCIENCE SDN. BHD.,"LOT 7, JALAN PPU 3 TAMAN PERINDUSTRIAN PUCHONG UTAMA 47100 PUCHONG MALAYSIA"
MAL17085014AZ,Mementor TABLETS 20 MG,MAL17085014AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICAL LIMITED,"INDRAD, TALUKA-KADI, MEHSANA-382 721, GUJARAT INDIA"
MAL17085044AZ,TORLEVA 250 MG TABLETS,MAL17085044AZ,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,"E-08-08, PLAZA MONT KIARA, NO 2 JALAN KIARA,MONT KIARA 50480 KUALA LUMPUR MALAYSIA",0362011415,TORRENT PHARMACEUTICALS LTD.,INDRAD - 382721 DIST. MEHSANA INDIA
MAL17085060AZ,Lipo-Dox Liposome Injection 2mg/ml Concentrate for Infusion,MAL17085060AZ,PHARM-D SDN. BHD.,"8B, JALAN 1/137C BEDFORD BUSINESS PARK OFF JALAN KELANG LAMA 58000 KUALA LUMPUR MALAYSIA",0377707918,TTY Biopharm Company Limited,"838, CHUNG HWA RD., SEC. 1, CHUNGLI DIST., TAOYUAN CITY 32069 TAIWAN"
