Russian,English
???????-?????? ?????? ?.?.?. - ??????,Bristol-Myers Squibb S.r.L. - Italy
???????-?????? ?????? ??????? - ???,Bristol-Myers Squibb Company - USA
"??.-???????-?????? ?????? ???????, ???;??.-???????-?????? ?????? ???????, [ ????? ??????], ???;????.??.-???????-?????? ?????? ???????, [??????????], ???;????.??.,???.?.-???????-?????? ??????, [??????], ???????.","Owner: Bristol-Myers Squibb Company, USA; Pr.: Bristol-Myers Squibb Company, [Mount Vernon], USA; First Packet: Bristol-Myers Squibb Company, [Evansville], USA; Second Packet: Bristol-Myers Squibb, [Meymac], France."
"??.,??.-???????-?????? ?????? ???????, ???;????.??.,????.??.,???.?.-???????-?????? ??????, ???????.","Owner, Pr.-Bristol-Myers Squibb Company, USA; First Pack., Second Pack., Issuer-Bristol-Myers Squibb, France."
"??.,??.-???????-?????? ?????? ???????, ???;????.??.,????.??.,???.?.-???????-?????? ?????? ?.?.?., ??????.","Owner, Pr.-Bristol-Myers Squibb Company, USA; First Pack., Second Pack., Issuer-Bristol-Myers Squibb S.r.L., Italy."
"??.-???????-?????? ?????? ???????, ???;??.-???????-?????? ?????? ???????, [ ????? ??????], ???;????.??.-???????-?????? ?????? ???????, [????? ??????], ???;????.??.,???.?.-???????-?????? ?????? ?.?.?., ??????.","Owner: Bristol-Myers Squibb Company, USA; Pr.: Bristol-Myers Squibb Company, [Mount Vernon], USA; First Packet: Bristol-Myers Squibb Company, [Mount Vernon], USA; Second Packet: Bristol-Myers Squibb S.r.l., Italy."
"??.,??.-???????-?????? ?????? ???????;????.??.,????.??.,???.?.-???????-?????? ?????? ?.?.?. ??????.","Owner, Pr.-Bristol-Myers Squibb France; First Pack., Second Pack., Issuer-Bristol-Myers Squibb S.r.l. Italy."
"???????-?????? ?????? ??????? - ???;??.,????.??.,????.??.,???.?.-?????? ????? ?????? ?.?.?. - ??????.","Bristol-Myers Squibb Company - USA; Pr., Perv. Up., Vtor. Up., Vyp. k. - Corden Pharma Latina SpA - Italy."
"""???????-?????? ?????? ???????? ????? ???."" - ???;??.,????.??.-""???????-?????? ?????? ???????? ????? ???."" - ???;????.??.,???.?.-???????-?????? ?????? ?.?.?. - ??????.","""Bristol-Myers Squibb Holdings Pharma Ltd."" - USA; Pr., Perv. Up. - ""Bristol-Myers Squibb Holdings Pharma Ltd."" - USA; Second. Up., Issuer. - Bristol-Myers Squibb S.r.L. - Italy."
"??????????? ?? - ??????;??.,????.??.-??????????? ?? - ??????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca AB - Sweden; Pr., First Pack. - AstraZeneca AB - Sweden; Second Pack., Issuer - ZAO ZiO-Zdorovie - Russia."
"??????????? ?? - ??????;??.-??????????? ?? - ??????;????.??.-?????? ????? ???? - ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca AB - Sweden; Pr.-AstraZeneca AB - Sweden; First Pack.-Corden Pharma GmbH - Germany; Second Pack., Issuer-ZAO ZiO-Zdorovie - Russia."
"??????????? ?? - ??????;??.-??????????? ?? - ??????;????.??.-??????????? ????, ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca AB - Sweden; Pr. - AstraZeneca AB - Sweden; First Pack. - AstraZeneca GmbH, Germany; Second Pack., Issuer - ZAO ZiO-Zdorovie - Russia."
"""??????????? ??"" - ??????;??.-""??????????? ??"" - ??????;????.??.,????.??.,???.?.-""??????????? ????"" - ????????.","""AstraZeneca AB"" - Sweden; Pr. - ""AstraZeneca AB"" - Sweden; First Pack., Second Pack., Issuer - ""AstraZeneca GmbH"" - Germany."
"""??????????? ??"" - ??????;??.-""??????????? ??"" - ??????;????.??.-""?????? ????? ????"" - ????????;????.??.-""??????????? ??"" - ??????;???.?.-""?????? ????? ????"" - ????????.","""AstraZeneca AB"" - Sweden; Pr. - ""AstraZeneca AB"" - Sweden; First Pack. - ""Corden Pharma GmbH"" - Germany; Second Pack. - ""AstraZeneca AB"" - Sweden; Issuer - ""Corden Pharma GmbH"" - Germany."
"""??????????? ??"" - ??????;??.-""??????????? ??"" - ??????;????.??.-""?????? ????? ????"" - ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","""AstraZeneca AB"" - Sweden; Pr. - ""AstraZeneca AB"" - Sweden; First Pack. - ""Corden Pharma GmbH"" - Germany; Second Pack., Issuer - ZAO ""ZiO-Zdorovie"" - Russia."
"""??????????? ??"" - ??????;??.-""??????????? ??"" - ??????;????.??.-""??????????? ????"" - ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","""AstraZeneca AB"" - Sweden; Pr. - ""AstraZeneca AB"" - Sweden; First Pack. - ""AstraZeneca GmbH"" - Germany; Second Pack., Issuer - ZAO ""ZiO-Zdorovie"" - Russia."
"""??????????? ??"" - ??????;??.-""??????????? ??"" - ??????;????.??.-""??????????? ????"", ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca AB - Sweden; Pr. - AstraZeneca AB - Sweden; First Pack. - AstraZeneca GmbH, Germany; Second Pack., Issuer - ZAO ZiO-Zdorovie - Russia."
"??????????? ?? - ??????;??.-??????????? ?? - ??????; ????.??. -??????????? ???? - ????????; ????.??.,???.?.-??? ""??????????? ?????????""- ??????","AstraZeneca AB - Sweden; Pr. - AstraZeneca AB - Sweden; Primary Pack. - AstraZeneca GmbH - Germany; Secondary Pack., Issuer - OOO ""AstraZeneca Industries"" - Russia"
"??????????? ?? - ??????;??.,????.??.-??????????? ?? - ??????;????.??.,???.?.-??? ""??????????? ?????????""- ??????","AstraZeneca AB - Sweden; Pr., First Pack. - AstraZeneca AB - Sweden; Second Pack., Issuer - OOO ""AstraZeneca Industries"" - Russia"
"??.??????????? ?? ???, ??????????????; ??.???????-?????? ?????? ????????????? ???????, ??????-????; ???.?.????.??.????.??.???????-?????? ?????? C.p.?., ??????;","Owner: AstraZeneca UK Ltd, UK; Pr.: Bristol-Myers Squibb Manufacturing Company, Puerto Rico; Issuer: First. Up. Second. Up. Bristol-Myers Squibb C.r.L., Italy;"
"??.?????? ???? ???????, ????? (000000000000); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""?????-?????"" (??? ""?????-?????""), ?????? (7722767217);","Vl.Hetero Labs Limited, India (000000000000); Graduated.First.Up.Second.Up.Pr.Limited Liability Company ""MAKIZ-PHARMA"" (LLC ""MAKIZ-PHARMA""), Russia (7722767217);"
"??.???????? ????? ??, ????????? (CHE-106.052.527); ??.??????????????? ???, ?????? (89692 2556); ????.??.?????? ??????? ?.?., ??????? (ESA08250888); ???.?.????.??.???????? ? ???????????? ???????????????? ""?????????? ???????????????? ?????"" (??? ""??????????","Owner: Novartis Pharma AG, Switzerland (CHE-106.052.527); Pr. GlaxoSmithKline Inc., Canada (89692 2556); First. Up. Glaxo Wellcome S.A., Spain (ESA08250888); Issuer: Second. Up. Limited Liability Company ""SKOPINSKY PHARMACEUTICAL PLANT"" (OOO ""SKOPINPHARM"""
"??.???.?.????.??.????.??.??.??????????? ???????? «??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? «????????» (?? `??? `????????`), ??????;","Vl.Vyp.k.Perv.Up.Vtor.Up.Pr.Joint-Stock Company ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" (JSC NPO ""Mikrogen""), Russia;"
"??.???????? ????? ??, ?????????; ??.??????????????? ???, ??????; ???.?.????.??.????.??.?????? ??????? ?.?., ???????;","Vl.Novartis Pharma AG, Switzerland; GlaxoSmithKline Inc., Canada; Issue of First.Up.Second.Up.Glaxo Wellcome S.A., Spain;"
??.???.?.????.??.????.??.??.??????????? ??????????????? ????????? ??????????? &#x0D; "??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? "????????" ???????????? ??????????????? ?????????? ????????? (???? "??? "????????" ????,Vl.Vyp.k.Perv.Up.Vtor.Up.Pr.Federal State Unitary Enterprise "Scientific and Production Association for Medical Immunobiological Preparations "Mikrogen" of the Ministry of Health of the Russian Federation (FSUE "NPO "Mikrogen" of the Ministry of
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ????????? (???? ""??? ""????????"" ????????? ??????), ??????; ???.?.???","Vl.Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation (FSUE ""NPO ""Mikrogen"" of the Ministry of Health of Russia), Russia; Iss.k. Per."
"??.??????????? ??????????????? ????????? ??????????? &#x0D; ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ????????? (???? ""??? ""????????"" ????????? ??????), ??????; ??","Vl. Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation (FSUE ""NPO ""Mikrogen"" of the Ministry of Health of Russia), Russia;"
"??.???????-?????? ?????? ???????, ???; ???.?.????.??.????.??.??.???????? ??????????? ???????? ""??????-??????????????? ???????? ""???????"" (??? ""???????""), ??????;","Owner Bristol-Myers Squibb Company, USA; Issuer First. Second. Second. Open Joint-Stock Company ""Chemical and Pharmaceutical Plant ""AKRIKHIN"" (OJSC ""AKRIKHIN""), Russia;"
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ?????????, ??????; ???.?.????.??.????.??.??.??????????? ????????????","Owner. Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation, Russia; Issue No. First. Second. Second. Federal State Unitary Enterprise"
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ????????? (???? ""??? ""????????"" ????????? ??????), ??????; ???.?.??","Vl.Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation (FSUE ""NPO ""Mikrogen"" of the Ministry of Health of Russia), Russia; Cand.P."
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ????????? (???? ""??? ""????????"" ????????? ??????), ??????, ??????;","Vl.Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation (FSUE ""NPO ""Mikrogen"" of the Ministry of Health of Russia), Russia, Russia;"
"??.??????????? ??????????????? ????????? ??????????? «??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? «????????» ???????????? ??????????????? ?????????? ????????? (???? ""??? ""????????"" ????????? ??????), ??????; ???.?.??","Vl.Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation (FSUE ""NPO ""Mikrogen"" of the Ministry of Health of Russia), Russia; Cand.P."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [???????? ??? ""??????""] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" of the Ministry of Health of the Russian Federation, Russia [Perm NPO ""Biomed""] - Russia."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [??????????????, ?.???] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Immunopreparat, Ufa] - Russia."
"??.???????-?????? ?????? ???????, ???; ???.?.????.??.????.??.??.???????? ??????????? ???????? ""??????-???????????????? ???????? ""???????"" (??? ""???????""), ??????;","Owner: Bristol-Myers Squibb Company, USA; Issuer: First. Up. Second. Up. Pr. Open Joint-Stock Company ""Chemical and Pharmaceutical Plant ""AKRIKHIN"" (OJSC ""AKRIKHIN""), Russia;"
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ?????????, ??????; ???.?.????.??.????.??.??.???????? ??? ???? [?????","Vl.Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Ministry of Health of the Russian Federation, Russia; Issue No. First. Up. Second. Up. Pr. Mikrogen NPO FSUE [Immun"
"??.??????????? ??????????????? ????????? ??????????? ""??????-???????????????? ??????????? ?? ??????????? ??????????????????? ?????????? ""????????"" ???????????? ??????????????? ?????????? ?????????, ??????; ???.?.????.??.????.??.??.???????? ??? ???? [?????","Owner. Federal State Unitary Enterprise ""Scientific and Production Association for Medical Immunobiological Preparations ""Microgen"" of the Ministry of Health of the Russian Federation, Russia; Issue No. First. Up. Second. Up. Pr. Microgen NPO FSUE [Aller"
"??.???????? ????? ???? ?.?., ?????????? (NL001378995B01); ????.??.??.?????? ???. (????? ?, ?), ???; ???.?.????.??.???????? ????? ???? ?.?., ??????????;","Vl.Astellas Pharma Europe B.V., the Netherlands (NL001378995B01); First Up. Pr. Tolmar Inc. (syringe A, B), USA; Issue. Secondary Up. Astellas Pharma Europe B.V., the Netherlands;"
"???????-?????? ?????? ??????? - ???;??.,????.??.,????.??.,???.?.-??? «??????-???????????????? ???????? «???????» (??? «???????») - ??????.","Bristol-Myers Squibb Company - USA; Pr., Perv.Up., Vtor.Up., Vyp.k. - JSC Chemical and Pharmaceutical Plant AKRIKHIN (JSC AKRIKHIN) - Russia."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [??? ""??????"" ?.?????] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [NPO ""Virion"", Tomsk] - Russia."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""?????-?? ??"", ?????????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Ivers-Li AG"", Switzerland; Second Pack., Issuer - OJSC ""Pharmstandard-UfaVITA"" - Russia."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""????????? ??"", ?????????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First. Up. - ""Konapharma AG"", Switzerland; Second. Up., Issuer - OJSC ""Pharmstandard-UfaVITA"" - Russia."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""?????-?? ??"" - ?????????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Ivers-Li AG"" - Switzerland; Second Pack., Issuer - OJSC ""Pharmstandard-UfaVITA"" - Russia."
"???????? ????? ?? - ?????????;??.,????.??.-""???????? ????? ????? ??"" - ?????????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","Novartis Pharma AG - Switzerland; Pr., Perv. Up. - Novartis Pharma Stein AG - Switzerland; Second. Up., Vyp. k. - OJSC Pharmstandard-UfaVITA - Russia."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""????????? ??"" - ?????????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; Perv. Up. - ""Konapharma AG"" - Switzerland; Second. Up., Issuer - OJSC ""Pharmstandard-UfaVITA"" - Russia."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [?????????? ????????????? ?? ???????????? ??????????? ??????????] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Moscow division for the production of bacterial preparations] - Russia."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [????????????? ??????????? ?? ???????????? ??????????? ?????????? ""?????""] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Nizhny Novgorod enterprise for the production of bacterial preparations ""ImBio""] - Russia."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [????????, ?.??????????] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Allergen, Stavropol] - Russia."
"??? ""??-????"" - ??????;??.,????.??.,????.??.,???.?.-??? ""??????????? ?????????? ???????? ??????????? ?????????? ? ??????? ""??????"" (??? «??????») - ??????.","LLC ""MS-Vita"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - OJSC ""Kurgan Joint-Stock Company of Medical Preparations and Products ""Sintez"" (OJSC ""Sintez"") - Russia."
"??.-???????-?????? ?????? ???????, ???;??.,????.??.,????.??.,???.?.-??? «???????».","Owner - Bristol-Myers Squibb Company, USA; Pr., First Pack., Second Pack., Issuer - JSC ""AKRIKHIN""."
??. - ???????-?????? ?????? ????????? ??? ??? - ?????????; ??. - ??? "??? "???????" - ??????,Owner - Bristol-Myers Squibb Australia Pty Ltd - Australia; Pr. - Akrikhin Chemical and Pharmaceutical Company OJSC - Russia
??. - ???? "??? ?? ??????????? ??????????????????? ?????????? "????????" ????????? ?????? - ??????; ??. - ???? "??? "????????" ?? ?? [????????????? ??????????? ?? ???????????? ??????????? ?????????? "?????"] - ??????,Owner - Federal State Unitary Enterprise "Research and Production Association for Medical Immunobiological Preparations "Mikrogen" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise "Research and Production Association "Mikrogen" of the Russian Ministry of Health [Nizhny Novgorod Enterprise for the Production of Bacterial Preparations "ImBio"] - Russia
"??. - ???? ""??? ?? ??????????? ??????????????????? ?????????? ""????????"" ????????? ?????? - ??????; ??. - ???? ""??? ""????????"" ?? ?? [??????????????, ?.???] - ??????","Owner - Federal State Unitary Enterprise ""Research and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise ""Research and Production Association ""Mikrogen"" of the Russian Ministry of Health [Immunopreparat, Ufa] - Russia"
"??. - ???? ""??? ?? ??????????? ??????????????????? ?????????? ""????????"" ????????? ?????? - ??????; ??. - ???? ""??? ""????????"" ?? ?? [????????, ?.??????????] - ??????","Owner - Federal State Unitary Enterprise ""Research and Production Association for Medical Immunobiological Preparations ""Mikrogen"" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise ""Research and Production Association ""Mikrogen"" of the Russian Ministry of Health [Allergen, Stavropol] - Russia"
??. - ???? "??? ?? ??????????? ??????????????????? ?????????? "????????" ????????? ?????? - ??????; ??. - ???? "??? "????????" [?????????? ????????????? ?? ???????????? ??????????? ??????????] - ??????,Owner - Federal State Unitary Enterprise "Research and Production Association for Medical Immunobiological Preparations "Mikrogen" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise "Research and Production Association "Mikrogen" [Moscow Division for the Production of Bacterial Preparations] - Russia
??. - ???? "??? ?? ??????????? ??????????????????? ?????????? "????????" ????????? ?????? - ??????; ??. - ???? "??? "????????" ?? ?? [???????? ??? "??????"] - ??????,Owner - Federal State Unitary Enterprise "Research and Production Association for Medical Immunobiological Preparations "Mikrogen" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise "Research and Production Association "Mikrogen" of the Russian Ministry of Health [Perm Research and Production Association "Biomed"] - Russia
??. - ???? "??? ?? ??????????? ??????????????????? ?????????? "????????" ????????? ?????? - ??????; ??. - ???? "??? "????????" ?? ?? [????????? ??????????? ?? ???????????? ??????????? ??????????] - ??????,Owner - Federal State Unitary Enterprise "Research and Production Association for Medical Immunobiological Preparations "Mikrogen" of the Russian Ministry of Health - Russia; Ex. - Federal State Unitary Enterprise "Research and Production Association "Mikrogen" of the Russian Ministry of Health [Irkutsk Enterprise for the Production of Bacterial Preparations] - Russia
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""???????? ??"", ?????????;????.??.-""?????-?? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Conapharm AG"", Switzerland; Second Pack. - ""Ivers-Li AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""???????? ??"", ?????????;????.??.,???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Conapharm AG"", Switzerland; Second Pack., Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""?????-?? ??"", ?????????;????.??.-""???????? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Ivers-Li AG"", Switzerland; Second Pack. - ""Conapharm AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.,????.??.-""???????? ????? ????? ??"" - ?????????;????.??.-""?????-?? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr., First Pack. - ""Novartis Pharma Stein AG"" - Switzerland; Second Pack. - ""Ivers-Li AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.-""?????-?? ??"", ?????????;????.??.,???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack. - ""Ivers-Li AG"", Switzerland; Second Pack., Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.,????.??.-""?????-?? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack., Second Pack. - ""Ivers-Li AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.-""???????? ????? ????? ??"" - ?????????;????.??.,????.??.-""???????? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr. - ""Novartis Pharma Stein AG"" - Switzerland; First Pack., Second Pack. - ""Conapharm AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???????? ????? ?? - ?????????;??.,????.??.-""???????? ????? ????? ??"" - ?????????;????.??.-""???????? ??"", ?????????;???.?.-""???????? ????? ????? ??"" - ?????????.","Novartis Pharma AG - Switzerland; Pr., First Pack. - ""Novartis Pharma Stein AG"" - Switzerland; Second Pack. - ""Conapharm AG"", Switzerland; Issuer - ""Novartis Pharma Stein AG"" - Switzerland."
"???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [????????? ??????????? ?? ???????????? ??????????? ??????????] - ??????.","FSUE ""NPO Mikrogen"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - FSUE ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Irkutsk enterprise for the production of bacterial preparations] - Russia."
"??.-???????-?????? ?????? ????????? ??? ???, ?????????;??.,????.??.,????.??.,???.?.-??? «???????».","Owner - Bristol-Myers Squibb Australia Pty Ltd, Australia; Pr., First Pack., Second Pack., Issuer - JSC ""AKRIKHIN""."
"??.-???? «??? «????????» - ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ?? ?? ?????? [?????????? ????????????? ?? ???????????? ??????????? ??????????] - ??????.","Owner - Federal State Unitary Enterprise ""NPO Mikrogen"" - Russia; Pr., First. Up., Second. Up., Issuer. - Federal State Unitary Enterprise ""NPO Mikrogen"" Ministry of Health of the Russian Federation, Russia [Moscow division for the production of bacterial preparations] - Russia."
"??.-???? ""??? ""????????"" ??????????????????? ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ??????????????????? ?????? ?????????? ????????????? ?? ???????????? ??????????? ??????????.","Owner - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia; Pr., First Unit, Second Unit, Issuer - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia, Moscow division for the production of bacterial preparations."
"??.-???? ""??? ""????????"" ??????????????????? ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ??????????????????? ?????? ??? ""??????"" ?.?????.","Owner - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia; Principal, First, Second, Issuer - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia NPO ""Virion"" Tomsk."
"??.-???? ""??? ""????????"" ??????????????????? ??????;??.,????.??.,????.??.,???.?.-???? ""??? ""????????"" ??????????????????? ?????? ????????? ??????????? ?? ???????????? ??????????? ??????????.","Owner - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia; Principal, First, Second, Issuer - Federal State Unitary Enterprise ""NPO Mikrogen"" of the Ministry of Health and Social Development of Russia, Irkutsk enterprise for the production of bacterial preparations."
"??.-???????-?????? ?????? ??????? ???;??.,????.??.,????.??.,???.?.-??? ""??????-???????????????? ???????? ""???????"" ??????.","Owner - Bristol-Myers Squibb Company USA; Pr., First Pack., Second Pack., Issuer - JSC ""Chemical and Pharmaceutical Plant ""AKRIKHIN"" Russia."
"??.-???????? ??? ???? ??????;??.,????.??.,????.??.,???.?.-???????? ??? ???? ??? ""??????"" ?.????? ??????.","Vl.-Mikrogen NPO FSUE Russia; Pr., First. Up., Second. Up., Issue.-Mikrogen NPO FSUE NPO ""Virion"" Tomsk, Russia."
??. - ??????-??????? ????? - ???????; ??. - ??????? ????????????????? - ???????,Owner - Sanofi-Aventis France - France; Pr. - Aventis Intercontinental - France
??? "?????" - ??????,FERON LLC - Russia
"??????-??????? ????? - ???????;??.,????.??.,????.??.,???.?.-?????? ??????? ????????? - ???????.","SANOFI-AVENTIS FRANCE - France; Pr., First Pack., Second Pack., Issue. - Sanofi Winthrop Industry - France."
??? "????????? ????" - ??????,NEARMEDIC PLUS LLC - Russia
"??., ??. - ??? ""??? ""???????"" - ??????; ??. - ?.??. ??????? ???.??? - ?????","Owner, Unitary Enterprise - JSC ""Akrikhin Chemical and Pharmaceutical Company"" - Russia; Manufacturer - M.J. Biopharm Pvt. Ltd - India"
??. - ?????? ??????????? ?.?. - ?????????; ??. - ????? ?????????? - ?????????,Owner - Abbott Laboratories S.A. - Switzerland; Pr. - Orion Corporation - Finland
