Company,Local Product Name,Generic Name,Local Pack Description,PCID
SANOFI,DUPILUMAB,DUPIXENT,300 MG JGA.PRELL.X 2,1189614
SAVANT,KETOROLAC,DUPRAC,DUPRAC COMPRIMIDO RECUBIERTO BLISTER por 10 UNIDADES 20 MG,1675200
SAVANT,KETOROLAC,DUPRAC,10 MG COMP.X 90,1468124
SAVANT,KETOROLAC,DUPRAC SL,DUPRAC SL COMPRIMIDO SUBLINGUAL BLISTER por 10 UNIDADES 10 MG,1675201
ASPEN,BUPIVACAINE,DURACAINE 0.5% HIPERBARICA,DURACAINE 0.5% HIPERBARICA A.X 5 X 4 ML,1566705
DR. GRAY SACI,MORPHINE,DURAMORPH,0.2 MG/ML A.X 1 X 1 ML,1673673
ELEA,HEXETIDINE,DURANIL,LIQ.X 200 ML,554155
FERRING PHARMACEUTICALS,CARBETOCIN,DURATOCIN,100 MCG/ML INY.A.X 5,684757
SOUBEIRAN CHOBET,INDAPAMIDE,DUREMID,DUREMID COMPRIMIDO RECUBIERTO ENVASE POR 50,1630906
JOHNSON & JOHNSON INNOVATIVE MEDICINE,FENTANYL,DUROGESIC D-TRANS,25MCG / H X 5 MATRIX PATCH,194936
JOHNSON & JOHNSON INNOVATIVE MEDICINE,FENTANYL,DUROGESIC D-TRANS,50MCG / H X 5 MATRIX PATCH,194944
ABBOTT,MEBEVERINE,DUSPATALIN,200 MG 20 CAPS,377097
SIEGFRIED,KETOROLAC,DUSTALOX,EYE DROPS X 5 ML,1723007
BALIARDA,DUTASTERIDE,DUTAKLAR,DUTAKLAR 0.5 mg caps.x 30 0.5 MG,1874896
PANALAB,DUTASTERIDE,DUTAPIL,0.5MG COMP. X 30,1189546
PANALAB,DUTASTERIDE,DUTAPIL,0.5 MG COMP.X 60,1189547
PANALAB,DUTASTERIDE,DUTAPIL,0.5 MG COMP.X 90,1704956
PANALAB,DUTASTERIDE & TAMSULOSIN,DUTAPIL PLUS,C¡PS.LIB.PROL. X 30,1533678
PANALAB,DUTASTERIDE & TAMSULOSIN,DUTAPIL PLUS,C¡PS.LIB.PROL. X 60 0.9 MG,1704957
OXAPHARMA,DUTASTERIDE,DUTASINAR,DUTASINAR0.5 MG COMP.X 30,2105788
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 0.25 MG JER. PRELLENA X4,2062979
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 0.5 MG JER. PRELLENDA X4,2062978
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 1 MG JER. PRELLENADA X4,2062977
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 14 MG COMP. X 30,1963380
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 3 MG COMP. X 30,1963378
ELEA,SEMAGLUTIDE,DUTIDE,DUTIDE 7 MG COMP. X 30,1963379
ADIUM PHARMA,ISOXSUPRINE,DUVADILAN,"COMPRESSED BLISTER FOR 20 UNITS,  ISOXSUPRINA 10 MG",896045
ADIUM PHARMA,ISOXSUPRINE,DUVADILAN,"COMPRESSED BLISTER FOR 20 UNITS,  ISOXSUPRINA 20 MG",896046
GADOR,DULOXETINE,DUXETIN,30MG CAPS. X 14,208829
GADOR,DULOXETINE,DUXETIN,60MG CAPS. X 14,208830
GADOR,DULOXETINE,DUXETIN,60MG CAPS. X 28,198566
GALDERMA,BOTULINUM TOXIN,DYSPORT,500 U pvo.fco.ax 1,630050
LUNDBECK,MEMANTINE,EBIXA,10 MG TABLETS*28,729
LUNDBECK,MEMANTINE,EBIXA,20 MG TABLETS*28,730
VANNIER LAB,FLUOXETINE,EBURNATE,20MG COMP. X 30,197775
VANNIER LAB,FLUOXETINE,EBURNATE,20MG COMP. X 60,194973
PFIZER,ANIDULAFUNGIN,ECALTA,LIOF. 100MG IV INY POWDER F.AMP. X 1,585210
LAZAR,ENALAPRIL,ECAPRILAT,10MG COMP.X 100,175377
LAZAR,ENALAPRIL,ECAPRILAT,10MG COMP.X 30,175378
LAZAR,ENALAPRIL,ECAPRILAT,20MG COMP.X 30,175381
LAZAR,ENALAPRIL,ECAPRILAT,10MG COMP.X 60,175379
LAZAR,ENALAPRIL,ECAPRILAT,20MG COMP.X 60,175382
NOVOPLOS,BENZOYL PEROXIDE,ECNAGEL P.B.,10% GEL X 60 G,743648
NOVOPLOS,BENZOYL PEROXIDE,ECNAGEL P.B.,5% GEL X 60 G,743649
LAZAR,DOMPERIDONE,ECUAMON,GTS.X 20 ML,330031
LAZAR,DOMPERIDONE,ECUAMON,10MG COMP. X 20,330032
TUTEUR,EDARAVONE,EDARACUT,30 MG.X 10 X 20 ML,1387709
CELNOVA,EDARAVONE,EDARANOVAG,30 MG A.X 10 X 20 ML,1704958
PHARMADORF,CLONAZEPAM,EDICTUM,0.5 MG COMP.X 30,1459573
PHARMADORF,CLONAZEPAM,EDICTUM,2 MG COMP.X 30,1459576
PHARMADORF,CLONAZEPAM,EDICTUM,EDICTUM 0.5 MG COMP.X 500,1874880
PHARMADORF,CLONAZEPAM,EDICTUM,EDICTUM 2 MG COMP.X 500,1874879
PHARMADORF,CLONAZEPAM,EDICTUM,0.5 MG COMP.X 60,1459575
PHARMADORF,CLONAZEPAM,EDICTUM,2 MG COMP.X 60,1459578
TUTEUR,RILUZOLE,EDILOSIV,50 MG COMP.X 60,340894
ECZANE,LAPATINIB,EDITAS,EDITAS 250 MG COMP.REC. X 140,1476704
ECZANE,LAPATINIB,EDITAS,EDITAS 250 MG COMP.REC. X 70,1556755
ADIUM PHARMA,EFINACONAZOLE,EFITUM,SOL.T”P.10% + APLIC.X 4 ML,684723
GEMINIS FARMAC,CALCIUM DOBESILATE,EFLEVAR,500 MG CAPS.X 30,1202861
GEMINIS FARMAC,CALCIUM DOBESILATE,EFLEVAR,500 MG CAPS.X 60,1202862
SANOFI,"INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN",EFLUELDA,JGA.PRELL.X 1 X 0.7 ML,1900734
SIEGFRIED,FLUOROURACIL,EFUDIX,5% (50 MG/G) CREAM 20 G,731
ELEA,FOLIC ACID,EGESTAN FOLICO,1 mg comp.x 30,359522
ELEA,FOLIC ACID,EGESTAN FOLICO,EGESTAN FOLICO 10 MG COMP.X 30,1895132
ELEA,FOLIC ACID,EGESTAN FOLICO,5 mg comp.x 30,359523
ELEA,FOLIC ACID,EGESTAN FOLICO,1 mg comp.x 60,359524
ELEA,FOLIC ACID,EGESTAN FOLICO,EGESTAN FOLICO 10 MG COMP.X 60,1895133
ELEA,FOLIC ACID,EGESTAN FOLICO,5 mg comp.x 60,359525
BIOPROFARMA,ICATIBANT,EIBANTA,EIBANTA 30 MG GER.†PRELL.†X 3 ML,1844203
CELNOVA,PEMETREXED,EKEL,500 MG F.A.LIOF.X 1,1671978
BIOLITEC,PEMETREXED,EKEL,500 MG F.A.LIOF.X 1,1000
GADOR,VENLAFAXINE,ELAFAX,25 MG COMP.X 30,457823
GADOR,VENLAFAXINE,ELAFAX,50 MG COMP.X 30,457824
GADOR,VENLAFAXINE,ELAFAX,75 MG COMP.X 30,457825
GADOR,VENLAFAXINE,ELAFAX LP,37.5 MG CAPS.X 14,457817
GADOR,VENLAFAXINE,ELAFAX LP,150 MG CAPS.X 28,457818
GADOR,VENLAFAXINE,ELAFAX LP,75 MG CAPS.X 28,457820
GADOR,VENLAFAXINE,ELAFAX XR,150 MG COMP.X 28,457821
GADOR,VENLAFAXINE,ELAFAX XR,75 MG COMP.X 28,457822
LABORATORIOS CASASCO S.A.I.C.,TENELIGLIPTIN,ELANT,ELANT COMPRIMIDO RECUBIERTO BLISTER POR 30 UNIDADES,1573188
TAKEDA,IDURSULFASE,ELAPRASE,1 VIAL 3 ML,1001
ELEA,EDARAVONE,ELAVONE,ELAVONE30 MG A.X 10 X 20 ML,2144589
ROEMMERS,RASAGILINE,ELBRUS,1MG COMP. X 30,208886
MEDI PHARMA,CARBAMAZEPINE,ELEBE,200 MG COMP.X 30,457826
MEDI PHARMA,CARBAMAZEPINE,ELEBE,200 MG COMP.X 60,457827
ELEA,ERIBULIN,ELEFIX,ELEFIX INJECTABLE SOLUTION 1 AMPOULE BOTTLE FOR 2 ML,1577838
ELEA,AZACITIDINE,ELEINA,ELEINA 200 MG COMP. X 14,2026407
ELEA,AZACITIDINE,ELEINA,ELEINA 300 MG COMP. X 14,2026409
CRAVERI,ETHINYLESTRADIOL & LEVONORGESTREL,ELEKTRA,ELEKTRA COMPRIMIDO RECUBIERTO BLISTER por 28 UNIDADES (1 blister conteniendo 21 comprimidos activos y 7 comprimidos placebos),1566804
LEPETIT,ESCITALOPRAM,ELEVOPRAM,10 MG COMP.X 30,1533679
LEPETIT,ESCITALOPRAM,ELEVOPRAM,20 MG COMP.X 30,1546990
SIDUS,KETOROLAC,ELGYDOL,10 MG COMP.X 10,964251
CASASCO,GABAPENTIN,ELIFER,100 MG COMP.X 30,457860
CASASCO,GABAPENTIN,ELIFER,300 MG COMP.X 30,457861
CASASCO,GABAPENTIN,ELIFER,600 MG COMP.X 30,457862
CASASCO,GABAPENTIN,ELIFER,300 MG COMP.X 60,457863
ADIUM PHARMA,LEUPRORELIN,ELIGARD,LYO.INJ 22.5 MG,382097
ADIUM PHARMA,LEUPRORELIN,ELIGARD,LYO.INJ 45 MG,382098
RAFFO,LEUPRORELIN,ELIGARD 22.5,ELIGARD 22.5 POLVO LIOFILIZADO PARA INYECTABLE 1 JERINGA PRELLENADA por 22.5 MG,2076780
MONTEVERDE,LEUPRORELIN,ELIGARD,ELIGARD 7.5 POLVO LIOFILIZADO PARA INYECTABLE 1 FRASCO AMPOLLA POR 7.5 MG,1630951
GADOR,ELIGLUSTAT,ELIGLAS,ELIGLAS CAPSULA DURA BLISTER por 60 UNIDADES,1554551
SIEGFRIED,DORZOLAMIDE & TIMOLOL,ELIPTIC,SOL.OFT.X 5 ML,1649626
SOPHIA LABORATORIES,DORZOLAMIDE & TIMOLOL,ELIPTIC OFTENO PF,W/DOSAGE,1649627
PFIZER,APIXABAN,ELIQUIS,60 TABS 2.5 MG,324
PFIZER,APIXABAN,ELIQUIS,60 TABS 5 MG,325
LAFEDAR,OXELADIN,ELITOS,COMP.RAN.X 20,1189506
ELEA,ETHINYLESTRADIOL & ETONOGESTREL,ELLERING,ANILLO VAGINAL SOB.X 1 ETONOGESTREL+ETINILESTRADIOL,1262914
TEVA,PENTOSAN POLYSULFATE SODIUM,ELMIRON,100 MG CAPSULES,182851
ORGANON & CO,MOMETASONE,ELOCON,POMO X 15 G,395073
ORGANON & CO,CORIFOLLITROPIN ALFA,ELONVA,1 PREFILLED SYRINGE 100 MCG / 0.5 ML,263897
ORGANON & CO,CORIFOLLITROPIN ALFA,ELONVA,1 PREFILLED SYRINGE 150 MCG / ML,263898
TUTEUR,ELTROMBOPAG,ELOPAG,25 MG COMP.X 28,1381351
ELEA,BEZAFIBRATE,ELPI LIP,400MG COMP.X 30,175828
LABORATORIOS CASASCO S.A.I.C.,AMBRISENTAN,ELUTAN,ELUTAN 10 MG COMP. X 30,1844206
LABORATORIOS CASASCO S.A.I.C.,AMBRISENTAN,ELUTAN,ELUTAN 5 MG COMP. X 30,1844205
MICROSULES,LEVOFLOXACIN,ELY DIAR,750 MG COMP.X 5,1229527
TEVA,ERLOTINIB,ELYP,100 MG X 30,1189556
TEVA,ERLOTINIB,ELYP,150 MG X 30,1189557
NOLTER,EMPAGLIFLOZIN,EMADIAN,EMADIAN 10 MG COMP.REC.X 30,1997004
NOLTER,EMPAGLIFLOZIN,EMADIAN,EMADIAN 25 MG COMP.REC.X 30,1997005
NOLTER,EMPAGLIFLOZIN & METFORMIN,EMADIANMET,EMADIANMET 5/1000 COMP.REC.X 60,1997007
NOLTER,EMPAGLIFLOZIN & METFORMIN,EMADIANMET,EMADIANMET 12.5/1000 COMP.REC.X 60,1997009
NOLTER,EMPAGLIFLOZIN & METFORMIN,EMADIANMET,EMADIANMET 12.5/850 COMP.REC.X 60,1997008
NOLTER,EMPAGLIFLOZIN & METFORMIN,EMADIANMET,EMADIANMET 5/850 COMP.REC.X 60,1997006
TUTEUR,CLADRIBINE,EMECLAD,10 MG TAB.X 1,1723008
MSD,APREPITANT,EMEND,TRIPACK 125 MG CAPS X 1 & 80 MG CAPS X 2,421680
MSD,APREPITANT,EMEND,EMEND IV POLVO LIOFILIZADO PARA SOLUCION PARA INFUSION INTRAVENOSA 1 FRASCO AMPOLLA por 10 ML,1675890
SIEGFRIED,ALPRAZOLAM,EMERAL,0.5 MG COMP.X 30,457914
SIEGFRIED,ALPRAZOLAM,EMERAL,1 MG COMP.X 30,457915
SIEGFRIED,ALPRAZOLAM,EMERAL,2 MG COMP.X 30,457916
SIEGFRIED,ALPRAZOLAM,EMERAL,0.5 MG COMP.X 50,457917
SIEGFRIED,ALPRAZOLAM,EMERAL,1 MG COMP.X 50,457918
SIEGFRIED,ALPRAZOLAM,EMERAL,2 MG COMP.X 50,457919
DOMINGUEZ,DOXYLAMINE & PYRIDOXINE,EMETIC,10/10 MG CAPS.X 30,924494
BERNABO LABORATORIOS,EMPAGLIFLOZIN,EMGLIBER,10 MG COMP.REC.X 30,2036145
BERNABO LABORATORIOS,EMPAGLIFLOZIN,EMGLIBER,25 MG COMP.REC.X 30,2036146
BERNABO LABORATORIOS,EMPAGLIFLOZIN & METFORMIN,EMGLIBER MET,EMGLIBER MET12.5/1000 COMP.REC.X 60,2159178
BERNABO LABORATORIOS,EMPAGLIFLOZIN & METFORMIN,EMGLIBER MET,EMGLIBER MET5/850 COMP.REC.X 60,2159177
ASPEN,LIDOCAINE & PRILOCAINE,EMLA,CR.X 30 G + ESP¡TULA,1546991
BIOFACTOR,COAGULATION FACTOR VIII,EMOCLOT,EMOCLOT POLVO LIOFILIZADO PARA INYECTABLE 1 FRASCO AMPOLLA POR 1000 UI + 1 AMPOLLA POR 10 ML DE DISOLVENTE + KIT DE INFUSI√ìN,1556632
BIOFACTOR,COAGULATION FACTOR VIII,EMOCLOT,EMOCLOT POLVO LIOFILIZADO PARA INYECTABLE 1 FRASCO AMPOLLA POR 500 UI + 1 FRASCO AMPOLLA POR 10 ML DE DISOLVENTE + KIT PARA INFUSI√ìN.,1556631
BIOFACTOR,DESMOPRESSIN,EMOSINT,EMOSINT 20 SOLUCION INYECTABLE 10 AMPOLLA por 1 ML,1578029
BIOFACTOR,DESMOPRESSIN,EMOSINT,EMOSINT 20 20 MCG/ML 1 ML X 3 A.,1895134
PINT PHARMA,PEGCETACOPLAN,EMPAVELI,EMPAVELI FCO. AMP. X 1 X 20 ML,1963381
SIEGFRIED,EMPAGLIFLOZIN,EMPAX,EMPAX 10 MG COMP.REC.X 30,1997010
SIEGFRIED,EMPAGLIFLOZIN,EMPAX,EMPAX 25 MG COMP.REC.X 30,1997011
SIEGFRIED,EMPAGLIFLOZIN & METFORMIN,EMPAX MET,EMPAX MET 5/1000 COMP.REC.X 60,1997013
SIEGFRIED,EMPAGLIFLOZIN & METFORMIN,EMPAX MET,EMPAX MET 12.5/1000 COMP.REC.X 60,1997015
SIEGFRIED,EMPAGLIFLOZIN & METFORMIN,EMPAX MET,EMPAX MET 5/850 COMP.REC.X 60,1997012
SIEGFRIED,EMPAGLIFLOZIN & METFORMIN,EMPAX MET,EMPAX MET 12.5/850 COMP.REC.X 60,1997014
BAYER,CLOTRIMAZOLE,EMPECID,CR X 20 G,554306
BAYER,CLOTRIMAZOLE,EMPECID,SPRAY X 60 ML,554307
BAYER,CLOTRIMAZOLE,EMPECID GYNO CREAM,cr.x 35 g + 6 aplic.desc.,554402
BAYER,CLOTRIMAZOLE,EMPECID GYNO 3 DIA,3 VAGINAL TABS 100 MG,418093
BAYER,CLOTRIMAZOLE,EMPECID GYNO 6 DIA,6 VAGINAL TABS 100 MG,418094
BAYER,BIFONAZOLE & CROTAMITON & GLYCYRRHETIC ACID & LIDOCAINE & MENTHOL,EMPECID PIE,CREAM 15 G,743580
BIOSIDUS,EMTRICITABINE & TENOFOVIR DISOPROXIL,TENOFOVIR EMTRICITABINA SANDOZ,500 MG COMP.REC.X 30,1407707
VARIFARMA,FINGOLIMOD,EMULIMOD,0.5 MG 28 CAPS,425480
CASASCO,HALOPERIDOL,ENABRAN,10 MG COMP.X 60,340945
VENT3,ENALAPRIL,ENALAPRIL,"ENALAPRIL VENT 3 COMPRIMIDO BLISTER por 30 UNIDADES , 10 MG",1675786
RICHET,ENALAPRIL,ENALAPRIL RICHET,ENALAPRIL RICHET 20 MG COMP.REC.X 60,1997016
DUNCAN,ENALAPRIL,ENALDUN,10MG COMP.X 30,175383
DUNCAN,ENALAPRIL,ENALDUN,20MG COMP.X 30,175385
DUNCAN,ENALAPRIL,ENALDUN,5MG COMP.X 30,175387
DUNCAN,ENALAPRIL,ENALDUN,10MG COMP.X 60,175384
DUNCAN,ENALAPRIL,ENALDUN,20MG COMP.X 60,175386
SIEGFRIED,DEXKETOPROFEN,ENANTYUM,GEL X 60 G,997806
SIEGFRIED,DEXKETOPROFEN,ENANTYUM 25 MG,ENANTYUM 25 MG GRANULADO 10 SOBRE por 2.5 G,1608137
SIEGFRIED,DEXKETOPROFEN,ENANTYUM,50 mg/2 ml iny.a.x 100,630086
SIEGFRIED,DEXKETOPROFEN,ENANTYUM,50 mg/2 ml iny.a.x 6,630087
SIEGFRIED,DEXKETOPROFEN,ENANTYUM,25 mg comp.x 20,630084
SIEGFRIED,DEXKETOPROFEN,ENANTYUM,25 mg comp.x 40,630085
LEPETIT,ENALAPRIL & HYDROCHLOROTHIAZIDE,ENATRAL D,ENATRAL D 20/12.5 MG TABLETS X 30,1997019
LEPETIT,ENALAPRIL & HYDROCHLOROTHIAZIDE,ENATRAL D,ENATRAL D 10/25 MG TABLETS X 30,1997017
LEPETIT,ENALAPRIL & HYDROCHLOROTHIAZIDE,ENATRAL D,ENATRAL D 20/12.5 MG TABLETS X 60,1997020
LEPETIT,ENALAPRIL & HYDROCHLOROTHIAZIDE,ENATRAL D,ENATRAL D 10/25 MG TABLETS X 60,1997018
PFIZER,ETANERCEPT,ENBREL,ENBREL25MG CARTRIDGE X 4,2127736
PFIZER,ETANERCEPT,ENBREL,25 MG PVO.LIOF.VIALES X4,576
PFIZER,ETANERCEPT,ENBREL,50 MG AUTOINYECTOR X 4,577
PFIZER,ETANERCEPT,ENBREL,ENBREL INJECTION 25 MG,578
PFIZER,ETANERCEPT,ENBREL,ENBREL INJECTION 50 MG,579
GADOR,EMPAGLIFLOZIN,ENCLYNA,ENCLYNA TABLETS 10 MG COMP.X 30,1934976
GADOR,EMPAGLIFLOZIN,ENCLYNA,ENCLYNA TABLETS 25 MG COMP.X 30,1934977
EVEREX PHARMA,BENDAMUSTINE,ENDEXIN 100,100 MG F.A.X 1,2009
ROEMMERS,GLIMEPIRIDE,ENDIAL,2 MG COMP.X 30,567956
ROEMMERS,GLIMEPIRIDE,ENDIAL,4 MG COMP.X 30,567958
ROEMMERS,GLIMEPIRIDE,ENDIAL,2 MG COMP.X 60,567957
ROEMMERS,GLIMEPIRIDE & METFORMIN,ENDIAL MET 4,ENDIAL MET 4/1000 MG COMP.REC.X 30,554459
ROEMMERS,GLIMEPIRIDE & METFORMIN,ENDIAL MET 4,4/1000 MG COMP.REC.X 60,1468043
ROEMMERS,GLIMEPIRIDE & METFORMIN,ENDIAL MET 2,ENDIAL MET 2 2/1000 MG COMP.REC.X 30,554458
ROEMMERS,GLIMEPIRIDE & METFORMIN,ENDIAL MET 2,2/1000 MG COMP.REC.X 60,1468042
BALIARDA,DONEPEZIL,ENDOCLAR,10 MG COMP.REC.X 30,457923
BALIARDA,DONEPEZIL,ENDOCLAR,5 MG COMP.REC.X 30,457924
ECZANE,BOSENTAN,ENDOTAN 125,ENDOTAN 125 COMPRIMIDO RECUBIERTO BLISTER por 60 UNIDADES,1561398
ECZANE,BOSENTAN,ENDOTAN 62.5,ENDOTAN 62.5 COMPRIMIDO RECUBIERTO BLISTER por 60 UNIDADES,1554657
GADOR,SODIUM PHOSPHATE,ENEMOL,SOL.X 135 ML,1229493
GEMABIOTECH,ETANERCEPT,ENERCEPTAN,50 MG JGA.AUTOINJECTOR.X 4,1387707
GEMABIOTECH,ETANERCEPT,ENERCEPTAN,25 MG JGA.PRELL.X 4,896061
GEMABIOTECH,ETANERCEPT,ENERCEPTAN,50 MG JGA.PRELL.X 4,896062
GEMABIOTECH,"IRON, PARENTERAL PREPARATIONS",ENERGAVIT,100 MG/5 ML INY.A.X 50,421277
FADA PHARMA,GLYCERYL TRINITRATE,ENETEGE,ENETEGE SOLUCION INYECTABLE 100 AMPOLLA POR 5 ML25 MG,1567022
GLAXOSMITHKLINE,"HEPATITIS B, PURIFIED ANTIGEN",ENGERIX-B,JGA.PRELL.X 1ML,1546653
ASTRAZENECA,TRASTUZUMAB DERUXTECAN,ENHERTU,ENHERTU INJECTION 100 MG VIAL X 1,1934978
CASASCO,PRASUGREL,ENIPRAX,10 MG 30 TABS,507982
CASASCO,OLANZAPINE,ENOLEX,10 MG COMP.X 28,457925
CASASCO,OLANZAPINE,ENOLEX,5 MG COMP.X 28,457926
FINADIET SACIFI,ABIRATERONE,ENORDEN,250 MG COMP.X 120,1180906
NORTHIA,ENOXAPARIN,ENOXANORTH,20 mg jga.prell.x 10,359534
NORTHIA,ENOXAPARIN,ENOXANORTH,80 mg jga.prell.x 10,359537
LI ARGENTINO,ENOXAPARIN,ENOXANORTH,ENOXANORTH 40 MG JGA.PRELL.X 2,1598651
NORTHIA,ENOXAPARIN,ENOXANORTH,40 mg jga.prell.x 50,359539
NORTHIA,ENOXAPARIN,ENOXANORTH,60 mg jga.prell.x 50,359540
CELTYC,ENOXAPARIN,ENOXAPARINA CELTYC,ENOXAPARINA CELTYC INJECTION 40 MG JGA.PRELL.X 10,1934979
MICROSULES,LOSARTAN,ENROMIC,100MG COMP. X 30,175492
MICROSULES,LOSARTAN,ENROMIC,50MG COMP. X 30,175493
MICROSULES,LOSARTAN,ENROMIC,ENROMIC 50 MG COMP.REC.X 60,1844207
ROCHE,SATRALIZUMAB,ENSPRYNG,120 MG JGA.PRELL. X 1,1556680
SIEGFRIED,GLYCOPYRRONIUM BROMIDE & INDACATEROL,ENSTRUX BREEZHALER,ENSTRUX BREEZHALER CAPSULA CON POLVO PARA INHALAR BLISTER por 30 UNIDADES + inhalador,1554454
MICROSULES,CARVEDILOL,ENTARSOL,ENTARSOL 12.5 12.5 MG COMP.REC.X 30,2033891
MICROSULES,CARVEDILOL,ENTARSOL,ENTARSOL 25 25 MG COMP.REC.X 30,2033892
MICROSULES,CARVEDILOL,ENTARSOL,ENTARSOL 6.25 6.25 MG COMP.REC.X 30,2033893
OPELLA HEALTHCARE,BACILLUS CLAUSII,ENTEROGERMINA,2000 MILL / FCO;baby x 10 x 5 ml,1188680
SIEGFRIED,SACUBITRIL & VALSARTAN,ENTRESTO,100 MG COMP REC. X 30,235191
SIEGFRIED,SACUBITRIL & VALSARTAN,ENTRESTO,50 MG COMP REC. X 30,235192
SIEGFRIED,SACUBITRIL & VALSARTAN,ENTRESTO,100 MG COMP REC. X 60,235193
SIEGFRIED,SACUBITRIL & VALSARTAN,ENTRESTO,200 MG COMP REC. X 60,235194
TAKEDA,VEDOLIZUMAB,ENTYVIO,ENTYVIO POLVO PARA CONCENTRADO PARA SOLUCION PARA INFUSION 1 FRASCO AMPOLLA por 300 MG,1566820
TAKEDA,VEDOLIZUMAB,ENTYVIO SC,108MG/0.68ML J.PRELL.X 2,1577691
ECZANE,ENZALUTAMIDE,ENZALUXANE,ENZALUXANE40 MG C·PS.X 120,1927748
ECZANE,ENZALUTAMIDE,ENZALUXANE,ENZALUXANE40 MG COMP.REC. X 120,1927754
ECZANE,ENZALUTAMIDE,ENZALUXANE,ENZALUXANE80 MG COMP.REC. X 56,1927749
LKM ONCO,PEMETREXED,ENZASTAR,500 MG LIOF.F.A.X 1,1609
SIEGFRIED,DROSPIRENONE & ETHINYLESTRADIOL,EOS,1+2 MG 30 TABS,269423
ELEA,PHENYTOIN,EPAMIN,CAPS.X 30,1229477
ELEA,PHENYTOIN,EPAMIN,CAPS.X 60,1229478
ELEA,PHENYTOIN,EPAMIN,CAPS.X 90,1229479
ELEA,PHENYTOIN,EPAMIN,LIQ.X 120 ML,1229480
GADOR,SOFOSBUVIR & VELPATASVIR,EPCLUSA,1 FRASCO POR 28 UNIDADES,531310
LEPETIT,TOPIRAMATE,EPILACAM,100 MG 28 TABS,396845
LEPETIT,TOPIRAMATE,EPILACAM,25 MG 28 TABS,396846
TEVA,LAMOTRIGINE,EPILEPAX,100 MG DISPERSIBLE 30 TABS,1557303
TEVA,LAMOTRIGINE,EPILEPAX,200 MG DISPERSIBLE 30 TABS,1557304
TEVA,LAMOTRIGINE,EPILEPAX,25 MG DISPERSIBLE 30 TABS,1557305
TEVA,LAMOTRIGINE,EPILEPAX,50 MG DISPERSIBLE 30 TABS,1557306
TEVA,LAMOTRIGINE,EPILEPAX,100 MG DISPERSIBLE 60 TABS,1557307
LI ARGENTINO,EPINASTINE,EPIOFTAL,SOL.OFT.X 5 ML,330062
TEMIS LOSTALO,EPINEPHRINE,EPIPEN,1X0.3 MG AUTOINJECTOR,2090
TEMIS LOSTALO,EPINEPHRINE,EPIPEN JR,0.15 MG AUTOINJECTOR X 1,2089
IMA,EPIRUBICIN,EPIRUBICIN,1 POWDER VIAL 25 ML 50 MG,1189550
KEMEX,EPIRUBICIN,EPIRUBICINA,"50 MG INY.LIOF.F.A.X 1, 25 ML",1556447
CASASCO,TOPIRAMATE,EPISTAL,100 MG 28 TABS,396876
CASASCO,TOPIRAMATE,EPISTAL,25 MG 28 TABS,396877
CASASCO,TOPIRAMATE,EPISTAL,50 MG 28 TABS,396878
CASASCO,TOPIRAMATE,EPISTAL,100 MG 56 TABS,396879
CASASCO,TOPIRAMATE,EPISTAL,EPISTAL 25 MG COMP.X 56,1566707
CASASCO,TOPIRAMATE,EPISTAL,EPISTAL 50 MG COMP.X 56,1566706
ARISTON,COMBINATIONS & MULTIVITAMIN,EPITELIOL C,EPITELIOL C COMPRIMIDO RECUBIERTO BLISTER POR 20 UNIDADES 390 MG,1556452
BIOPROFARMA,PRALATREXATE,EPIXTIE,EPIXTIE 20 MG/ML AMP. X 1,2074790
ABBVIE,EPCORITAMAB,EPKINLY,EPKINLY 5 MG/ML SOL. INJ.X 1,1997021
ABBVIE,EPCORITAMAB,EPKINLY,EPKINLY 60 MG/ML SOL. INJ.X 1,1997022
GADOR,EPLERENONE,EPLERONA,25 MG 30 TABS,418122
GADOR,EPLERENONE,EPLERONA,50 MG 30 TABS,418123
VARIFARMA,EPOETIN ALFA,EPOGEN,10000 UI FAX 1 X 1 ML,923354
CASSARA,EPOETIN ALFA,EPOGEN,2000 UI F.A.X 1 X 1 ML,1164640
CASSARA,EPOETIN ALFA,EPOGEN,4000 IU FAX 1 X 1 ML,923351
PABLO CASSARA,EPOETIN ALFA,EPOGEN,EPOGEN SOLUCION INYECTABLE FRASCO AMPOLLA POR 1 UNIDAD,1887146
VARIFARMA,EPOETIN ALFA,EPOGEN,40000 UI FAX 1 X 1 ML,923353
TEVA,ESCITALOPRAM,EPSICONOR,10 MG COMP.†REC.†X 30,1844097
TEVA,ESCITALOPRAM,EPSICONOR,20 MG COMP.†REC.†X 30,1844098
ELEA,DROSPIRENONE & ESTROGEN,EQUIFEM,28 TABS 3 MG,269505
ELEA,LEVETIRACETAM,EQUILEA,BLISTER POR 30 UNIDADES LEVETIRACETAM 1000 MG,1895243
ELEA,LEVETIRACETAM,EQUILEA,"EQUILEA COMPRIMIDO RECUBIERTO BLISTER POR 30 UNIDADES, 500 MG",1554428
