MAL12010005AZ,AMIODARONE HCL 150mg/3mL INJECTION Bioindustria L.I.M.,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL12010007AZ,Reten Five Solution 5g/100ml,IMEKS PHARMA SDN. BHD.
MAL12015002AZ,GPO-L-One Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL12015003AZ,Fucon Syrup 1mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12015005X,Appeton Essentials Glucosamine 500 + Chondroitin 400 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL12020011AZ,METTA SR Tablet 500mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL12020016AZ,METTA SR Tablet 750 mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL12020019AZ,VIATRINIL 3mg/3mL Solution for Injection/ Infusion,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL12020029AZ,AXCEL PREDNISOLONE-5MG EC TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL12025054AZ,Betacylic Ointment,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12025061X,Uphamol Menstrual Tablet 500/25mg,Duopharma Marketing Sdn. Bhd.
MAL12025062X,Donna Gluco-C Plus MSM Capsule,Duopharma Marketing Sdn. Bhd.
MAL12035079ACZ,Ella Tablet 30mg,HYPHENS PHARMA SDN. BHD.
MAL12045008AZ,SALBUNEB (SALBUTAMOL 2.5mg/2.5mL NEBULISER SOLUTION),AIN MEDICARE SDN. BHD.
MAL12050012XZ,Pinetarsol Gel Tar 1.6% w/w,EGO PHARM MALAYSIA SDN. BHD.
MAL12055022AZ,PEACE DM SYRUP,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12055023AZ,Ceritec Syrup 1mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12055037X,Axcel GLUCOSATIN TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL12060008AZ,AXCEL LAMIVUDINE-100 MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL12075023ARZ,Naglazyme Concentrated Solution for Intravenous Infusion 1mg/1ml,PHARM-D SDN. BHD.
MAL12075078AZ,INJECSOL LIG2 (LIGNOCAINE HYDROCHLORIDE INJECTION 2% w/v),AIN MEDICARE SDN. BHD.
MAL12085066AZ,SALAZINE Enteric Coated Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL12085071AZ,Acetan HCT Tablet 50/12.5mg,Duopharma Marketing Sdn. Bhd.
MAL12085072AZ,Acetan HCT Tablet 100mg/25mg,Duopharma Marketing Sdn. Bhd.
MAL12085086AZ,INFUSOL SG (SUCCINYLATED GELATIN (Bovine) INTRAVENOUS INFUSION 4% w/v),AIN MEDICARE SDN. BHD.
MAL12095087ARZ,Granisetron Kabi 1mg/ml Concentrate Solution for Injection/Infusion.,FRESENIUS KABI MALAYSIA SDN. BHD
MAL12095092AZ,TRACIDOL INJECTION 50MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12095099X,Binafine Cream 1% w/w,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL12110004XC,SELENASE� 50 MICROGRAMS/ML - ORAL SOLUTION,IMEKS PHARMA SDN. BHD.
MAL12110005ACZ,"selenase � 100 micrograms, solution for injection (50 micrograms/ml)",IMEKS PHARMA SDN. BHD.
MAL12110006ACZ,"selenase 500 micrograms, solution for injection (50 micrograms/ml)",IMEKS PHARMA SDN. BHD.
MAL12115063AZ,SHINACOL EYE DROPS 0.5%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12115064AZ,SHINADEX EYE DROPS,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL12115070XZ,BISCOMIN SYRUP 4mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL13025041ARZ,Ondansetron Kabi 2mg/ml Solution for Injection,FRESENIUS KABI MALAYSIA SDN. BHD
MAL13025053X,NEUROCOBAL TABLETS 500 MCG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL13035056XZ,Axcel VITALIC TABLETS,KOTRA PHARMA (M) SDN. BHD.
MAL13035064AZ,SII Tetanus Toxoid Vaccine Adsorbed,SM PHARMACEUTICALS SDN. BHD.
MAL13055064ACZ,Nordipine Tablet 5mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL13055066ACZ,Nordipine Tablet 10mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL13055068ACZ,Prosulf 10mg/ml Solution for Injection,ANTAH PHARMA SDN. BHD.
MAL13055074ARZ,Firmagon 120mg Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL13055075ARZ,Firmagon 80mg Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL13075046N,APPETON MULTIVITAMIN OPTIGROW PLUS,KOTRA PHARMA (M) SDN. BHD.
MAL13075065AZ,HEMACOM AB (CONTINUOUS RENAL REPLACEMENT THERAPY SOLUTION),AIN MEDICARE SDN. BHD.
MAL13085047AZ,Ciflox Film Coated Tablet 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13085049AZ,Ciflox Film Coated Tablet 750mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13085051AZ,Axcel MOMETASONE 0.1% OINTMENT,KOTRA PHARMA (M) SDN. BHD.
MAL13085052AZ,Axcel MOMETASONE 0.1% CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL13095080AZ,Acetan Tablet 50mg,Duopharma Marketing Sdn. Bhd.
MAL13095081AZ,Acetan Tablet 100mg,Duopharma Marketing Sdn. Bhd.
MAL13115088T,Cefasily film coated tablet,BIO-PHARMACEUTICALS SDN. BHD.
MAL13115205AZ,Phenadryl Syrup,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13115209AZ,Axcel CIPROFLOXACIN-500MG TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL13115210AZ,VAXCEL LIGNOCAINE 1% INJECTION,KOTRA PHARMA (M) SDN. BHD.
MAL13115221XZ,Three Legs Tinea-Kare Anti-Fungal Cream 1%w/w,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL13115222X,PICO-SALAX Powder for Oral Solution,Ferring Sdn. Bhd.
MAL13115224XZ,Three Legs Tinea-Kare Anti-Fungal Spray 1%w/v,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL13125011AZ,LYDOCAN INJECTION 2%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL13125018AZ,TOLANZ ODT TABLETS 5 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL13125019AZ,TOLANZ ODT TABLETS 10 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL14025009AZ,YSP Prednisolone Syrup 3mg/5ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14055016AZ,Dexamed Injection 8mg/2ml,KOMEDIC SDN BHD
MAL14055046AZ,ELIGARD 22.5MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL14055047AZ,ELIGARD 45MG POWDER & SOLVENT FOR SOLUTION FOR INJECTION,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL14075045X,Shine J-CARE Cream,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14085013AZ,Ezenol Tablet 160mg,Duopharma Marketing Sdn. Bhd.
MAL14085017AZ,Zynomax Powder For Oral Suspension 200mg/5ml,Duopharma Marketing Sdn. Bhd.
MAL14085055AZ,Axcel SILDENAFIL-100MG TABLETS,KOTRA PHARMA (M) SDN. BHD.
MAL14095051AZ,AXCEL CEFUROXIME-125 FOR ORAL SUSPENSION (125MG/5ML),KOTRA PHARMA (M) SDN. BHD.
MAL14115013AZ,Salbutamol-G Expectorant,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14115015ARZ,MENOPUR multidose 600IU Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL14115016ARZ,MENOPUR multidose 1200IU Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL14115024X,FOTAGEL SUSPENSION 3g/20ml (DIOCTAHEDRAL SMECTITE),IMEKS PHARMA SDN. BHD.
MAL14125064AZ,CEFMEX 1G POWDER FOR INJECTION,DUOPHARMA (M) SENDIRIAN BERHAD
MAL14125073AZ,Pharmaniaga Labetalol Hydrochloride 25mg/5ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL14125074AZ,FUSTADIN CREAM 2% w/w,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14125075AZ,Vextasone Tablet 4mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL14125122AZ,DEPOGESTON 50MG/ML INJECTION,J. BIO MEDIC MARKETING SDN. BHD.
MAL14125145AZ,Vaxcel Acyclovir 250mg I.V. for Infusion,KOTRA PHARMA (M) SDN. BHD.
MAL14125153ARZ,Paracetamol Kabi 10mg/ml Solution for Infusion,FRESENIUS KABI MALAYSIA SDN. BHD
MAL15015046AZ,Tapicin Powder For Injection 4.5g,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15015047ACRZ,GLYPRESSIN 1mg/8.5ml solution for injection,Ferring Sdn. Bhd.
MAL15025041AZ,FUSIDASOL CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15025043AZ,Trovite IV Injection,DUOPHARMA (M) SENDIRIAN BERHAD
MAL15045057AZ,Azithromycin film-coated tablets 500mg Lesvi Lab,ZIWELL MEDICAL SDN. BHD.
MAL15045058AZ,Azithromycin Powder For Oral Suspension 200mg/5ml Lesvi Lab,ZIWELL MEDICAL SDN. BHD.
MAL15045073XC,Kordel's Glucosamine + Chondroitin + MSM Effervescent Tablets,CAMBERT(M) SDN. BHD.
MAL15045074AZ,Axcel Etoricoxib-120mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL15045122AZ,VALZAAR-80 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL15045129AZ,Nexpro Tablets 40mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL15045130AZ,Nexpro Tablets 20mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL15045132AZ,VALZAAR-160 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL15045138AZ,Pharmaniaga Furosemide 20mg/2mL Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL15045160AZ,Brintellix 10mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL15065045AZ,VOREN INJECTION VIAL 25MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15085010ARZ,"Zoledronic Acid Kabi, 4mg/5ml Concentrate for Solution for Infusion",FRESENIUS KABI MALAYSIA SDN. BHD
MAL15085066XZ,Folina Tablets 15mg,PHARM-D SDN. BHD.
MAL15085071AZ,Converium 150mg Tablets,KOMEDIC SDN BHD
MAL15085072AZ,Converium 300mg Tablet,KOMEDIC SDN BHD
MAL15085075AZ,B-MYCIN EYE & EAR DROPS,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15085079AZ,Cetraxal Plus Ear Drops Solution,HYPHENS PHARMA SDN. BHD.
MAL15095004N,N/A,N/A
MAL15095018AZ,YSP SHINCORT INJECTION 40MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15095022AZ,B GARGLE SOLUTION 0.15% W/V,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL15095026AZ,YSP SHINCORT INJECTION 10MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15095036AZ,Vimizim 1mg/ml Concentrate for Solution for Infusion,PHARM-D SDN. BHD.
MAL15105034AZ,ONDATRON (ONDANSETRON INJECTION BP 2mg/mL),AIN MEDICARE SDN. BHD.
MAL15125037AZ,YSP Knowful Injection 200mg/ml.,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL15125040AZ,KYTRON SOLUTION FOR INJECTION/INFUSION 3MG/3ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL15125041X,Condrosa Sachet for oral solution,AV MANUFACTURING SDN.BHD
MAL15125042XZ,Avadol-Fast Tablet 500mg,AV MANUFACTURING SDN.BHD
MAL16015033AZ,XEOMIN powder for solution for injection 50 LD50 units,TT Medical Management Sdn Bhd
MAL16015034AZ,XEOMIN powder for solution for injection 100 LD50 units,TT Medical Management Sdn Bhd
MAL16015037AZ,YSP Bufencon Injection,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16015038ARZ,Rocuronium Kabi 10mg/ml Solution for Injection/Infusion,FRESENIUS KABI MALAYSIA SDN. BHD
MAL16015039AZ,IPRANEB 250 (Ipratropium Bromide 250mcg/2mL Nebuliser Solution BP),AIN MEDICARE SDN. BHD.
MAL16025035AZ,Vaxcel Methylprednisolone 1g for Injection,KOTRA PHARMA (M) SDN. BHD.
MAL16025041ACRZ,"IMIPENEM /CILASTATIN Kabi 500 mg/ 500 mg, Powder for solution for infusion",FRESENIUS KABI MALAYSIA SDN. BHD
MAL16025043AZ,Ramtace Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16025045AZ,Minox 5% Topical Solution (Extra Strength),KOTRA PHARMA (M) SDN. BHD.
MAL16035027AZ,Axcel Cephalexin-250 Suspension,KOTRA PHARMA (M) SDN. BHD.
MAL16045055AZ,Docetaxel Injection Concentrate 20mg/ml Daxotel,FRESENIUS KABI MALAYSIA SDN. BHD
MAL16065018AZ,FUROMIDE (FUROSEMIDE INJECTION BP 20mg/2mL),AIN MEDICARE SDN. BHD.
MAL16065023AZ,DOPAINE (Sterile Dopamine Concentrate 40mg/mL),AIN MEDICARE SDN. BHD.
MAL16065048AZ,ADENORYTHM SOLUTION FOR INJECTION 3mg/mL,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL16065050AZ,Creobic DA (Double Action) Cream,KOTRA PHARMA (M) SDN. BHD.
MAL16075016X,AVM-Artrisa Sachet for Oral Solution 1500mg,AV MANUFACTURING SDN.BHD
MAL16075021AZ,CIPOFAIN (Ciprofloxacin Sterile Ophthalmic Solution 0.3% w/v),AIN MEDICARE SDN. BHD.
MAL16075026AZ,Bisocor Tablet 5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16075029AZ,Bisocor Tablet 2.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16085024AZ,Rolazide Tablet 80mg,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL16105033AZ,AXCEL PHENTERMINE-30MG TABLETS,KOTRA PHARMA (M) SDN. BHD.
MAL16105034AZ,BEZONE OINTMENT 0.1% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL16115039AZ,Prelica Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL16115040AZ,Prelica Capsule 150mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL16125011N,Consulf Capsule,AV MANUFACTURING SDN.BHD
MAL16125027AZ,Zodenox Film Coated Tablets 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16125030AZ,Edyfil Film Coated Tablet 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16125031AZ,Edyfil Film Coated Tablet 50mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL16125034AZ,Visolone Tablet 1mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17035024ACZ,ENDOMETRIN 100mg Vaginal Tablet,Ferring Sdn. Bhd.
MAL17035032ARSZ,"SmofKabiven Electrolyte Free, Emulsion for Infusion",FRESENIUS KABI MALAYSIA SDN. BHD
MAL17035046AZ,Vaxcel Azithromycin 500mg I.V. for Infusion,KOTRA PHARMA (M) SDN. BHD.
MAL17065002AZ,Pharmaniaga Leucovorin Calcium 50mg/5ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL17065012ACRZ,Dexmedetomidine Kabi 0.1mg/mL Concentrate for Infusion,FRESENIUS KABI MALAYSIA SDN. BHD
MAL17065019AZ,Pharmaniaga Amikacin 500mg/2ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL17065024AZ,Vaxcel Granisetron 1mg/ml Injection,KOTRA PHARMA (M) SDN. BHD.
MAL17075013AZ,MENELAT 30 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17075014AZ,ELASTA 60mg FILM-COATED TABLETS,MMS PHARMA (MALAYSIA) SDN. BHD.
MAL17075017AZ,YSP Salbutamol Injection 0.5mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17085005AZ,VENLIFT ER 37.5 MG CAPSULE,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17085006AZ,VENLIFT ER 75MG CAPSULE,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17085007AZ,VENLIFT ER 150 MG CAPSULE,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17085008AZ,Pharmaniaga Phenytoin Sodium 250mg/5ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL17085014AZ,Mementor TABLETS 20 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17085044AZ,TORLEVA 250 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17085060AZ,Lipo-Dox Liposome Injection 2mg/ml Concentrate for Infusion,PHARM-D SDN. BHD.
MAL17085061AZ,TIMOLAIN (Timolol Maleate Ophthalmic Solution USP (Timolol 0.5%)),AIN MEDICARE SDN. BHD.
MAL17097019N,APPETON MV LYSINE SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL17107014AZ,ALFUTOR ER TABLETS 10 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17107016AZ,PREGEB CAPSULES 75 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL17107024ARZ,Piperacillin/Tazobactam Kabi 4g/0.5g Powder for Solution for Infusion,FRESENIUS KABI MALAYSIA SDN. BHD
MAL17107026AZ,Shinallerg Eye Drop,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107028AZ,Ciflox Eye Drop 0.3% w/v,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107032AZ,SIMVACOR Film Coated Tablet 40mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107075ACRZ,MINIRIN Oral Lyophilisate for sublingual 60mcg,Ferring Sdn. Bhd.
MAL17107076ACRZ,MINIRIN Oral Lyophilisate for sublingual 120mcg,Ferring Sdn. Bhd.
MAL17107080AZ,Axcel Etoricoxib-90mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL17107089AZ,GRANIL 3mg/3mL Solution for Injection/Infusion,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17107093AZ,Promethiol Syrup,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL17116078XR,QV Flare Up Cream 10%w/w,EGO PHARM MALAYSIA SDN. BHD.
MAL17117037AZ,HEMACOM LF (Continuous Renal Replacement Therapy Solution without Lactate),AIN MEDICARE SDN. BHD.
MAL17117043XZ,UniRINS CG (Chlorhexidine Gluconate 0.05% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL18016021AZ,Megex-I Suspension 800mg/20ml,IMEKS PHARMA SDN. BHD.
MAL18016024ACZ,Rocuronium-hameln 10mg/ml Injection,IMEKS PHARMA SDN. BHD.
MAL18016027AZ,Dezal Oral Solution 0.5mg/ml,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL18016038AZ,CLOBESOL OINTMENT 0.05%w/w,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL18016052AZ,TORQUITE TABLETS 25 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL18016060ACZ,Avacort HFA 200mcg Metered Dose Inhaler,Nano Medic Care Sdn. Bhd.
MAL18016082X,Axcel Glucosatin Dry Powder for Oral Solution,KOTRA PHARMA (M) SDN. BHD.
MAL18016139ARZ,N/A,N/A
MAL18026002AZ,Ranofer Injection 100mg/5ml,DUOPHARMA (M) SENDIRIAN BERHAD
MAL18026038XC,Hundred Koyok Classic,JWP Medical Sdn. Bhd.
MAL18026042N,Appeton MV Hi-Q Taurine Syrup,KOTRA PHARMA (M) SDN. BHD.
MAL18026175AZ,CLOBUTRATE CREAM 0.05% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL18026180AZ,TREVIVE TABLET 400MG,DUOPHARMA HAPI SDN. BHD.
MAL18026183AZ,Axcel Glimepiride-2mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL18026186AZ,Abilify Maintena 400 mg powder and solvent for prolonged-release suspension for injection,Lundbeck Malaysia Sdn. Bhd.
MAL18031001ACZ,Avalair 5mg Chewable Tablet,Nano Medic Care Sdn. Bhd.
MAL18046003X,Homecare BAROSCON DOUBLE ACTION Suspension,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18046131XC,Avosil Lozenge 2mg,Nano Medic Care Sdn. Bhd.
MAL18046154AZ,Vytan Tablet 160mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL18046155AZ,Vytan Tablet 80mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL18046157AZ,Zynomax Tablet 250mg,Duopharma Marketing Sdn. Bhd.
MAL18046173AZ,ARCHIFAR 1G POWDER FOR SOLUTION FOR INJECTION/INFUSION,KOMEDIC SDN BHD
MAL18046174AZ,ARCHIFAR 500MG POWDER FOR SOLUTION FOR INJECTION/INFUSION,KOMEDIC SDN BHD
MAL18056088XC,Neobun Classic Plaster,JWP Medical Sdn. Bhd.
MAL18056089X,THROATSIL LOZENGES (MENTHOL FLAVOUR),HNB ALLIANCE SDN. BHD.
MAL18056092X,THROATSIL WITH VITAMIN C LOZENGES (ORANGE FLAVOUR),HNB ALLIANCE SDN. BHD.
MAL18056152AZ,Promesec Capsule 20mg,Duopharma Marketing Sdn. Bhd.
MAL18056177AZ,TELDAY TABLETS 40 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL18056178AZ,TELDAY TABLETS 80 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL18066050ACZ,CORTIMENT PROLONGED RELEASE TABLETS 9MG,Ferring Sdn. Bhd.
MAL18071005AZ,Vaxcel Esomeprazole 40mg Powder for Injection,KOTRA PHARMA (M) SDN. BHD.
MAL18086092AZ,AINIRON (Iron Sucrose Injection 20mg/mL),AIN MEDICARE SDN. BHD.
MAL18086102AZ,N/A,N/A
MAL18086129AZ,Valfix Film Coated Tablet 150mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18086153AZ,Fluanxol 0.5mg film-coated tablets,Lundbeck Malaysia Sdn. Bhd.
MAL18086154AZ,Pharmaniaga Dopamine Hydrochloride 40mg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL18086159AZ,YSP TIDACT 150MG/ML SOLUTION FOR INJECTION,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18086161AZ,Lorsedin Oral Solution 1mg/ml,SPG PHARMA (MALAYSIA) SDN BHD
MAL18086163AZ,Irstran Film Coated Tablet 150mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18086164AZ,Irstran Film Coated Tablet 300mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18106024AZ,INFUSOL K 100mmol/L (Sterile Potassium Chloride Concentrate Intravenous Infusion 100mmol/L (0.746% w/v)),AIN MEDICARE SDN. BHD.
MAL18106025AZ,INFUSOL K 400mmol/L (Sterile Potassium Chloride Concentrate Intravenous Infusion 400mmol/L (2.98% w/v)),AIN MEDICARE SDN. BHD.
MAL18106029AZ,INFUSOL K 200mmol/L (Sterile Potassium Chloride Concentrate Intravenous Infusion 200mmol/L (1.49% w/v)),AIN MEDICARE SDN. BHD.
MAL18106030XZ,Uphamol 1000mg Powder (Honey and Lemon),Duopharma Marketing Sdn. Bhd.
MAL18106109AZ,Pharmaniaga Fentanyl 50mcg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL18106133AZ,Medikinet MR 20mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL18106134AZ,Medikinet MR 10mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL18106136AZ,Medikinet MR 5mg Hard Capsules,HYPHENS PHARMA SDN. BHD.
MAL18116048XZ,HYPERNEB 3% (Sodium Chloride 3% w/v Nebuliser Solution BP),AIN MEDICARE SDN. BHD.
MAL18116078AZ,Fucon Solution for Injection 20mg/ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL18116116NC,JANIPRO Neuroquin Capsule,Janipro (M) Sdn Bhd
MAL18116121NC,JANIPRO Elepro Multivitamins & Multiminerals Capsule,Janipro (M) Sdn Bhd
MAL18116124NC,JANIPRO JUST-C Vitamin C + Zinc with Acerola Powder,Janipro (M) Sdn Bhd
MAL18116126AZ,Pharmaniaga Flumazenil 0.1mg/mL Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL18116130ACZ,Avalair 4mg Chewable Tablet,Nano Medic Care Sdn. Bhd.
MAL19011002AZ,Pharmaniaga Midazolam 5mg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19016004AZ,ATC Vitamin B12 Injection 1000mcg/ml (10ml),ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19016005AZ,Moxifcin Eye Drops 0.5% w/v,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19016090ACRZ,Erysaa Prefilled Syringe 4000IU/0.4mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19016091ACRZ,Erysaa Prefilled Syringe 2000IU/0.5mL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19016096AZ,Atenol Film Coated Tablet 100mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19021009AZ,Pharmaniaga Noradrenaline 1mg/mL Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19026066NCR,JANIPRO Omega-3 EPA/DHA 720/180 Enteric Coated Softgel Capsule,Janipro (M) Sdn Bhd
MAL19026071NCR,Janipro Omega-3 EPA/DHA 600/300 Plus Vitamin D3 Enteric Coated Softgel Capsule,Janipro (M) Sdn Bhd
MAL19026072NC,JANIPRO ELECAL Capsule,Janipro (M) Sdn Bhd
MAL19036006AZ,KYTRON TABLET 1 MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19046021NC,JANIPRO APROVIX Capsule,Janipro (M) Sdn Bhd
MAL19046022NC,JANIPRO I-Visoo Capsule,Janipro (M) Sdn Bhd
MAL19046045TC,Janipro Canuvia Duo Capsule 500mg,Janipro (M) Sdn Bhd
MAL19046121TC,Janipro Artumin Capsule 400mg,Janipro (M) Sdn Bhd
MAL19046130NCR,JANIPRO EPX Gold Omega 3 Fish Oil 1200mg Softgel Capsule,Janipro (M) Sdn Bhd
MAL19051007AZ,N/A,N/A
MAL19056009AZ,Atenol Film Coated Tablet 50mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19056016X,Hemo Rid CT Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19056017X,"Axcel Papain Tablet 10,000 USP Units",KOTRA PHARMA (M) SDN. BHD.
MAL19056119AZ,Bezartan Tablet 150mg,Duopharma Marketing Sdn. Bhd.
MAL19056120AZ,Bezartan Tablet 300mg,Duopharma Marketing Sdn. Bhd.
MAL19056129X,E-zyme B6 Troche,AV MANUFACTURING SDN.BHD
MAL19076033NC,JANIPRO Prebiotic & Probiotics LABBGG Capsule,Janipro (M) Sdn Bhd
