value,count,example_columns
"капсулы кишечнорастворимые 40 мг, 7 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"капсулы кишечнорастворимые 40 мг, 7 шт. - упаковки ячейковые контурные (4) - пачки картонные",6,Local Pack Description
"капсулы, 0.5 мг, 10 шт. - блистеры (5) - пачки картонные",6,Local Pack Description
"капсулы, 140 мг, 5 шт. - флаконы (1) - пачки картонные",6,Local Pack Description
"капсулы, 180 мг, 5 шт. - флаконы (1) - пачки картонные",6,Local Pack Description
"капсулы, 250 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",6,Local Pack Description
"капсулы, 250 мг, 6 шт. - контурная ячейковая упаковка (1) - пачка картонная",6,Local Pack Description
"капсулы, 300 мг, 30 шт. - флаконы (1) - пачки картонные",6,Local Pack Description
"капсулы, 400 мг, 14 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
Карбетоцин,6,Generic Name
Карведилол Санофи,6,Product Group
Карведилол-Тева,6,Product Group
Кардогрель,6,Product Group
Кардутол,6,Product Group
Клопидогрел-ЛЕКСВМ,6,Product Group
"концентрат для приготовления раствора для инфузий 10 мг/мл, 5 мл - флаконы (1) - пачки картонные",6,Local Pack Description
"концентрат для приготовления раствора для инфузий, 0.5 мг/мл, 100 мл - флаконы (1) - пачки картонные",6,Local Pack Description
Копаксон-Тева,6,Product Group
Кордарон,6,Product Group
Коринфар Уно,6,Product Group
Лакосамид,6,Generic Name
Ламивудин Канон,6,Product Group
Леволет Р,6,Product Group
Левоноргестрел,6,Generic Name
Лизигамма,6,Product Group
"лиофилизат для приготовления раствора для внутривенного и подкожного введения 3,5 мг - флаконы (1) - пачки картонные",6,Local Pack Description
"лиофилизат для приготовления раствора для внутрисосудистого и внутрипузырного введения, 50 мг, - флаконы (1) - пачки картонные",6,Local Pack Description
лиофилизат для приготовления раствора для интраназального введения и ингаляций 1000 МЕ - ампулы (10) /в комплекте с ножом ампульным или скарификатором (при необходимости)/ - пачки картонные,6,Local Pack Description
"лиофилизат для приготовления раствора для интраназального введения и ингаляций, 1000 МЕ - ампулы (10) /в комплекте с ножом ампульным или скарификатором (при необходимости)/ - пачки картонные",6,Local Pack Description
лиофилизат для приготовления раствора для инфузий 50 мг - флаконы - пачки картонные,6,Local Pack Description
"лиофилизат для приготовления раствора для инфузий, 150 мг, - флаконы (1) - пачки картонные",6,Local Pack Description
Липоевая кислота,6,Product Group
Ломефлоксацин + Пиразинамид + Протионамид + Этамбутол + [Пиридоксин],6,Generic Name
Люголь,6,Product Group
Люкрин депо,6,Product Group
"мазь для наружного применения 0.5%, 10 г - тубы алюминиевые - пачки картонные",6,Local Pack Description
"мазь для наружного применения, 1%, 20 г - тубы (1) - пачки картонные",6,Local Pack Description
"мазь для наружного применения, 20%, 30 г - тубы алюминиевые (1) - пачки картонные",6,Local Pack Description
"мазь для наружного применения, 5%, 25 г - тубы алюминиевые (1) - пачки картонные",6,Local Pack Description
Майфортик,6,Product Group
Макрозид,6,Product Group
Макситопир,6,Product Group
Мельдоний-ЭСКОМ,6,Product Group
Меманталь,6,Product Group
Меронем,6,Product Group
Метронидазол Медисорб,6,Product Group
Метформин-Тева,6,Product Group
Миакальцик,6,Product Group
Мидриацил,6,Product Group
Микофеноловая кислота,6,Generic Name
МИТОКСАНТРОН,6,Product Group
Митотан,6,"Generic Name,Product Group"
Мометазон+Формотерол,6,Generic Name
Навельбин,6,Product Group
Назонекс,6,Product Group
Нандролон,6,Generic Name
Нейпомакс,6,Product Group
Нитизинон,6,Generic Name
Норэпинефрин,6,"Generic Name,Product Group"
Нутрифлекс 40/80,6,Product Group
Нутрифлекс 48/150,6,Product Group
Октанат,6,Product Group
Октреотид Фсинтез,6,Product Group
Оланзапин-Виал,6,Product Group
Оренсия,6,Product Group
Орфадин,6,Product Group
Офломак,6,Product Group
Пабал,6,Product Group
Паксил,6,Product Group
ПАНЗИГА®,6,Product Group
ПАС-Фатол Н,6,Product Group
Пирафат,6,Product Group
Плаксат,6,Product Group
Повидон-Йод,6,Generic Name
Полиглюкин-ЭСКОМ,6,Product Group
"порошок для ингаляций дозированный, 160 мкг + 4.5 мкг, 10 шт. - упаковки ячейковые контурные (12) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для ингаляций дозированный, 160 мкг + 4.5 мкг, 10 шт. - упаковки ячейковые контурные (3) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для ингаляций дозированный, 160 мкг + 4.5 мкг, 10 шт. - упаковки ячейковые контурные (6) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для ингаляций дозированный, 320 мкг + 9 мкг, 10 шт. - упаковки ячейковые контурные (12) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для ингаляций дозированный, 320 мкг + 9 мкг, 10 шт. - упаковки ячейковые контурные (3) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для ингаляций дозированный, 320 мкг + 9 мкг, 10 шт. - упаковки ячейковые контурные (6) / в комплекте с устройством для ингаляций / - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для внутривенного введения, 500 мг+500 мг, 20 мл - флаконы (1) - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для внутривенного введения, 500 мг+500 мг, 30 мл - флаконы (1) - пачки картонные",6,Local Pack Description
порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг - флаконы (10) - пачки картонные,6,Local Pack Description
порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг - флаконы - пачки картонные,6,Local Pack Description
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 0.5 г, - флакон (1) - пачка картонная",6,Local Pack Description
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 0.5 г, - флаконы (1) - коробки картонные (для стационаров)",6,Local Pack Description
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 1 г, - флаконы (1) / в комплекте с растворителем: вода для инъекций (ампулы) 5 мл-2 шт. / - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для внутривенного и внутримышечного введения, 1 г, 10 мл - флаконы (1) -",6,Local Pack Description
"порошок для приготовления раствора для инфузий, 0.5 г, - флаконы (5) - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для инфузий, 500 мг+500 мг, - флаконы 100 мл (1) - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для инфузий, 500 мг+500 мг, - флаконы 125 мл (1) - пачки картонные",6,Local Pack Description
"порошок для приготовления раствора для инфузий, 500 мг+500 мг, - флаконы 20 мл (10) - пачки картонные",6,Local Pack Description
Прегабалин Зентива,6,Product Group
Прогестерон,6,Generic Name
Простерид,6,Product Group
Протопик,6,Product Group
Пульмикорт,6,Product Group
"раствор для внутривенного введения, 5 мг/мл, 10 мл - флаконы (5) - пачки картонные",6,Local Pack Description
"раствор для внутривенного введения, 5 мг/мл, 20 мл - флаконы (5) - пачки картонные",6,Local Pack Description
"раствор для внутривенного введения, 5 мг/мл, 5 мл - флаконы (5) - пачки картонные",6,Local Pack Description
"раствор для внутривенного и внутримышечного введения, 100 мг/мл, 5 мл - ампулы (10) - пачки картонные",6,Local Pack Description
"раствор для внутривенного и внутримышечного введения, 2 мг/мл, 4 мл - ампулы (5) - пачки картонные",6,Local Pack Description
"раствор для внутривенного и внутримышечного введения, 20 мг/мл, 5 мл - стеклянная ампула (10) - пачка картонная",6,Local Pack Description
"раствор для внутримышечного введения 100 МЕ, 1 доза - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",6,Local Pack Description
"раствор для внутримышечного введения, 150 мг/мл, 1 мл - ампулы (10) - пачки картонные",6,Local Pack Description
раствор для инфузий 200 мл - бутылки (24) - ящики картонные,6,Local Pack Description
"раствор для инфузий, 0.9%, 1000 мл - контейнеры полимерные (1) - в двух пакетах полиэтиленовых",6,Local Pack Description
"раствор для инфузий, 10%, 100 мл - бутылки для крови и кровезаменителей (1) / / - пачки картонные",6,Local Pack Description
"раствор для инфузий, 150 мг/мл, 200 мл - бутылки (24) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инфузий, 200 мл - бутылки (28) - ящики картонные",6,Local Pack Description
"раствор для инфузий, 200 мл - бутылки для крови и кровезаменителей",6,Local Pack Description
"раствор для инфузий, 400 мл - бутылки (15) - ящики картонные",6,Local Pack Description
"раствор для инфузий, 400 мл - бутылки для крови и кровезаменителей",6,Local Pack Description
"раствор для инфузий, 5 мг/мл, 100 мл - флаконы (1) - пачки картонные",6,Local Pack Description
"раствор для инфузий, 5%, 200 мл - бутылки (24) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инфузий, 50мг/мл, 100 мл - бутылки (1) - пачки картонные",6,Local Pack Description
"раствор для инфузий, 8%, 500 мл - флаконы с держателем (1) - пачки картонные",6,Local Pack Description
"раствор для инъекций 10 мг/мл, 1 мл - ампулы (5) - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"раствор для инъекций, 10 мг/мл, 1 мл - флаконы (1) - пачки картонные",6,Local Pack Description
"раствор для инъекций, 10000 анти-Xa МЕ/мл, 1 мл - шприцы (10) - пачки картонные",6,Local Pack Description
"раствор для инъекций, 2.5 мг/мл, 200 мл - бутылки (28) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инъекций, 2.5 мг/мл, 400 мл - бутылки (15) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инъекций, 20 мг/мл, 2 мл - ампулы (10) / в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа / - коробки картонные",6,Local Pack Description
"раствор для инъекций, 4000 анти-Ха МЕ/0.4 мл, 0.4 мл - шприцы с устройством защиты иглы (2) - контурные ячейковые упаковки (5) - пачки картонные",6,Local Pack Description
"раствор для инъекций, 5 мг/мл, 2 мл - флаконы (1) - пачки картонные",6,Local Pack Description
"раствор для инъекций, 5 мг/мл, 200 мл - бутылки (28) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инъекций, 5 мг/мл, 400 мл - бутылки (15) - ящики картонные (для стационаров)",6,Local Pack Description
"раствор для инъекций, 8000 анти-Ха МЕ/0.8 мл, 0.8 мл - шприцы с устройством защиты иглы (2) - контурные ячейковые упаковки (5) - пачки картонные",6,Local Pack Description
"раствор для наружного применения и приготовления лекарственных форм 95%, 10 л - канистры полиэтиленовые",6,Local Pack Description
"раствор для подкожного введения, 2 мг/мл, 1 мл - ампулы (10) / в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа / - коробки картонные",6,Local Pack Description
РЕЛАТОКС,6,Product Group
Ретаболил,6,Product Group
Риклинг,6,Product Group
Рифабутин,6,Generic Name
Симвакард,6,Product Group
Симвастатин Санофи,6,Product Group
СинноВекс,6,Product Group
Сиофор 850,6,Product Group
Смекта,6,Product Group
СОВИГРИПП Вакцина гриппозная инактивированная субъединичная,6,Product Group
Соликса-Ксантис,6,Product Group
Солирис,6,Product Group
Солифенацин,6,Generic Name
Спиронолактон Медисорб,6,Product Group
"спрей назальный, 0.05%, 10 мл - флакон-капельницы (1) - пачки картонные",6,Local Pack Description
Суксилеп,6,Product Group
Сумамед,6,Product Group
"суппозитории вагинальные 8 мг, 5 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"суппозитории вагинальные, 16 мг, 5 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"суппозитории ректальные, 250 мг, 5 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
Сыворотка противоботулиническая типа А лошадиная очищенная концентрированная жидкая,6,Product Group
"таблетки 0.5 г, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки 1.5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",6,Local Pack Description
"таблетки 20 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные",6,Local Pack Description
"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",6,Local Pack Description
"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",6,Local Pack Description
"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные",6,Local Pack Description
"таблетки 250 мг, 5 шт. - упаковки ячейковые контурные (4) - пачки картонные",6,Local Pack Description
"таблетки 5 мг, 14 шт. - упаковки ячейковые контурные - пачки картонные",6,Local Pack Description
"таблетки 50 мг, 10 шт. - упаковки безъячейковые контурные",6,Local Pack Description
"таблетки 500 мг, 5 шт. - упаковки ячейковые контурные (4) - пачки картонные",6,Local Pack Description
"таблетки покрытые оболочкой 10 мг, 20 шт. - упаковки ячейковые контурные - пачки картонные",6,Local Pack Description
"таблетки покрытые оболочкой 20 мг, 7 шт. - блистеры (4) - пачки картонные",6,Local Pack Description
"таблетки покрытые оболочкой 40 мг, 7 шт. - блистеры (4) - пачки картонные",6,Local Pack Description
"таблетки покрытые оболочкой 50 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 10 мг, 10 шт. - упаковки ячейковые контурные (10) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 10 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 150 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 20 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 25 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 250 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 40 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 500 мг, 10 шт. - упаковки ячейковые контурные (12) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 500 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой 500 мг, 5 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 10 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 100 мг (51.4 мг+48.6 мг), 14 шт. - блистеры (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 100 мг, 14 шт. - блистеры (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 125 мг, 14 шт. - контурные ячейковые упаковки (4) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 200 мг+25 мг+300 мг, 30 шт. - флаконы (1) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 25 мг, 10 шт. - блистеры (6) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 25 мг, 14 шт. - блистеры (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 300 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 400 мг, 60 шт. - флаконы (1) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 50 мг (25.7 мг+24.3 мг), 14 шт. - блистеры (2) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 500 мг, 10 шт. - блистеры (1) - пачки картонные",6,Local Pack Description
"таблетки покрытые пленочной оболочкой, 500 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
"таблетки сублингвальные 0.5 мг, 40 шт. - контейнеры полимерные - пачки картонные",6,Local Pack Description
"таблетки, 1.5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",6,Local Pack Description
"таблетки, 10 мг, 100 шт. - банки (1) - пачки картонные",6,Local Pack Description
"таблетки, 10 мг, 30 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
"таблетки, 10 шт. - упаковки безъячейковые контурные (1) - коробки картонные",6,Local Pack Description
"таблетки, 12 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
"таблетки, 16 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",6,Local Pack Description
"таблетки, 2.5 мг, 20 шт. - контурная ячейковая упаковка (5) - пачка картонная",6,Local Pack Description
"таблетки, 20 мг, 14 шт. - блистеры (4) - пачки картонные",6,Local Pack Description
"таблетки, 200 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",6,Local Pack Description
"таблетки, 200 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",6,Local Pack Description
"таблетки, 25 мг, 10 шт. - упаковки ячейковые контурные (4) - пачки картонные",6,Local Pack Description
"таблетки, 250 мг, 10 шт. - упаковки безъячейковые контурные (1) - -",6,Local Pack Description
"таблетки, 250 мг, 10 шт. - упаковки ячейковые контурные (1) - -",6,Local Pack Description
"таблетки, 300 мг, 10 шт. - упаковки ячейковые контурные (10) - пачки картонные",6,Local Pack Description
"таблетки, 50 мг, 10 шт. - упаковки безъячейковые контурные (1) - для стационаров",6,Local Pack Description
"таблетки, 60 мг, 100 шт. - банки (1) - пачки картонные",6,Local Pack Description
"таблетки, 70 мг, 2 шт. - упаковки ячейковые контурные (2) - пачки картонные",6,Local Pack Description
"таблетки, 70 мг, 4 шт. - упаковки ячейковые контурные (1) - пачки картонные",6,Local Pack Description
"таблетки, покрытые пленочной оболочкой, 10 мг, 10 шт. - контурная ячейковая упаковка (3) - пачка картонная",6,Local Pack Description
"таблетки, покрытые пленочной оболочкой, 200 мг (102.8 мг+97.2 мг), 14 шт. - блистеры (2) - пачка картонная",6,Local Pack Description
"таблетки, покрытые пленочной оболочкой, 850 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",6,Local Pack Description
Таллитон,6,Product Group
Теванат,6,Product Group
Топсавер,6,Product Group
Торендо Ку-таб,6,Product Group
Триворин,6,Product Group
Урографин,6,Product Group
Урсодез,6,Product Group
Урсофальк,6,Product Group
Утрожестан,6,Product Group
Фазлодекс,6,Product Group
Фамотидин-OBL,6,Product Group
Флексен,6,Product Group
Форметин,6,Product Group
Фромилид Уно,6,Product Group
Фулвестрант,6,Generic Name
Хумира,6,Product Group
Цефтриаксон-ЛЕКСВМ,6,Product Group
Циклодол,6,Product Group
Циклоплатин,6,Product Group
Цинакалцет,6,Generic Name
Цитарабин-ЛЭНС,6,Product Group
Цифран ОД,6,Product Group
Эглонил,6,Product Group
Экзорум,6,Product Group
Эксхол® Форте,6,Product Group
Элигард,6,Product Group
Эликвис,6,Product Group
Элоком,6,Product Group
Элсетор,6,Product Group
Эналаприл-Тева,6,Product Group
Эрмиталь,6,Product Group
Эртапенем,6,Generic Name
Эстрадиол,6,Generic Name
Этосуксимид,6,Generic Name
Эффералган,6,Product Group
Абаджио,5,Product Group
Авонекс,5,Product Group
Адалат,5,Product Group
Адепресс,5,Product Group
Акрипамид,5,Product Group
Алимта,5,Product Group
Алпростан,5,Product Group
Амиодарон-Акри,5,Product Group
Амоксициллин Экобол,5,Product Group
Амоксициллин+Клавулановая кислота,5,Generic Name
Анатоксин дифтерийно-столбнячный очищенный адсорбированный с уменьшенным содержанием антигенов жидкий АДС-М-анатоксин,5,Product Group
Анатоксин дифтерийный,5,Generic Name
Анатоксин дифтерийный очищенный адсорбированный с уменьшенным содержанием антигена жидкий АД-М анатоксин,5,Product Group
Атезолизумаб,5,Generic Name
Атозибан,5,Generic Name
Бензобарбитал,5,Generic Name
Бензонал,5,Product Group
Беталок Зок,5,Product Group
Бетаферон,5,Product Group
"БиВак полио Вакцина полиомиелитная пероральная, двухвалентная, живая аттенуированная 1, 3 типов",5,Product Group
БИДОП КОР,5,Product Group
Биосулин Н,5,Product Group
Биосулин Р,5,Product Group
Бисопролола гемифумарат,5,Generic Name
Ботулинический токсин типа А-гемагглютинин комплекс,5,Generic Name
"Вакцина для профилактики дифтерии, коклюша (бесклеточная) и столбняка",5,Generic Name
Вакцина для профилактики кори и паротита,5,Generic Name
Вакцина коклюшно-дифтерийно-столбнячная адсорбированная жидкая АКДС-вакцина,5,Product Group
Вакцина паротитно-коревая культуральная живая,5,Product Group
Вакцина туберкулезная для щадящей первичной иммунизации БЦЖ-М,5,Product Group
Вентолин Небулы,5,Product Group
Веремед,5,Product Group
Веро-Пипекуроний,5,Product Group
Веро-Флударабин,5,Product Group
Вестикап,5,Product Group
Вивитрол,5,Product Group
Викасол,5,Product Group
Вирамун,5,Product Group
Виролекс,5,Product Group
Вольтарен,5,Product Group
Вормин,5,Product Group
Вудистав,5,Product Group
Гадобутрол,5,Generic Name
Гадовист,5,Product Group
Глидиаб,5,Product Group
Дексаметазон-КРКА,5,Product Group
Депакин,5,Product Group
Депо-Провера,5,Product Group
Детский Панадол,5,Product Group
Диклофенак Сандоз,5,Product Group
Дипроспан,5,Product Group
ДОКСОРУБИЦИН,5,Product Group
Дорназа альфа,5,Generic Name
Дротаверин форте,5,Product Group
Дротаверина гидрохлорида таблетки 0.04 г,5,Product Group
Дюрогезик,5,Product Group
ЕМБ-Фатол 400,5,Product Group
Золофт,5,Product Group
Изакардин,5,Product Group
Изониазид+Пиразинамид,5,Generic Name
Имиглюцераза,5,Generic Name
Ингавирин,5,Product Group
Ингарон,5,Product Group
Инсулин лизпро,5,Generic Name
Инсулин лизпро двухфазный,5,Generic Name
Кавинтазол,5,Product Group
Кампто ЦС,5,Product Group
КАПД/ДПКА 17,5,Product Group
"капли глазные 1%, 5 мл - флакон-капельницы полимерные - пачки картонные",5,Local Pack Description
"капсулы 10 мг, 7 шт. - блистеры (3) - пачки картонные",5,Local Pack Description
"капсулы 140 мг, 5 шт. - флаконы (1) - пачки картонные",5,Local Pack Description
"капсулы 15 мг, 7 шт. - блистеры (3) - пачки картонные",5,Local Pack Description
"капсулы 180 мг, 5 шт. - флаконы (1) - пачки картонные",5,Local Pack Description
"капсулы 25 мг, 7 шт. - блистеры (3) - пачки картонные",5,Local Pack Description
"капсулы 50 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные",5,Local Pack Description
"капсулы 50 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные",5,Local Pack Description
"капсулы с модифицированным высвобождением 0.4 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",5,Local Pack Description
"капсулы, 1 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные",5,Local Pack Description
"капсулы, 2 мг, 10 шт. - контурная ячейковая упаковка (1) - пачка картонная",5,Local Pack Description
"капсулы, 20 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",5,Local Pack Description
"капсулы, 200 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные",5,Local Pack Description
"капсулы, 300 мг, 10 шт. - упаковки ячейковые контурные (6) - пачки картонные",5,Local Pack Description
"капсулы, 400 мг, 14 шт. - блистеры (4) - пачки картонные",5,Local Pack Description
Каптоприл-АКОС,5,Product Group
Карбамазепин ретард-Акрихин,5,Product Group
Квамател,5,Product Group
Кевзара®,5,Product Group
Кларитин,5,Product Group
Клафоран,5,Product Group
Контрикал,5,Product Group
"концентрат для приготовления раствора для инфузий 10 мг/мл, 1 мл - флаконы (1) - пачки картонные",5,Local Pack Description
"концентрат для приготовления раствора для инфузий, 0.8 мг/мл, 5 мл - флаконы (1) - пачки картонные",5,Local Pack Description
"концентрат для приготовления раствора для инфузий, 100 мг/10 мл, 10 мл - флаконы (2) - пачки картонные",5,Local Pack Description
Копаксон 40,5,Product Group
Кордафлекс,5,Product Group
Корсавин Форте,5,Product Group
Кселода,5,Product Group
Левосимендан,5,Generic Name
Левофлоксацин Штада,5,Product Group
Левофлоксацин ШТАДА,5,Product Group
Лизиноприл-КРКА,5,Product Group
"лиофилизат для приготовления концентрата для приготовления раствора для инфузий, 100 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления концентрата для приготовления раствора для инфузий, 160 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для внутривенного введения, 350 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для внутривенного введения, 500 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для внутривенного и подкожного введения, 3.5 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для внутримышечного введения, 500 МЕ, - флаконы 5 мл (5) / в комплекте с растворителем: натрия хлорида раствор 0.9% (ампулы) 1 мл-5 шт. / - упаковки ячейковые контурные (1) - пачки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для внутримышечного введения, 500 МЕ, 5 шт. - флаконы 5 мл (5) / в комплекте с растворителем: натрия хлорида раствор 0.9% (ампулы) 1 мл-5 шт. / - упаковки ячейковые контурные (1) - пачки картонные",5,Local Pack Description
лиофилизат для приготовления раствора для внутрисосудистого и внутрипузырного введения 50 мг - флаконы - пачки картонные,5,Local Pack Description
"лиофилизат для приготовления раствора для внутрисосудистого и внутрипузырного введения, 10 мг, - флаконы (1) - пачки картонные",5,Local Pack Description
лиофилизат для приготовления раствора для интраназального введения 1 тыс.МЕ - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные,5,Local Pack Description
лиофилизат для приготовления раствора для инфузий 50 мг - флаконы (1) - пачки картонные,5,Local Pack Description
лиофилизат для приготовления раствора для инфузий 500 мг - флаконы - пачки картонные,5,Local Pack Description
"лиофилизат для приготовления раствора для инфузий, 600 мг, - флаконы (10) - коробки картонные",5,Local Pack Description
"лиофилизат для приготовления раствора для приема внутрь и местного применения, 5 доз, - флаконы (10) - пачки картонные",5,Local Pack Description
лиофилизат для приготовления суспензии для внутрипузырного введения 25 мг - ампулы (10) /со скарификатором/ - пачки картонные,5,Local Pack Description
Липоплюс 20,5,Product Group
Лоратадин-Хемофарм,5,Product Group
Лосек МАПС,5,Product Group
"Мадопар ""250""",5,Product Group
"мазь для наружного применения 1%, 10 г - тубы алюминиевые - пачки картонные",5,Local Pack Description
"мазь для наружного применения 20%, 25 г - тубы алюминиевые - пачки картонные",5,Local Pack Description
"мазь для наружного применения, 1%, 10 г - тубы (1) - пачки картонные",5,Local Pack Description
"мазь для наружного применения, 1%, 30 г - тубы (1) - пачки картонные",5,Local Pack Description
Маркаин Спинал,5,Product Group
Мезатон,5,Product Group
Мезим форте,5,Product Group
Менадиона натрия бисульфит,5,Generic Name
Месалазин,5,Generic Name
Метилфенилтиометил-диметиламинометил-гидроксиброминдол карбоновой кислоты этиловый эфир (Умифеновир),5,Generic Name
Метфогамма 850,5,Product Group
Мизопростол,5,Generic Name
Миролют,5,Product Group
Митомицин-С Киова,5,Product Group
Нантарид,5,Product Group
Натрия оксибат,5,Product Group
Натрия оксибутират,5,Generic Name
Нивалин,5,Product Group
Нозепам,5,Product Group
Нутрифлекс 70/180 липид,5,Product Group
Омез,5,Product Group
Омепразол Д-р Редди`с,5,Product Group
Ортофен,5,Product Group
Панкреатин-ЛекТ,5,Product Group
Парацетамол-ЛекТ,5,Product Group
Парацетамол-ЭКО,5,Product Group
"пастилки, 15 мг, 10 шт. - блистер (2) - пачка картонная",5,Local Pack Description
