es,en
dihidroergotoxina,dihydroergotoxine
dihidroergotoxina+vit.b12+asoc.,dihydroergotoxin+vit.b12+asoc.
dihidroestreptomicina+asoc.,dihydrostreptomycin+assoc.
dihidroxiacetona,dihydroxyacetone
dorzolamida,dorzolamide
doxepina,doxepin
doxorubicina liposomal,liposomal doxorubicin
doy pack past. goma x 28 (VL),I give you a pack of 28 rubber pastries (VL)
drospirenona+estradiol,drospirenone+estradiol
dulaglutida,dulaglutide
dupilumab,dupilumab
durvalumab,durvalumab
easy bag env.x 500 ml (VL),easy bag env.x 500 ml (VL)
Ectoparasiticida,Ectoparasiticide
eculizumab,eculizumab
efavirenz,efavirenz
efedrina,ephedrine
eferv.comp.x 10 (VL),eferv.comp.x 10 (VL)
efinaconazol,efinaconazole
elvitegravir+emtricitabina+tenofovir+cobicistat,elvitegravir+emtricitabine+tenofovir+cobicistat
Emoliente,Emollient
emul. corp. x 200 ml (VL),Body emulsion x 200 ml (VL)
emul.repar.intens. x250g (VL),Intensive repair emulsion x250g (VL)
emuls. x 180 ml (VL),emulsions x 180 ml (VL)
emuls.c/fragancia x 400g (VL),emuls.c/fragrance x 400g (VL)
emuls.x 100 g,emulsions x 100 g
emuls.x 130 ml,emulsions x 130 ml
emuls.x 260 ml (VL),emuls.x 260 ml (VL)
emuls.x 50 g,emulsions x 50 g
emuls.x 50 g (VL),emuls.x 50 g (VL)
emuls.x 80 ml (VL),emuls.x 80 ml (VL)
encorafenib,encorafenib
enfortumab vedotina,enfortumab vedotin
enj.bucal x 300 ml (VL),mouthwash x 300 ml (VL)
entrectinib,entrectinib
env. x 118 ml (VL),env. x 118 ml (VL)
env. x 190 ml (VL),env. x 190 ml (VL)
env. x 260 g (VL),env. x 260 g (VL)
env. x 80 ml (VL),env. x 80 ml (VL)
env.flexible x 1000 ml (VL),flexible packaging x 1000 ml (VL)
env.gotero x 20 ml,20 ml dropper box
env.x 100 g,env.x 100 g
env.x 100 ml,package x 100 ml
env.x 135 ml,env.x 135 ml
env.x 16 ml (VL),env.x 16 ml (VL)
env.x 2 ml,env.x 2 ml
env.x 237 ml (VL),env.x 237 ml (VL)
env.x 240 ml (VL),env.x 240 ml (VL)
env.x 250 g,env.x 250 g
env.x 250 ml c/prec.seg.,env.x 250 ml w/sec.prec.
env.x 30 x 125 ml,env.x 30 x 125 ml
env.x 360 ml (VL),env.x 360 ml (VL)
env.x 4 ml,env.x 4 ml
env.x 45 ml (VL),env.x 45 ml (VL)
env.x 50 ml (VL),env.x 50 ml (VL)
env.x 70 g,env.x 70 g
epcoritamab,epcoritamab
epinefrina,epinephrine
epoprostenol,epoprostenol
eptacog alfa,eptacog alfa
erenumab,erenumab
ergotamina+asoc.,ergotamine+assoc.
eribulina,eribulin
eritriol,erythriol
eritromicina+asoc.,erythromycin+assoc.
eritromicina+bromhexina,erythromycin+bromhexine
ertapenem,ertapenem
escina(extr.cast.de Indias),escina(extr. cast. de Indias)
esketamina,esketamine
eslicarbazepina,eslicarbazepine
esmolol,esmolol
espironolactona+furosemida,spironolactone+furosemide
espirulina+vit.c+asoc.,spirulina+vit.c+assoc.
espuma de poliuretano,polyurethane foam
espuma de poliuretano+hidrocoloide,polyurethane foam + hydrocolloid
espuma limpiadora x125ml (VL),cleansing foam x125ml (VL)
espuma rectal x14 aplic.,rectal foam x14 app.
espuma x 240 ml (VL),foam x 240 ml (VL)
est.x 1000 g,est. x 1000 g
Estimulador de la eritropoyesis,Erythropoiesis stimulator
estradiol+noretisterona,estradiol+norethisterone
estreptomicina,streptomycin
estreptozocina,streptozocin
"estroncio,ranelato",strontium ranelate
estuche x 140 ml (VL),case x 140 ml (VL)
estuche x 60 ml (VL),case x 60 ml (VL)
etelcalcetida,etelcalcetide
etilefrina,etilefrine
etofenamato,etofenamate
etonogestrel+etinilestradiol,etonogestrel+ethinylestradiol
etoricoxib+paracetamol,etoricoxib+paracetamol
etosuximida,ethosuximide
eucalipto,eucalyptus
Exfoliante corporal,Body scrub
extracto seco de echinacea,dry extract of echinacea
ezetimibe+fenofibrato,ezetimibe+fenofibrate
f.a. x 1+f.a.solv.+disp.,f.a. x 1+f.a.solv.+disp.
f.a.beb.x 2 ml,f.a.beb.x 2 ml
f.a.liof.x1+a.disol.x1ml,f.a.liof.x1+a.disol.x1ml
f.a.pvo.liof.x 1,f.a.pvo.liof.x 1
f.a.x 1 x 1.5 ml+diluy.,f.a.x 1 x 1.5 ml+diluy.
f.a.x 1 x 10 ml,f.a.x 1 x 10 ml
f.a.x 1+disolv.x1,f.a.x 1+disolv.x1
f.a.x 10 ml,f.a.x 10 ml
f.a.x 30+disolv.x30,f.a.x 30+disolv.x30
f.a.x 5 x 2 ml,f.a.x 5 x 2 ml
f.a.x 5+disolv.a.x 5,f.a.x 5+disolv.a.x 5
f.a.x 50 (EH),f.a.x 50 (EH)
f.a.x 50+disolv.x50,f.a.x 50+disolv.x50
f.pvo.est.x 30+f.a.x 30,f.pvo.est.x 30+f.a.x 30
fco. airless x 100 ml (VL),fco. airless x 100 ml (VL)
fco. airless x 25 ml (VL),fco. airless x 25 ml (VL)
fco. c/bomba x 250 ml (VL),bottle with pump x 250 ml (VL)
fco. c/bomba x 500 ml (VL),bottle with pump x 500 ml (VL)
fco. x 100 ml (VL),fco. x 100 ml (VL)
fco. x 380 ml (VL),fco. x 380 ml (VL)
fco. x 60 ml (VL),fco. x 60 ml (VL)
fco. x 75 ml (66 g) (VL),fco. x 75 ml (66 g) (VL)
fco.a.liof.x1+disolv.x1,fco.a.liof.x1+disolv.x1
fco.c/bomba x 190 ml (VL),fco.c/pump x 190 ml (VL)
fco.got.x 50 ml,fco.got.x 50 ml
fco.gotero x 2.5 ml,fco.dropper x 2.5 ml
fco.x 100 g (VL),fco.x 100 g (VL)
fco.x 100 ml c/prec.seg.,fco.x 100 ml c/prec.sec.
fco.x 125 ml (VL),fco.x 125 ml (VL)
fco.x 15 ml (VL),fco.x 15 ml (VL)
fco.x 15 ml+acces.,fco.x 15 ml+access.
fco.x 190 ml (VL),fco.x 190 ml (VL)
fco.x 20g+cuchara dosif.,fco.x 20g+dosing spoon.
fco.x 250 ml,fco.x 250 ml
fco.x 50 ml (VL),fco.x 50 ml (VL)
fco.x 60 ml (VL),fco.x 60 ml (VL)
fco.x 8 ml (VL),fco.x 8 ml (VL)
fedratinib,fedratinib
felbamato,felbamate
fenilefrina+asoc.,phenylephrine+assoc.
fenilefrina+beclometasona+neomic.,phenylephrine+beclomethasone+neomic.
fenofibrato,fenofibrate
fexofenadina+pseudoefedrina,fexofenadine+pseudoephedrine
Filmtab comp.x 30 (VL),Filmtab comp.x 30 (VL)
Filtro solar,Sunscreen
finerenona,finerenone
floroglucinol+trimetoxibenceno,phloroglucinol+trimethoxybenzene
flunitrazepam,flunitrazepam
"fluticasona,furoato+umeclidinio+vilanterol","fluticasone,furoate+umeclidinium+vilanterol"
fortificador leche humana,human milk fortifier
fosamprenavir,fosamprenavir
foscarnet,foscarnet
FPS20 c/betac.emul.x150g (VL),FPS20 c/betac.emul.x150g (VL)
FPS30+UVA emul.x 150 g (VL),FPS30+UVA emul.x 150 g (VL)
FPS50 emuls.x 70 g (VL),FPS50 emuls.x 70 g (VL)
FPS50+UVA emul.x 150 g (VL),FPS50+UVA emul.x 150 g (VL)
fruquintinib,fruquintinib
frut.banana pvo.x400 g (VL),fruit.banana pvo.x400 g (VL)
frutilla bot. x 125 ml,bot. strawberry x 125 ml
frutilla bot. x 220 ml (VL),bot. strawberry x 220 ml (VL)
frutilla env.x 200 ml (VL),strawberry env.x 200 ml (VL)
frutilla env.x 220 ml (VL),strawberry env.x 220 ml (VL)
frutilla pvo.x 400 g (VL),strawberry pvo.x 400 g (VL)
frutos rojos x4 x 125 ml,red fruits x4 x 125 ml
furosemida+amilorida,furosemide+amiloride
gadobutrol,gadobutrol
gammaglobulina humana+histamina,human gamma globulin + histamine
gas refrigerante,refrigerant gas
gel crema x 250 ml (VL),cream gel x 250 ml (VL)
gel dental x 50 ml (VL),dental gel x 50 ml (VL)
gel exfoliante x 120 g (VL),exfoliating gel x 120 g (VL)
gel tubo x 15 g (VL),gel tube x 15 g (VL)
gel x 10 g (VL),gel x 10 g (VL)
gel x 100 g,gel x 100 g
gel x 15 g,gel x 15 g
gel x 150 g (VL),gel x 150 g (VL)
gel x 25 g (VL),gel x 25 g (VL)
gel x 250g c/valv.dosif. (VL),250g gel with dosing valve (VL)
gel x 35 g (VL),gel x 35 g (VL)
gel x 40 ml (VL),gel x 40 ml (VL)
gel x 75 g (VL),gel x 75 g (VL)
gel-cr.x 15 ml (VL),gel-cr.x 15 ml (VL)
gentamicina+dexametasona,gentamicin+dexamethasone
ginseng,ginseng
glicopirrolato,glycopyrrolate
glucagon,glucagon
Glucocorticoesteroide,Glucocorticosteroid
glucomannan,glucomannan
glucosa+asoc.,glucose+assoc.
glucosamina+asoc.,glucosamine+assoc.
glutamina+asoc.,glutamine+assoc.
"goserelin,acetato",goserelin acetate
gran.sob.x 30,gran.sob.x 30
gran.sobres x 30,large.envelopes x 30
gran.x 250 gr (VL),gran.x 250 gr (VL)
gtas.x 15 ml,gtas.x 15 ml
gts.oft.x 3 ml,gts.oft.x 3 ml
gts.x 120 ml (VL),gts.x 120 ml (VL)
gts.x 20 ml (VL),gts.x 20 ml (VL)
gts.x 5 ml,gts.x 5 ml
guaifenesina,guaifenesin
guaifenisina+asoc.,guaifenisin+assoc.
haemophilus influenz.b+DPT+asoc.,haemophilus influenz.b+DPT+asoc.
halotano,halothane
hesperidina+asoc.,hesperidin+assoc.
hidrocortisona+vit.a+asoc.,hydrocortisone+vit.a+assoc.
hidroxipropilmetilcelulosa+asoc.,hydroxypropylmethylcellulose+asoc.
hierbas+miel,herbs+honey
hierro carboximaltosa,iron carboxymaltose
Hipnosedante Anticonvulsivo,Hypnosedative Anticonvulsant
"homatropina,metilbr.+asoc.","homatropine,methylbr.+assoc."
Humectante Astringente,Astringent Moisturizer
Humectante y Lubricante ocular,Eye Moisturizer and Lubricant
ibuprofeno+clorfeniramina+asoc.,ibuprofen+chlorpheniramine+assoc.
icosapento de etilo,ethyl icosapent
idarrubicina,idarubicin
idelalisib,idelalisib
idoxuridina,idoxuridine
iloprost,iloprost
indacaterol,indacaterol
indacaterol+glicopirronio,indacaterol+glycopyrronium
Infantil sup.x 10 (VL),Children sup.x 10 (VL)
inhibidor c1-esterasa,C1-esterase inhibitor
Inhibidor de la ocitocina,Oxytocin inhibitor
Inhibidor de protiosoma,Protiosome inhibitor
Inhibidor no-competitivo del receptor NMDA,Non-competitive inhibitor of the NMDA receptor
Inmunoterapia,Immunotherapy
Inmunoterapia respiratoria,Respiratory immunotherapy
insulina humana isofana,human insulin isophane
iny. f.a.x 10 x 10 ml,inj. f.a.x 10 x 10 ml
iny.a.x 1 x 2 ml,inj.a.x 1 x 2 ml
iny.a.x 100 x 1 ml,inj.a.x 100 x 1 ml
iny.a.x 3 x 3 ml,inj.a.x 3 x 3 ml
iny.a.x 5 ml,inj.a.x 5 ml
iny.f.a.x 1 x 1 ml,inj.f.a.x 1 x 1 ml
iny.sol.f.a.x 100 ml,inj.sol.f.a.x 100 ml
iny.sol.f.a.x 50 ml,inj.sol.f.a.x 50 ml
iny.sol.f.a.x 500 ml,inj.sol.f.a.x 500 ml
iny.x 4 cart.(3 ds.c/u),iny.x 4 cart.(3 ds. each)
iny.x 5,inj.x 5
iohexol,iohexol
isatuximab,isatuximab
isavuconazol,isavuconazole
IV a.x 5 x 5 ml,IV a.x 5 x 5 ml
jab.sol. x 100 g (VL),soap sol. x 100 g (VL)
jbe.x 250 ml,jbe.x 250 ml
jbe.x 60 ml (VL),jbe.x 60 ml (VL)
jbe.x 70 ml,jbe.x 70 ml
jengibre trop. x4 x125ml,tropical ginger x4 x125ml
jga.prell. x 1 x 0.5 ml,jga.prell. x 1 x 0.5 ml
jga.prell.x 1,jga.prell.x 1
jga.prell.x 12,jga.prell.x 12
jga.x 125 ml x 1,jga.x 125 ml x 1
ketoprofeno,ketoprofen
kids unid. x 1,kids unit x 1
kit inicio,starter kit
kit rojo x 90ml,red kit x 90ml
kit x 1,kit x 1
kit x 1 (VL),kit x 1 (VL)
l-isoleucina+asoc.,l-isoleucine+assoc.
laca x 5 ml,hairspray x 5 ml
lactobacillus reuteri,Lactobacillus reuteri
lactobacillus rhamnosus+vit.b6,lactobacillus rhamnosus+vit.b6
"lactogluconato,calcio+calcio,carb.+vit.d3","lactogluconate,calcium+calcium,carb.+vit.d3"
lamivudina+zidovudina,lamivudine+zidovudine
lanadelumab,lanadelumab
lancetas x 100,lancets x 100
lancetas x 25 (VL),lancets x 25 (VL)
larotrectinib,larotrectinib
lata x 175 g,can x 175 g
lata x 225 g,can x 225 g
lata x 320 g,can x 320 g
lata x 375 g,can x 375 g
lata x 850 g (VL),can x 850 g (VL)
leche de limpieza + pad (VL),cleansing milk + pad (VL)
leche limp.facial x180ml (VL),facial cleansing milk x180ml (VL)
ledipasvir+sofosbuvir,ledipasvir+sofosbuvir
levocetirizina+betametasona,levocetirizine+betamethasone
linagliptina,linagliptin
linagliptina+empagliflozina,linagliptin+empagliflozin
linagliptina+metformina,linagliptin+metformin
liof.f.a.+a.dil.+jga.+ag,liof.f.a.+a.dil.+jga.+ag
liof.pvo.vial+j.p.x1x4ml,liof.pvo.vial+j.p.x1x4ml
liotironina,liothyronine
liraglutida,liraglutide
lisado bacteriano+vit.a,bacterial lysate+vit.a
loc.limpiadora x 250 ml (VL),loc.cleaner x 250 ml (VL)
loc.x 120 ml,loc.x 120 ml
loc.x 190 ml (VL),loc.x 190 ml (VL)
loc.x 50 ml,loc.x 50 ml
lomifilina+dihidroergocristina,lomiphylline+dihydroergocristine
lomustina,lomustine
lonoctocog alfa - factor VIII recomb.cadena simple,lonoctocog alfa - factor VIII recomb.single chain
lorlatinib,lorlatinib
magnesio+vit.c,magnesium+vit.c
"magnesio,cloruro",magnesium chloride
maltodextrina,maltodextrin
maraviroc,maraviroc
maribavir,maribavir
matrixil,matrixil
mebeverina,mebeverine
medidor de glucosa x 1,glucose meter x 1
Medio de contraste p/IRM,Contrast medium for MRI
melatonina+asoc.,melatonin+assoc.
meloxicam+betametasona+asoc.,meloxicam+betamethasone+assoc.
Menta x 60 g (VL),Mint x 60 g (VL)
meperidina,meperidine
metformina+pioglitazona,metformin+pioglitazone
metil sulfonil metano,methyl sulfonyl methane
"metilprednisolona,aceponato",methylprednisolone aceponate
metimazol,methimazole
metionina+cistina,methionine+cystine
metoclopramida+simeticona+asoc.,metoclopramide+simethicone+asoc.
metoxsaleno,methoxsalen
midodrine,midodrine
midostaurina,midostaurin
miel+asoc.,honey+assoc.
mitoxantrona,mitoxantrone
mometasona+formoterol,mometasone+formoterol
moringa+arginina,moringa+arginine
mosunetuzumab,mosunetuzumab
moxifloxacina+dexametasona fosf.,moxifloxacin+dexamethasone phos.
mupirocina+hidrocortisona,mupirocin+hydrocortisone
nabilona,nabilone
naltrexona+bupropion,naltrexone+bupropion
naproxeno+carisoprodol,naproxen+carisoprodol
"naproxeno+lidocaina,clorh.+asoc.","naproxen+lidocaine,chlorh.+asoc."
naranja gomitas mast.x25 (VL),orange gummies mast.x25 (VL)
naranja sob.x 1 x 12 g (VL),orange sachet x 1 x 12 g (VL)
natalizumab,natalizumab
Neurorregenerador,Neuroregenerative
neutro lata x 400 g,neutral can x 400 g
neutro pouch x 700 g,neutral pouch x 700 g
neutro x4 x 125 ml,neutral x4 x 125 ml
nifedipina,nifedipine
nirsevimab,nirsevimab
nitazoxanida,nitazoxanide
noche cr.x 40 ml,night cr.x 40 ml
nonacog beta pegol - factor IX recomb.,nonacog beta pegol - factor IX recomb.
noretisterona+etinilestradiol,norethisterone+ethinylestradiol
Normalizador de la potasemia,Potassium normalizer
ocrelizumab,ocrelizumab
octopirox+asoc.,octopirox+assoc.
ofloxacina,ofloxacin
oligoelementos,trace elements
olmesartan+hidroclorotiazida,olmesartan+hydrochlorothiazide
omalizumab,omalizumab
osimertinib,osimertinib
"otilonio,bromuro+diazepam",otilonium bromide + diazepam
ov.x 12,ov.x 12
ov.x 6,ov.x 6
p/lentes gas perm.x120ml (VL),p/gas lenses perm.x120ml (VL)
palivizumab,palivizumab
pancreatina+dimetilpolisiloxano,pancreatin+dimethylpolysiloxane
part.similares a hpv (vlp),HPV-like parts (HPVs)
pasionaria+asoc.,passionflower+assoc.
past.x 16 (VL),past.x 16 (VL)
pasta dent.x 60 g (VL),toothpaste x 60 g (VL)
pastillas de goma x 28 (VL),gumdrops x 28 (VL)
pda.x 100 g (VL),pda.x 100 g (VL)
pda.x 12 g (VL),pda.x 12 g (VL)
pda.x 25 g,pda.x 25 g
pda.x 34 g (VL),pda.x 34 g (VL)
ped.500 mg susp.x 120 ml,ped.500 mg susp.x 120 ml
ped.500 mg susp.x 90 ml,ped.500 mg susp.x 90 ml
pegvisomant,pegvisomant
pembrolizumab,pembrolizumab
"pentamidina,isetionato",pentamidine isethionate
pentoxifilina,pentoxifylline
perindopril,perindopril
pertuzumab+trastuzumab,pertuzumab+trastuzumab
phaseolus vulgaris+vit.e,phaseolus vulgaris+vit.e
piernas livianas x 450ml (VL),light legs x 450ml (VL)
pimavanserina,pimavanserin
piracetam,piracetam
piridostigmina,pyridostigmine
piroctone olamine+glicina+aloe vera,piroctone olamine+glycine+aloe vera
piroxicam+asoc.,piroxicam+assoc.
pitavastatina,pitavastatin
plerixafor,plerixafor
podofilox,podofilox
polatuzumab vedotina,polatuzumab vedotin
polidocanol+avena,polidocanol+oats
polietilenglicol,polyethylene glycol
polietilenglicol+propilenglicol+asoc.,polyethylene glycol+propylene glycol+assoc.
polisorbato 80,polysorbate 80
polisorbato 80+glicerina,polysorbate 80+glycerin
pomo x 100 ml (VL),bottle x 100 ml (VL)
pomo x 200 g (VL),knob x 200 g (VL)
pomo x 200 ml (VL),200 ml bottle (VL)
pomo x 250 ml (VL),bottle x 250 ml (VL)
pomo x 30 g,knob x 30 g
pomo x 5 g (VL),knob x 5 g (VL)
pomo x 90 g (VL),knob x 90 g (VL)
poractant alfa,poractant alfa
"potasio,citrato+asoc.","potassium, citrate+assoc."
pote x 250 g (VL),pot x 250 g (VL)
pote x 300 g (VL),pot x 300 g (VL)
pote x 60 g (VL),pot x 60 g (VL)
pouch x 1 x 20 g (VL),pouch x 1 x 20 g (VL)
pouch x 180 g (VL),pouch x 180 g (VL)
pouch x 2 ml (VL),pouch x 2 ml (VL)
pouch x 24 x 3.5 g (VL),pouch x 24 x 3.5 g (VL)
pouch x 24 x 5 g (VL),pouch x 24 x 5 g (VL)
pouch x 25 x 2 ml c/u (VL),pouch x 25 x 2 ml each (VL)
pouch x 3 g (VL),pouch x 3 g (VL)
pouch x 4 x 2 ml c/u (VL),pouch x 4 x 2 ml each (VL)
pouch x 5 g (VL),pouch x 5 g (VL)
pouch x 5 x 20 g c/u (VL),pouch x 5 x 20 g each (VL)
pouch x 500 g (VL),pouch x 500 g (VL)
pouch x 6 x 3.5 g (VL),pouch x 6 x 3.5 g (VL)
pralatrexato,pralatrexate
prasterona,prasterone
pro vit.b5,pro vit.b5
probioticos+asoc.,probiotics+assoc.
prometazina,promethazine
Protector labial,Lip balm
purificador,purifier
pvo. x 120 g (VL),pvo. x 120 g (VL)
pvo.eferv.sob.x 30,pvo.eferv.sob.x 30
pvo.lata x 250 g (VL),PV.can x 250 g (VL)
pvo.p/susp.oral x 120 ml,oral suspension x 120 ml
pvo.p/susp.oral x 90 ml,oral suspension x 90 ml
pvo.x 20 g,pvo.x 20 g
pvo.x 200 g (VL),pvo.x 200 g (VL)
pvo.x 40 g,pvo.x 40 g
pvo.x 400 g (VL),pvo.x 400 g (VL)
pvo.x 407 g (VL),pvo.x 407 g (VL)
pvo.x 60 g,pvo.x 60 g
quercetina+zinc+vit.c+vit.d+asoc.,quercetin+zinc+vit.c+vit.d+asoc.
quinestrol+etinodiol,quinestrol+ethinodiol
ramipril+amlodipina,ramipril+amlodipine
ramucirumab,ramucirumab
ravulizumab,ravulizumab
Reconstituyente flora vaginal,Restorative vaginal flora
Reconstituyente neuronal,Neuronal restorative
Reductor y reafirmante corporal,Body reducer and firming
regorafenib,regorafenib
Removedor de cerumen,Earwax remover
Reparador labial,Lip repairer
resinas neutras,neutral resins
resveratrol+coenzima Q10+vit.+asoc.,resveratrol+coenzyme Q10+vit.+asoc.
ribociclib,ribociclib
rifamicina,rifamycin
rimegepant,rimegepant
roll-on x 50 ml (VL),roll-on x 50 ml (VL)
RonaCare AP,RonaCare AP
rosca bolsa x 1,thread bag x 1
rosiglitazona,rosiglitazone
rotavirus,rotavirus
ruscogenina+hesperidina+asoc.,ruscogenin+hesperidin+assoc.
"rutina+ajo,extr.","routine+garlic,extr."
sab.frut.sob.x3 x28.4 g,fruit.sab.x3 x28.4 g
sab.nat.sob.x 3 x 27.9 g,sab.nat.sob.x 3 x 27.9 g
sab.vainilla lata x 350g,vanilla flavor can x 350g
sacarina,saccharin
salbutamol+beclometasona,salbutamol+beclomethasone
"sapropterina,diclorh.","sapropterin, dichlorh."
saxagliptina,saxagliptin
saxagliptina+metformina clorh.,saxagliptin+metformin chlorh.
Selenito de Sodio,Sodium Selenite
selumetinib,selumetinib
serrapeptasa,serrapeptase
sertindol,sertindole
set x 1 (VL),set x 1 (VL)
sh.engro. doypack x400ml (VL),sh.engro. doypack x400ml (VL)
sh.herbo. doypack x400ml (VL),sh.herbo. doypack x400ml (VL)
shamp.x 100 ml,shampoo x 100 ml
shamp.x 250 ml (VL),shampoo x 250 ml (VL)
shampoo x 300 ml (VL),shampoo x 300 ml (VL)
sin sabor lata x 350 g,unflavored can x 350 g
sin sabor lata x 700 g,unflavored can x 700 g
slimleaf x 200 ml (VL),slimleaf x 200 ml (VL)
sob. x 1 (VL),over x 1 (VL)
sob. x 14 (VL),over x 14 (VL)
sob. x 30 (VL),over x 30 (VL)
sob.x 1,sob.x 1
sob.x 175 g,sachet x 175 g
sob.x 180 g,sachet x 180 g
sob.x 30 x 36 g,sachets x 30 x 36 g
sob.x 5 x 5 g (VL),sob.x 5 x 5 g (VL)
sob.x 50,over x 50
sob.x 50 x 5 g (VL),sachet.x 50 x 5 g (VL)
sob.x 60,over x 60
sobre x 200 g,envelope x 200 g
sobres x 12,envelopes x 12
sobres x 14,envelopes x 14
sobres x 20 (VL),envelopes x 20 (VL)
sobres x 28,envelopes x 28
sodio zirconio ciclosilicato,sodium zirconium cyclosilicate
"sodio,cloruro+carragenina",sodium chloride + carrageenan
"sodio,cloruro+xilitol",sodium chloride + xylitol
"sodio,fosfato+asoc.","sodium, phosphate+assoc."
sol. oral x 30 ml,oral sol. x 30 ml
sol. p/nebul.x 20 ml,sol. p/nebul.x 20 ml
sol.micelar x 250 ml (VL),micellar sol x 250 ml (VL)
sol.oft.x 12 ml (VL),sol.oft.x 12 ml (VL)
sol.oft.x 3 ml,sol.oft.x 3 ml
sol.oral x 100 ml,oral sol x 100 ml
sol.p/inh.f.a.x 56,sol.p/inh.f.a.x 56
sol.p/nebulizar x 20 ml,sun.p/nebulize x 20 ml
sol.x 10 ml,sol.x 10 ml
sol.x 135 ml,sol.x 135 ml
sol.x 15 ml,sol.x 15 ml
sol.x 20 ml (VL),sol.x 20 ml (VL)
sol.x 240 ml (VL),sol.x 240 ml (VL)
sol.x 45 ml,sun.x 45 ml
sol.x 50 ml,sun.x 50 ml
sol.x 60 ml,sun.x 60 ml
Soluc.nat.contra piojos/liendres,Natural solution against lice/nits
Soluciones cloruradas,Chlorinated solutions
sotalol,sotalol
spray nasal x 120 dosis,nasal spray x 120 doses
spray nasal x 150 ds.,nasal spray x 150 ds.
spray x 240 ml (VL),spray x 240 ml (VL)
spray x 50 ml (VL),spray x 50 ml (VL)
spray x 60 ml,spray x 60 ml
stevia+sucralosa,stevia+sucralose
sulbutiamina,sulbutiamine
sulfatiazol+asoc.,sulfathiazole+assoc.
sup.x 10,sup.x 10
susp.enema x 500 ml,enema suspension x 500 ml
susp.fco.x 60 ml,susp.fco.x 60 ml
susp.iny.f.a.x 1 x 2 ml,susp.inj.f.a.x 1 x 2 ml
susp.oral x 250 ml,oral suspension x 250 ml
susp.oral x 60 ml,oral suspension x 60 ml
susp.oral x 90 ml (VL),oral suspension x 90 ml (VL)
susp.sob.x 30,susp.sob.x 30
susp.x 100 ml,susp.x 100 ml
susp.x 15 ml,susp.x 15 ml
susp.x 240 ml,susp.x 240 ml
tab. x 60 (VL),tab. x 60 (VL)
tafamidis,tafamidis
takadiastasa+pancreatina+pepsina,takadiastase+pancreatin+pepsin
tarro x 350 g,jar x 350 g
teclistamab,keyboardist
tenecteplasa,tenecteplase
test x 1 formato lap. (VL),test x 1 lap format (VL)
test x 2 (VL),test x 2 (VL)
tetraciclina,tetracycline
tetraciclina+naproxeno,tetracycline+naproxen
tiabendazol,thiabendazole
tintura pelitre+asoc.,pyrethrum dye+assoc.
tiocolchicosido,thiocolchicoside
tioguanina,thioguanine
tiras p/cetonas x 10,ketone strips x 10
tiras reac.p/glucosax100,reac.p/glucosax100 strips
tiras react.p/glucosax25,strips reactive.p/glucosax25
tiras reactivas x 25,test strips x 25
tiras reactivas x 50 (VL),test strips x 50 (VL)
tirofiban,tirofiban
tizanidina,tizanidine
toallitas desc.sob.x 30 (VL),disposable wipes x 30 (VL)
toallitas x 10 (VL),wipes x 10 (VL)
toallitas x 25 (VL),wipes x 25 (VL)
Tonificante muscular,Muscle toner
trametinib,trametinib
trastuzumab emtansina,trastuzumab emtansine
Trat.anafilaxis,Anaphylaxis treatment
Trat.cistitis intersticial,Treatment of interstitial cystitis
trat.del hiperparatiroidismo secundario,treatment of secondary hyperparathyroidism
Trat.hiperpotasemia,Hyperkalemia treatment
Trat.mielofibrosis,Myelofibrosis treatment
Trat.p/hiperfenilalaninemia,Treatment for hyperphenylalaninemia
Trat.regenerador corrector,Regenerative corrective treatment
Tratamiento HPB/Tratamiento DE,BPH Treatment/ED Treatment
travoprost+timolol,travoprost+timolol
tremelimumab,tremelimumab
triac,triac
trifluoperazina,trifluoperazine
trolamina,trolamine
"trospio,cloruro",trospium chloride
troxerrutina+magn.ascorbato,troxerutin+magn.ascorbate
ung.x 3.5 g,ung.x 3.5 g
ung.x 50 g,ung.x 50 g
Vac.contra virus Papiloma Humano,Vaccine against Human Papillomavirus
Vacuna,Vaccine
Vacuna contra el virus sincicial respiratorio,Respiratory syncytial virus vaccine
Vacuna contra gastroenteritis,Gastroenteritis vaccine
Vacuna contra hepatitis B,Hepatitis B vaccine
Vacuna contra la varicela,Chickenpox vaccine
Vacuna triple acelular,Triple acellular vaccine
vain.env.x 236 ml (VL),vain.env.x 236 ml (VL)
vainilla bot. x 220 ml (VL),vanilla bot. x 220 ml (VL)
vainilla bot.x 4 x 200ml,vanilla bot.x 4 x 200ml
vainilla botella x125 ml,vanilla bottle x125 ml
vainilla botella x200 ml,vanilla bottle x200 ml
vainilla env.x 237 ml (VL),vanilla env.x 237 ml (VL)
vainilla lata x 280 g,vanilla can x 280 g
vainilla lata x 350 g,vanilla can x 350 g
vainilla lata x 400 g,vanilla can x 400 g
vainilla lata x 850 g,vanilla can x 850 g
vainilla pouch x 700 g,vanilla pouch x 700 g
vainilla pvo.x 1200 g,vanilla pvo.x 1200 g
vainilla pvo.x 400 g,vanilla pvo.x 400 g
vainilla pvo.x 400 g (VL),vanilla pvo.x 400 g (VL)
vainilla pvo.x 800 g,vanilla pvo.x 800 g
vainilla pvo.x 850 g (VL),vanilla pvo.x 850 g (VL)
Vasopresor,Vasopressor
vedolizumab,vedolizumab
vial monodosis x 0.5 ml,single-dose vial x 0.5 ml
vinflunina ditartrato,vinflunine ditartrate
