Local Product Name,Local Pack Code,Generic Name,WHO ATC Code,Formulation,Strength Size,Fill Size,Customized 1,Marketing Authority / Company Name,Effective Start Date,Effective End Date,Public with VAT Price,Pharmacy Purchase Price,Local Pack Description,Reimbursable Status,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,VAT Percent,detail_url
BEOVU,5310297000726,brolucizumab,S01LA06,solution for injection,120 mg/ml,1 glass vial with 0.230 ml solution and 1 needle with blunt filter/box,1 vial contains: 27.6 mg brolucizumab in 0.23 ml solution.This provides delivery of a single dose of 0.05 ml of solution containing 6 mg of brolucizumab,"NOVARTIS PHARMA STEIN AG, Stein, Switzerland, NOVARTIS Farmaceutica S.A., Barcelona, ​​Spain, NOVARTIS Pharma GmbH, Nuremberg, Germany, LEK Pharmaceuticals d.d.Verovskova 57, Ljubljana, Slovenia",27.06.2022,03.06.2027,0,0,solution for injection 1 glass vial with 0.230 ml solution and 1 needle with blunt filter/box 120 mg/ml 1 vial contains: 27.6 mg brolucizumab in 0.23 ml solution.This provides delivery of a single dose of 0.05 ml of solution containing 6 mg of brolucizumab,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3881086475?t:ac=overview
BERINERT 1500,5318000005143,human C1-esterase inhibitor,B06AC01,powder and solvent for solution for injection/infusion,1500 IE,1 vial of powder + 1 vial x 3 ml solvent + 1 application set/box,"1 вијала со прашок (хумана плазма фракција) содржи: С1-естераза инхибитор, хуман. . . 1500 IE 1 вијала со растворувач содржи: вода за инјекции. . . 3 ml","CSL BEHRING GmbH, Марбург, Германија",11.08.2021,,115510.5,108810,"powder and solvent for solution for injection/infusion 1 vial of powder + 1 vial x 3 ml solvent + 1 application set/box 1500 IE 1 vial of powder (human plasma fraction) contains: C1-esterase inhibitor, human...1500 IE 1 vial with solvent contains: water for injections...3 ml",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1170129181?t:ac=overview
BERINERT 500,4047725115547,human C1-esterase inhibitor,B06AC01,powder and solvent for solution for injection/infusion,500 IE,1 vial of powder + 1 vial x 10 ml solvent + 1 application set/box,"1 вијала со прашок (хумана плазма фракција) содржи: С1-естераза инхибитор, хуман. . . 500 IE 1 вијала со растворувач содржи: вода за инјекции. . . 10 ml","CSL BEHRING GmbH, Марбург, Германија",11.08.2021,,39343.5,36270,"прашок и растворувач за раствор за инјектирање/инфузија 1 вијала со прашок + 1 вијала х 10 ml растворувач + 1 сет за апликација/кутија 500 IE 1 вијала со прашок (хумана плазма фракција) содржи: С1-естераза инхибитор, хуман. . . 500 IE 1 вијала со растворувач содржи: вода за инјекции. . . 10 ml",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1170129182?t:ac=overview
BERLITHION 600,4013054015087,thioctic acid,A16AX01,"capsule, soft",600 mg,30 capsules (blister 2 x 15)/box / 30 capsules (blister 3 x 10)/box,1 капсула содржи: тиоктинска киселина . . . 600 mg,"BERLIN - CHEMIE AG, Berlin, Germany",14.11.2019,,1430.63,1090,"capsule, soft 30 capsules (blister 2 x 15)/box /30 capsules (blister 3 x 10)/box 600 mg 1 capsule contains: thioctic acid...600 mg",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3135419920?t:ac=overview
BERLITHION 600 ED,4013054004203,thioctic acid,A16AX01,concentrate for solution for infusion,600 mg/24 ml,5 ampoules x 24 ml/box,24 ml of concentrate (1 ampoule) contains: ethane-1-2-diamine salt of thioctic acid...755 mg (equivalent to 600 mg thioctic acid),"BERLIN - CHEMIE AG, Берлин, Германија",14.11.2019,,1627.92,1292,concentrate for solution for infusion 5 ampoules x 24 ml/box 600 mg/24 ml 24 ml concentrate (1 ampoule) contains: ethane-1-2-diamine salt of thioctic acid...755 mg (equivalent to 600 mg thioctic acid),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3941543660?t:ac=overview
BETADINE,5310001206772,povidone-iodine,D08AG02,fat,100 mg/1 g,Al tube x 20 g/box,1 g маст содржи: повидон – јод . . . 100 mg (еквивалентен на 10 mg расположив јод),"АЛКАЛОИД АД, Скопје, Р. Северна Македонија, по лиценца на Mundipharma AG -, , Швајцарија",20.10.2014,,0,0,ointment Al tube x 20 g/box 100 mg/1 g 1 g ointment contains: povidone - iodine...100 mg (equivalent to 10 mg available iodine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51342?t:ac=overview
BESPONSA,5319992070195,inotuzumab ozogamicin,L01FB01,powder for concentrate for solution for infusion,1 mg,1 glass vial/box,"1 vial contains: inotuzumab ozogamicin...1 mg after reconstitution (with 4 ml of water for injections), 1 ml of the solution contains: inotuzumab ozogamicin...0.25 mg","Pfizer Service Company BV, Завентем, Белгија",10.12.2021,06.12.2026,554581.11,526972.49,"powder for concentrate for solution for infusion 1 glass vial/box 1 mg 1 vial contains: inotuzumab ozogamicin...1 mg after reconstitution (with 4 ml of water for injections), 1 ml of the solution contains: inotuzumab ozogamicin...0.25 mg",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3520157284?t:ac=overview
BETADINE,5310001206802,povidone-iodine,R02AA15,gargle solution,1 %,PP темно шише х 100 ml + PE бела капалка/кутија,"100 ml of solution contains: povidone - iodine, ...1 g (equivalent to 0.1 g available iodine)","ALKALOID AD, Skopje, R.North Macedonia, under license of Mundipharma AG -, , Switzerland",17.11.2014,,0,0,"раствор за гаргара PP темно шише х 100 ml + PE бела капалка/кутија 1 % 100 ml раствор содржи: повидон - јод, . . . 1 g (еквивалентн на 0,1 g расположив јод)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51341?t:ac=overview
BETADINE,5310001207175,povidone-iodine,D08AG02,skin solution,10%,PE бело шише х 1000 ml/PE ќеса,100 ml of solution contains: povidone - iodine...10 g (equivalent to 1 g of available iodine),"АЛКАЛОИД АД, Скопје, Р. Северна Македонија, по лиценца на Mundipharma AG -, , Швајцарија",17.11.2014,,0,0,skin solution PE white bottle x 1000 ml/PE bag 10% 100 ml solution contains: povidone - iodine...10 g (equivalent to 1 g of available iodine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51344?t:ac=overview
BETADINE,5310001206789,povidone-iodine,G01AX11,vagitory,200 mg,14 вагитории (PVC/PE лента 2 х 7)/кутија,"1 vial contains: povidone - iodine, micronized...200 mg (equivalent to 20 mg available iodine)","ALKALOID AD, Skopje, R.North Macedonia, under license of Mundipharma AG -, , Switzerland",20.10.2014,,0,0,"vagitorium 14 vagitoriums (PVC/PE tape 2 x 7)/box 200 mg 1 vagitorium contains: povidone-iodine, micronized...200 mg (equivalent to 20 mg available iodine)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3809157132?t:ac=overview
BETADINE,5310001207168,povidone-iodine,D08AG02,раствор за кожа,10%,PP dark bottle x 100 ml + PE dropper/box,100 ml of solution contains: povidone - iodine...10 g (equivalent to 1 g of available iodine),"АЛКАЛОИД АД, Скопје, Р. Северна Македонија, по лиценца на Mundipharma AG -, , Швајцарија",17.11.2014,,0,0,skin solution PP dark bottle x 100 ml + PE dropper/box 10% 100 ml solution contains: povidone - iodine...10 g (equivalent to 1 g of available iodine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51346?t:ac=overview
BETADINE,5310001207199,povidone-iodine,D08AG02,skin solution,"7,5%",PE бело шише х 1000 ml/PE ќесе,"100 ml раствор содржи: повидон - јод . . . 7,5 g (еквивалентен на 0,75 g расположив јод)","ALKALOID AD, Skopje, R.North Macedonia, under license of Mundipharma AG -, , Switzerland",17.11.2014,,0,0,skin solution PE white bottle x 1000 ml/PE bag 7.5% 100 ml solution contains: povidone - iodine...7.5 g (equivalent to 0.75 g available iodine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51343?t:ac=overview
BETAKLAV,3838989675219,"amoxicillin, clavulanic acid",J01CR02,филм-обложена таблета,875 mg/125 mg,14 film-coated tablets (OPA/Al/PVC/Al blister 2 x 7)/box,1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulonic acid...125 mg (as potassium clavulanate),"KRKA, d.d., Novo mesto (Шмајрешка цеста 6), Ново Место, Словенија",05.04.2023,,274,203.87,film-coated tablet 14 film-coated tablets (OPA/Al/PVC/Al blister 2 x 7)/box 875 mg/125 mg 1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulonic acid...125 mg (as potassium clavulanate),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4055765812?t:ac=overview
BETAFERON,3838944505711,interferon beta-1b,L03AB08,прашок и вехикулум за раствор за инјектирање,250 mcg (8 MIE)/1 ml,multipack of 15 single packs (1 vial of powder + 1 pre-filled syringe x 1.2 ml + 1 vial adapter with needle + 2 alcohol pads)/box,"1 vial with powder contains: interferon beta-1b, recombinant...0.3 mg (9.6 MIE) 1 pre-filled syringe with vehicle contains: 0.54% sodium chloride solution...1.2 ml 1 ml solution after reconstitution contains: interferon beta-1b, recombinant...0.25 mg (8 MIU)","BAYER AG, Берлин, Германија, BAYER farmacevtska druzba d.o.o., Љубљана, Словенија",05.12.2019,,32249.26,29513.58,"powder and vehicle for solution for injection multipack of 15 unit packs (1 vial of powder + 1 pre-filled syringe x 1.2 ml + 1 vial adapter with needle + 2 alcohol pads)/box 250 mcg (8 MIE)/1 ml 1 vial of powder contains: interferon beta-1b, recombinant ...0.3 mg (9.6 MIE) 1 pre-filled syringe with vehicle contains: 0.54% sodium chloride solution...1.2 ml 1 ml solution after reconstitution contains: interferon beta-1b, recombinant...0.25 mg (8 MIU)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51350?t:ac=overview
BETAKLAV,3838989653811,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,875 mg/125 mg,14 филм-обложени таблети (Al/Al лента 2 х 7)/кутија,1 film-coated tablet contains: amoxicillin...875 mg (in the form of amoxicillin trihydrate) clavulonic acid...125 mg (as potassium clavulanate),"KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",05.04.2023,,274,203.87,филм-обложена таблета 14 филм-обложени таблети (Al/Al лента 2 х 7)/кутија 875 mg/125 mg 1 филм-обложена таблета содржи: амоксицилин. . . 875 mg (во форма на амоксицилин трихидрат) клавулонска киселина. . . 125 mg (во форма на калиум клавуланат),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4055765813?t:ac=overview
BETAKLAV,3838989665202,"amoxicillin, clavulanic acid",J01CR02,film-coated tablet,500 mg/125 mg,14 филм-обложени таблети (OPA/Al/PVC/Al блистер 2 х 7)/кутија,1 film-coated tablet contains: amoxicillin...500 mg (in the form of amoxicillin trihydrate) clavulonic acid...125 mg (as potassium clavulanate),"KRKA, d.d., Novo mesto (Šmajreška cesta 6), Novo Mesto, Slovenia",05.04.2023,,203,151.04,филм-обложена таблета 14 филм-обложени таблети (OPA/Al/PVC/Al блистер 2 х 7)/кутија 500 mg/125 mg 1 филм-обложена таблета содржи: амоксицилин. . . 500 mg (во форма на амоксицилин трихидрат) клавулонска киселина. . . 125 mg (во форма на калиум клавуланат),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4055765814?t:ac=overview
BETAKLAV,3838989653828,"amoxicillin, clavulanic acid",J01CR02,powder for oral suspension,(400 mg/57 mg)5 ml,HDPE bottle with 70 ml preparation powder + dosing syringe/box,5 ml suspension contains: amoxicillin trihydrate...459.11 mg (equivalent to 400 mg of amoxicillin) potassium clavulanate...74.7 mg (equivalent to 62.7 mg clavulanic acid),"KRKA, d.d., Novo mesto (Шмајрешка цеста 6), Ново Место, Словенија",05.04.2023,,161.28,120,powder for oral suspension HDPE bottle with powder for preparation of 70 ml + dosing syringe/box (400 mg/57 mg) 5 ml 5 ml suspension contains: amoxicillin trihydrate...459.11 mg (equivalent to 400 mg of amoxicillin) potassium clavulanate...74.7 mg (equivalent to 62.7 mg clavulanic acid),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3984087240?t:ac=overview
BETAKSIM,8699541273503,cefotaxime,J01DD01,powder and vehicle for solution for injection,1000 mg,1 вијала со прашок х 1 g + 1 ампула x 4 ml/кутија,1 vial with powder contains: cefotaxime sodium...524 mg (+ 5% in excess) (equivalent to 500 mg cefotaxime),"GENSENTA ILAC SANAYI ve TICARET A.S., Истанбул, Турција",26.05.2015,,62.86,47.48,powder and vehicle for solution for injection 1 vial with powder x 1 g + 1 ampoule x 4 ml/box 1000 mg 1 vial with powder contains: cefotaxime sodium...524 mg (+ 5% in excess) (equivalent to 500 mg cefotaxime),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2533485727?t:ac=overview
BETAKSIM,8699541274463,cefotaxime,J01DD01,powder for solution for injection,1000 mg,20 вијали со прашок х 1 g/кутија,1 vial with powder contains: cefotaxime sodium...1048 mg (+ 5% in excess) (equivalent to 1000 mg cefotaxime),"GENSENTA ILAC SANAYI ve TICARET A.S., Истанбул, Турција",26.05.2015,,1636.85,1320.9,прашок за раствор за инјектирање 20 вијали со прашок х 1 g/кутија 1000 mg 1 вијала со прашок содржи: цефотаксим натриум . . . 1048 mg (+ 5% во вишок) (еквивалентен на 1000 mg цефотаксим),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2533485728?t:ac=overview
BETAKSIM,8699541274456,cefotaxime,J01DD01,powder for solution for injection,500 mg,20 вијали х 500 mg/кутија,"1 вијала со прашок содржи: цефотаксим натриум . . . 1048,00 mg (+ 5% вишок) (еквивалентен на 1000 mg цефотаксим)","GENSENTA ILAC SANAYI ve TICARET A.S., Истанбул, Турција",26.05.2015,,0,0,powder for solution for injection 20 vials x 500 mg/box 500 mg 1 vial of powder contains: cefotaxime sodium...1048.00 mg (+ 5% excess) (equivalent to 1000 mg cefotaxime),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2538470510?t:ac=overview
BETAMETAZON,5310090000718,betamethasone,D07AC01,fat,"0,5 mg/1 g",Al tube x 30 g/box,1 g of ointment contains: betamethasone dipropionate...0.643 mg (equivalent to 0.5 mg betamethasone),"REPLEK FARM DOOEL SKOPJE, Skopje, R.North Macedonia",04.03.2021,,194.19,144.49,"маст Al туба х 30 g/кутија 0,5 mg/1 g 1 g маст содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1157928592?t:ac=overview
BETAMETAZON,5310090000671,betamethasone,D07AC01,cream,"0,5 mg/1 g",Al tube x 30 g/box,"1 g крем содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон)","REPLEK FARM DOOEL SKOPJE, Skopje, R.North Macedonia",04.03.2021,,185.2,137.8,cream Al tube x 30 g/box 0.5 mg/1 g 1 g cream contains: betamethasone dipropionate...0.643 mg (equivalent to 0.5 mg betamethasone),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1157928593?t:ac=overview
BETAMETAZON,5310090000701,betamethasone,D07AC01,fat,"0,5 mg/1 g",Al tube x 15 g/box,1 g of ointment contains: betamethasone dipropionate...0.643 mg (equivalent to 0.5 mg betamethasone),"РЕПЛЕК ФАРМ ДООЕЛ СКОПЈЕ, Скопје, Р. Северна Македонија",08.07.2014,,87.36,65,"маст Al туба х 15 g/кутија 0,5 mg/1 g 1 g маст содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51361?t:ac=overview
BETAMETAZON,5310090000664,betamethasone,D07AC01,крем,"0,5 mg/1 g",Al tube x 15 g/box,1 g of cream contains: betamethasone dipropionate...0.643 mg (equivalent to 0.5 mg betamethasone),"РЕПЛЕК ФАРМ ДООЕЛ СКОПЈЕ, Скопје, Р. Северна Македонија",08.07.2014,,80.64,60,"крем Al туба х 15 g/кутија 0,5 mg/1 g 1 g крем содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51367?t:ac=overview
BETAMSAL,8600097427265,tamsulosin,G04CA02,"modified-release capsule, hard","0,4 mg",30 capsules (blister 3 x 10)/box,1 capsule contains: tamsulosin hydrochloride...0.400 mg,"HEMOFARM A.D., Вршац, Србија",06.09.2022,,375.59,279.46,"капсула со модифицирано ослободување, тврда 30 капсули (блистер 3 х 10)/кутија 0,4 mg 1 капсула содржи: тамсулозин хидрохлорид. . . 0,400 mg",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1400514865?t:ac=overview
BETASALIK,5310090000732,"betamethasone, salicylic acid",D07XC01,fat,"(0,5 mg/30 mg)/1 g",Al tube x 30 g/box,"1 g маст содржи: бетаметазон дипропионат . . . 0,643 mg (еквивалентно на 0,5 mg бетаметазон ) салицилна киселина . . . 30 mg","РЕПЛЕК ФАРМ ДООЕЛ СКОПЈЕ, Скопје, Р. Северна Македонија",29.10.2014,,125,98,"маст Al туба х 30 g/кутија (0,5 mg/30 mg)/1 g 1 g маст содржи: бетаметазон дипропионат . . . 0,643 mg (еквивалентно на 0,5 mg бетаметазон ) салицилна киселина . . . 30 mg",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51369?t:ac=overview
BETASALIK,5310090000749,"betamethasone, salicylic acid",D07XC01,lotion,"(0,5 mg/20 mg)/1 g",PE bottle x 50 ml/box,"1 ml лосион содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон) салицилна киселина . . . 20 mg","РЕПЛЕК ФАРМ ДООЕЛ СКОПЈЕ, Скопје, Р. Северна Македонија",29.10.2014,,240.09,178.64,"лосион PE шише х 50 ml/кутија (0,5 mg/20 mg)/1 g 1 ml лосион содржи: бетаметазон дипропионат. . . 0,643 mg (еквивалентен на 0,5 mg бетаметазон) салицилна киселина . . . 20 mg",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51370?t:ac=overview
BETASERC,5099151917201,betahistine,N07CA01,tablet,24 mg,50 tablets (blister 5 x 10)/box,1 таблета содржи: бетахистин дихидрохлорид . . . 24 mg,"Mylan Laboratories SAS, Шатилон-сур-Шаларон, Франција",19.10.2018,,0,0,tablet 50 tablets (blister 5 x 10)/box 24 mg 1 tablet contains: betahistine dihydrochloride...24 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3080537261?t:ac=overview
BETASERC,5099151921789,betahistine,N07CA01,таблета,24 mg,20 tablets (blister 1x20)/ box,1 таблета содржи: бетахистин дихидрохлорид . . . 24 mg,"Mylan Laboratories SAS, Châtillon-sur-Chalaron, France",19.10.2018,,420.16,320.12,tablet 20 tablets (blister 1x20)/box 24 mg 1 tablet contains: betahistine dihydrochloride...24 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3080537260?t:ac=overview
BICALUTAMIDE ACCORD,5909990851188,bicalutamide,L02BB03,филм-обложена таблета,50 mg,28 филм-обложени таблети (блистер 2 x 14)/кутија,1 филм-обложена таблета содржи: бикалутамид. . . 50 mg,"ACCORD Helthcare Polska, Pabianice, Poland, Accord Healthcare Single Member S.A, Lamia, Greece",23.04.2025,,1442.33,1098.92,film-coated tablet 28 film-coated tablets (blister 2 x 14)/box 50 mg 1 film-coated tablet contains: bicalutamide...50 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4646371384?t:ac=overview
BICALUTAMIDE-TEVA,3850114231039,bicalutamide,L02BB03,film-coated tablet,50 mg,30 film-coated tablets (blister 3 x 10)/box,1 филм-обложена таблета содржи: бикалутамид . . . . 50 mg,"TEVA Pharmaceutical Industries LTD, Kfar Saba, Israel",30.03.2016,,0,0,филм-обложена таблета 30 филм-обложени таблети (блистер 3 х 10)/кутија 50 mg 1 филм-обложена таблета содржи: бикалутамид . . . . 50 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2959462020?t:ac=overview
BICALUTAMIDE - TEVA,3850114231039,bicalutamide,L02BB03,филм-обложена таблета,50 mg,30 филм-обложени таблети (блистер 3 х 10)/кутија,1 film-coated tablet contains: bicalutamide...50 mg,"TEVA Pharmaceutical Industries LTD, Kfar Saba, Israel",30.03.2016,,1545.35,1177.41,филм-обложена таблета 30 филм-обложени таблети (блистер 3 х 10)/кутија 50 mg 1 филм-обложена таблета содржи: бикалутамид . . . 50 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56104?t:ac=overview
BICALUTAMID PLIVA,3850114226332,bicalutamide,L02BB03,film-coated tablet,50 mg,28 филм-обложени таблети (блистер 4 х 7)/кутија,1 film-coated tablet contains: bicalutamide...50 mg,"TEVA Pharmaceutical Industries LTD, Kfar Saba, Israel, PLIVA Hrvatska d.o.o, Zagreb, Croatia, TEVA Gyogyszergyar Zrt., Debrecen, Hungary",06.02.2019,,0,0,филм-обложена таблета 28 филм-обложени таблети (блистер 4 х 7)/кутија 50 mg 1 филм-обложена таблета содржи: бикалутамид. . . 50 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2959462021?t:ac=overview
BIEMEXOL,8699702774047,iohexol,V08AB02,раствор за инјектирање,350 mg /ml,1 стаклена вијала х 100 ml/кутија,1 ml of solution contains: iohexol...755 mg/ml (equivalent to 350 mg iodine),"MEFAR ILAC SANAYII A.S., Истанбул, Турција, IDOL ILAC DOLUM SANAYII VE TICARET A.S., Истанбул, Турција",02.05.2025,,1384.68,1055,solution for injection 1 glass vial x 100 ml/box 350 mg /ml 1 ml solution contains: iohexol...755 mg/ml (equivalent to 350 mg iodine),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1695165295?t:ac=overview
BIEMEFRIN,8699702755046,norepinephrine,C01CA03,раствор за инфузија,4 mg/4 ml,10 ampoules x 4 mL/box,"1 ampoule (4 mL) contains: norepinephrine bitartrate...8 mg (equivalent to 4 mg norepinephrine, base)","MEFAR ILAC SANAYII A.S., Istanbul, Turkey",09.10.2019,08.10.2024,2721.6,2160,"solution for infusion 10 ampoules x 4 mL/box 4 mg/4 ml 1 ampoule (4 mL) contains: norepinephrine bitartrate...8 mg (equivalent to 4 mg norepinephrine, base)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2060443462?t:ac=overview
BIEMEXOL,8699702774030,iohexol,V08AB02,solution for injection,350 mg /ml,1 glass vial x 50 ml/box,1 ml раствор содржи: јохексол. . . 755 mg/ml (еквивалентен на 350 mg јод),"MEFAR ILAC SANAYII A.S., Istanbul, Turkey, IDOL ILAC DOLUM SANAYII VE TICARET A.S., Istanbul, Turkey",02.05.2025,,725.81,553,раствор за инјектирање 1 стаклена вијала х 50 ml/кутија 350 mg /ml 1 ml раствор содржи: јохексол. . . 755 mg/ml (еквивалентен на 350 mg јод),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1695165296?t:ac=overview
BIKALUTAMID PLIVA,3850114226332,bicalutamide,L02BB03,film-coated tablet,50 mg,28 film-coated tablets (blister 4 x 7)/box,1 film-coated tablet contains: bicalutamide...50 mg,"TEVA Pharmaceutical Industries LTD, Кфар Саба, Израел, PLIVA Hrvatska d.o.o, Загреб, Хрватска",06.02.2019,,1442.33,1098.92,филм-обложена таблета 28 филм-обложени таблети (блистер 4 х 7)/кутија 50 mg 1 филм-обложена таблета содржи: бикалутамид . . . 50 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55960?t:ac=overview
BINOCRIT,9002260027194,epoetin alfa,B03XA01,solution for injection,"4000 IE/0,4 ml",6 наполнети инјекциски шприца без безбедносен механизам за иглата/кутија,0.4 ml solution (filled injection syringe) contains: epoetin alfa...4000 IU (equivalent to 33.6 mcg epoetin alfa),"Sandoz GmbH, Langkampfen, Austria",06.04.2021,23.03.2026,7770,62000,solution for injection 6 pre-filled syringes without needle safety mechanism/box 4000 IU/0.4 ml 0.4 ml solution (pre-filled syringe) contains: epoetin alfa...4000 IU (equivalent to 33.6 mcg epoetin alfa),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2442896095?t:ac=overview
