PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Hoffmann-La Roche Limited,,CILAZAPRIL,,,NON REIMBURSABLE,,,Inhibace (Not a Benefit) 2.5mg Tab,01911473,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Cheplapharm Arzneimittel GmbH,,CILAZAPRIL,,1.24,REIMBURSABLE WITH COPAY,0.50,0.74,Inhibace 5mg Tab,01911481,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CILAZAPRIL,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Mylan-Cilazapril 5mg Tab,02283794,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CILAZAPRIL,,0.46,REIMBURSABLE WITH COPAY,0.43,0.03,Mylan-Cilazapril 2.5mg Tab,02283786,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CILAZAPRIL,,0.37,REIMBURSABLE WITH COPAY,0.34,0.03,Mylan-Cilazapril 1mg Tab,02283778,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CILAZAPRIL & HYDROCHLOROTHIAZIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Apo-Cilazapril/HCTZ 5mg/12.5mg Tab,02284987,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Cheplapharm Arzneimittel GmbH,,CILAZAPRIL & HYDROCHLOROTHIAZIDE,,1.24,REIMBURSABLE WITH COPAY,0.63,0.61,Inhibace Plus 5mg/12.5mg Tab,02181479,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,CIMETIDINE,,0.38,REIMBURSABLE WITH COPAY,0.36,0.03,Cimetidine 200mg Tab,00584215,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,CIMETIDINE,,0.27,REIMBURSABLE WITH COPAY,0.25,0.02,Cimetidine 800mg Tab,00749494,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,CIMETIDINE,,0.37,REIMBURSABLE WITH COPAY,0.34,0.03,Cimetidine 600mg Tab,00600067,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,CIMETIDINE,,0.32,REIMBURSABLE WITH COPAY,0.29,0.02,Cimetidine 400mg Tab,00600059,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,CIMETIDINE,,0.37,REIMBURSABLE WITH COPAY,0.34,0.03,Cimetidine 300mg Tab,00487872,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Smith Kline Beecham Pharma Inc,,CIMETIDINE,,,NON REIMBURSABLE,,,Tagamet (Not a Benefit) 600mg Tab,01916777,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Smith Kline Beecham Pharma Inc,,CIMETIDINE,,,NON REIMBURSABLE,,,Tagamet (Not a Benefit) 400mg Tab,01916785,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Smith Kline Beecham Pharma Inc,,CIMETIDINE,,,NON REIMBURSABLE,,,Tagamet (Not a Benefit) 800mg Tab,01916769,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Smith Kline Beecham Pharma Inc,,CIMETIDINE,,,NON REIMBURSABLE,,,Tagamet (Not a Benefit) 300mg Tab,01916815,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Smith Kline Beecham Pharma Inc,,CIMETIDINE,,,NON REIMBURSABLE,,,Tagamet (Not a Benefit) 200mg Tab,01916793,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Apo-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02452693,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Apo-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02452715,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Apo-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02452707,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Auro-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02478919,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Auro-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02478943,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Auro-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02478900,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02524880,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Jamp Cinacalcet Tablets (Off-Formulary Interchangeable) 90mg Tab,02500116,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Jamp Cinacalcet Tablets (Off-Formulary Interchangeable) 30mg Tab,02500094,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Jamp Cinacalcet Tablets (Off-Formulary Interchangeable) 60mg Tab,02500108,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,M-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02481987,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,M-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02482002,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,M-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02481995,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Mar-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02480298,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Mar-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02480301,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Mar-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02480328,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Mylan-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02434547,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Mylan-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02434555,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Mylan-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02434539,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,PMS-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02517604,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,PMS-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02517612,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,PMS-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02517620,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,CINACALCET,,,NON REIMBURSABLE,,,Sensipar (Not a Benefit) 30mg Tab,02257130,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,CINACALCET,,,NON REIMBURSABLE,,,Sensipar (Not a Benefit) 90mg Tab,02257157,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Amgen Canada Inc.,,CINACALCET,,,NON REIMBURSABLE,,,Sensipar (Not a Benefit) 60mg Tab,02257149,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,CINACALCET,,20.08,REIMBURSABLE WITH COPAY,18.59,1.49,Teva-Cinacalcet (Off-Formulary Interchangeable) 60mg Tab,02441632,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,CINACALCET,,11.01,REIMBURSABLE WITH COPAY,10.19,0.82,Teva-Cinacalcet (Off-Formulary Interchangeable) 30mg Tab,02441624,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,CINACALCET,,29.22,REIMBURSABLE WITH COPAY,27.05,2.16,Teva-Cinacalcet (Off-Formulary Interchangeable) 90mg Tab,02441640,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CIPROFLOXACIN,,1.90,REIMBURSABLE WITH COPAY,1.76,0.14,Apo-Ciproflox (Off-Formulary Interchangeable) 0.3% Oph Sol-5mL Pk,02263130,PACK,YES,NO,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,CIPROFLOXACIN,,,NON REIMBURSABLE,,,Ciloxan (Off-Formulary Interchangeable) 0.3% Oph Sol-5mL Pk,01945270,PACK,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,CIPROFLOXACIN,,10.04,REIMBURSABLE WITH COPAY,9.30,0.74,Sandoz Ciprofloxacin (Off-Formulary Interchangeable) 0.3% Oph Sol-5mL Pk,02387131,PACK,YES,NO,YES,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,CIPROFLOXACIN,,0.62,REIMBURSABLE WITH COPAY,0.58,0.05,Cipro 10g/100mL Oral Susp,02237514,UNIT,NO,YES,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Apo-Ciproflox 250mg Tab,02229521,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Apo-Ciproflox 750mg Tab,02229523,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Apo-Ciproflox 500mg Tab,02229522,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Auro-Ciprofloxacin 250mg Tab,02381907,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Auro-Ciprofloxacin 750mg Tab,02381931,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Auro-Ciprofloxacin 500mg Tab,02381923,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,CIPROFLOXACIN,,,NON REIMBURSABLE,,,Cipro (Not a Benefit) 250mg Tab,02155958,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,CIPROFLOXACIN,,,NON REIMBURSABLE,,,Cipro (Not a Benefit) 750mg Tab,02155974,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,CIPROFLOXACIN,,,NON REIMBURSABLE,,,Cipro (Not a Benefit) 500mg Tab,02155966,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Ciprofloxacin 250mg Tab,02386119,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Ciprofloxacin 500mg Tab,02386127,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sanis Health Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Ciprofloxacin 250mg Tab,02353318,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sanis Health Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Ciprofloxacin 500mg Tab,02353326,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Co Ciprofloxacin 250mg Tab,02247339,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Co Ciprofloxacin 750mg Tab,02247341,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Co Ciprofloxacin 500mg Tab,02247340,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Jamp-Ciprofloxacin 500mg Tab,02380366,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Jamp-Ciprofloxacin 250mg Tab,02380358,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Jamp-Ciprofloxacin 750mg Tab,02380374,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Mar-Ciprofloxacin 250mg Tab,02379686,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Mar-Ciprofloxacin 750mg Tab,02379708,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Mar-Ciprofloxacin 500mg Tab,02379694,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Mint-Ciproflox 750mg Tab,02423588,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Mint-Ciproflox 250mg Tab,02423553,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Mint-Ciproflox 500mg Tab,02423561,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Nora Pharma,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,NRA-Ciprofloxacin 500mg Tab,02492008,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,PMS-Ciprofloxacin 750mg Tab,02248439,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,PMS-Ciprofloxacin 250mg Tab,02248437,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,PMS-Ciprofloxacin 500mg Tab,02248438,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Ran-Ciproflox 500mg Tab,02303736,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Ran-Ciproflox 750mg Tab,02303744,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Ran-Ciproflox 250mg Tab,02303728,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ratiopharm Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Ratio-Ciprofloxacin 500mg Tab,02246826,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ratiopharm Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Ratio-Ciprofloxacin 250mg Tab,02246825,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Ratiopharm Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Ratio-Ciprofloxacin 750mg Tab,02246827,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Sandoz Ciprofloxacin 500mg Tab,02248757,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Sandoz Ciprofloxacin 250mg Tab,02248756,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Sandoz Ciprofloxacin 750mg Tab,02248758,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Septa Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Septa-Ciprofloxacin 250mg Tab,02379627,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Septa Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.99,REIMBURSABLE WITH COPAY,0.92,0.07,Septa-Ciprofloxacin 750mg Tab,02379643,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Septa Pharmaceuticals Inc.,,CIPROFLOXACIN,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Septa-Ciprofloxacin 500mg Tab,02379635,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,CIPROFLOXACIN,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Teva-Ciprofloxacin 250mg Tab,02161737,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,CIPROFLOXACIN AND DEXAMETHASONE,,34.53,REIMBURSABLE WITH COPAY,14.42,20.11,Ciprodex 0.3% w/v & 0.1% w/v Otic Susp-7.5mL Pk (With Preservative),02252716,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,CIPROFLOXACIN AND DEXAMETHASONE,,15.57,REIMBURSABLE WITH COPAY,14.42,1.15,Sandoz Ciprofloxacin/Dexamethasone 0.3% w/v & 0.1% w/v Otic Susp-7.5mL Pk (With Preservative),02506882,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,CIPROFLOXACIN AND DEXAMETHASONE,,15.57,REIMBURSABLE WITH COPAY,14.42,1.15,Taro-Ciprofloxacin/Dexamethasone 0.3% w/v & 0.1% w/v Otic Susp-7.5mL Pk (With Preservative),02481901,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,"Bayer Inc., Consumer Care Division",,CIPROFLOXACIN HCL & CIPROFLOXACIN BASE,,,NON REIMBURSABLE,,,Cipro XL (Not a Benefit) 500mg ER Tab,02247916,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,CIPROFLOXACIN HCL & CIPROFLOXACIN BASE,,2.50,REIMBURSABLE WITH COPAY,2.31,0.18,PMS-Ciprofloxacin XL 500mg ER Tab,02416433,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Accel Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Accel Citalopram Tablets 40mg Tab,02355264,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Accel Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Accel Citalopram Tablets 20mg Tab,02355256,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Apo-Citalopram 20mg Tab,02246056,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Apo-Citalopram 40mg Tab,02246057,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Auro-Citalopram 20mg Tab,02275562,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Auro-Citalopram 40mg Tab,02275570,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,CellChem Pharmaceuticals Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,CCP-Citalopram 40mg Tab,02459922,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,CellChem Pharmaceuticals Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,CCP-Citalopram 20mg Tab,02459914,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Lundbeck Canada Inc.,,CITALOPRAM HYDROBROMIDE,,1.99,REIMBURSABLE WITH COPAY,0.13,1.85,Celexa 20mg Tab,02239607,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Lundbeck Canada Inc.,,CITALOPRAM HYDROBROMIDE,,1.99,REIMBURSABLE WITH COPAY,0.13,1.85,Celexa 40mg Tab,02239608,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Lundbeck Canada Inc.,,CITALOPRAM HYDROBROMIDE,,,NON REIMBURSABLE,,,Celexa (Off-Formulary Interchangeable) 10mg Tab,02239606,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 40mg Tab,02430568,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 20mg Tab,02387956,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 20mg Tab,02430541,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 20mg Tab,02353660,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 40mg Tab,02387964,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,CITALOPRAM HYDROBROMIDE,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Citalopram (Off-Formulary Interchangeable) 10mg Tab,02387948,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Citalopram 40mg Tab,02353679,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CITALOPRAM HYDROBROMIDE,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,Citalopram (Off-Formulary Interchangeable) 10mg Tab,02430517,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Co Citalopram 40mg Tab,02248051,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Co Citalopram 20mg Tab,02248050,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Jamp-Citalopram 40mg Tab,02313413,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,Jamp-Citalopram 20mg Tab,02313405,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.48,REIMBURSABLE WITH COPAY,0.45,0.04,M-Citalopram (Off-Formulary Interchangeable) 10mg Tab,02532123,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,CITALOPRAM HYDROBROMIDE,,0.14,REIMBURSABLE WITH COPAY,0.13,0.01,M-Citalopram 40mg Tab,02467844,UNIT,YES,NO,NO,CAD,NORTH AMERICA
