row_index,DIN,flags,ai_confidence,ai_note,before_Product Group,after_Product Group,before_Marketing Authority,after_Marketing Authority,before_Ex Factory Wholesale Price,after_Ex Factory Wholesale Price,before_Unit Price,after_Unit Price,before_Fill Size,after_Fill Size
8978,99113920,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,Only Product Group and Format token extracted; other fields are unavailable.,,,,,,,,,,
8979,99100163,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group inferred from the generic name; marketing authority not available.,,ÉRYTHROMYCINE,,,,,,,,2
8980,99100435,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Brand identified; manufacturer information not available.,,GOUDRON MINÉRAL,,,,,,,,1
8981,00897361,BOTH_PRICES_BLANK,0.700,Extracted product group from the generic name; no clear marketing authority available.,Lorsqu'aucun prix n'est,GOUDRON MINÉRAL,"indiqué, le pharmacien peut acheter","indiqué, le pharmacien peut acheter",,,,,,25
8982,00908169,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Extracted brand and manufacturer from generic name and strength.,,GOUDRON VÉGÉTAL,,HYDROCORTISONE,,,,,,100
8983,00900761,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group and marketing authority extracted from the snippet; prices are missing.,,HYDROCORTISONE,,ACÉTATE D',,,,,,5
8984,00906689,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group and format token from snippet; marketing authority and prices are not available.,,HYDROCORTISONE,,null,,,,,,10
8985,99100776,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product Group is inferred as GENERIC from the product name.,,GENERIC,,,,,,,,1
8986,00903256,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group and manufacturer extracted; price fields and exact format count might be incomplete.,,MÉTHADONE,,FABRICANT,,,,,,500
8987,00907561,"PRODUCT_GROUP_BLANK,BOTH_PRICES_BLANK",0.900,Extracted brand and manufacturer from provided snippet. The costs and unit price were not provided.,,MÉTHADONE,Méthadone,Méthadone,,,,,,1
8988,99100428,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"The product group is inferred as 'GENERIC' from the presence of 'MÉTRONIDAZOLE', but marketing authority is missing.",,GENERIC,,,,,,,,1
8989,99004518,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product group can be inferred from the generic name, marketing authority and price information are not available.",,,,,,,,,,
8990,99113740,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group inferred from the generic name; marketing authority not visible.,,GENERIC,,,,,,,,1
8991,99114476,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Generic name is provided, but marketing authority is missing.",,,,,,,,,,
8992,99114478,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Extracted brand from generic name; prices are missing.,,PYRIDOXINE,,,,,,,,100
8993,00901164,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Partial data available; missing key pricing and marketing authority information.,,,,,,,,,,
8994,99101236,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Only Product Group and Format token extracted from visible information.,,SOUFRE (COLLOÏDAL),,,,,,,,100
8995,00901725,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Extracted brand and format information consistent with snippet.,,SOUFRE,,FABRICANT,,,,,,50
8996,00901733,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product group inferred as generic, marketing authority not available.",,GENERIC,,null,,,,,,500
8997,00896217,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group and format token extracted from the snippet.,,SOUFRE,,null,,,,,,125
8998,99100176,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Product group and marketing authority values were not available in the snippet.,,VANCOMYCINE,,null,,,,,,1
8999,99001500,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group is the generic name; missing marketing authority and prices.,,ACIDE CITRIQUE,,,,,,,,50
9000,99005077,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Extracted the product group from the generic name, format token as it is visible. Other fields are not visible in the snippet.",,,,,,,,,,
9001,99114269,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,"Product group extracted from the generic name, other fields are missing.",,,,,,,,,,
9002,99101014,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only the product group was identifiable; manufacturer and other fields are missing.,,,,,,,,,,
9003,99100058,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group identified from the generic name; marketing authority not specified.,,BICARBONATE DE SODIUM,,,,,,,,100
9004,99100673,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group detected from 'BOUTEILLE POUR LAVEMENT'. Other fields are blank.,,BOUTEILLE POUR LAVEMENT,,null,,,,,,25
9005,99114270,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only the product group is derived from the generic name; other fields are missing.,,,,,,,,,,
9006,99114271,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only the product group was available in the snippet; others are missing.,,,,,,,,,,
9007,00897175,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group extracted; manufacturer and prices not available in snippet.,,CASSETTE OU SAC POUR DISPOSITIF D'ADMINISTRATION,,,,,,,,100
9008,99002248,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Manufacturer and product group inferred from generic description; specific prices and format token not available.,,,,,,,,,,
9009,99113917,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product Group inferred as 'GENERIC' from the context, but not explicitly stated in the snippet.",,,,,,,,,,
9010,99002752,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product Group is inferred as GENERIC from the snippet.,,GENERIC,,,,,,,,100
9011,99114309,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product Group assumed as GENERIC based on the generic name absence of manufacturer, and no other clear brand identified.",,GENERIC,,null,,,,,,4
9012,99002256,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.800,Product group inferred from the generic name; marketing authority not available.,,GENERIC,,,1000.0,1000.0,,,,500
9013,00921289,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,Product Group and Marketing Authority are not provided; Format token extracted from the snippet.,,,,,,,,,,
9014,00906719,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Product group inferred from generic name. Manufacturer and unit price not provided.,,EAU DISTILLÉE,,,4550.0,4550.0,,,,4550
9015,00905178,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted product group and format, but missing pricing information.",,EAU POUR INJECTION,,null,,,,,,2
9016,00905186,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group and format; other fields are missing.,,EAU POUR INJECTION (INHALOTHÉRAPIE),,,,,,,,5
9017,00906077,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted product group from generic name, format token from line 10, others blank.",,EAU POUR INJECTION,,null,,,,,,30
9018,00402257,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group from the generic name; marketing authority not specified in the snippet.,,EAU POUR INJECTION,,,,,,,,30
9019,00905445,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Extracted fields from the snippet; some data such as prices are missing.,,EAU POUR INJECTION/ PARABÈNES,,"EAU PURIFIÉE (DISTILLÉE, DÉMINÉRALISÉE OU AUTRES)",,,,,,30
9020,99101431,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group extracted, marketing authority information missing.",,EAU STÉRILE INHALOTHÉRAPIE,,,,,,,,1
9021,00920282,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product Group inferred from Generic Name; other fields are missing.,,EAU STÉRILE INHALOTHÉRAPIE,,,,,,,,3
9022,99100407,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Product group extracted as the generic name; marketing authority not available in the snippet.,,EAU STÉRILE POUR INJECTION,,,1000.0,1000.0,2000.0,2000.0,,250
9023,99002264,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,"Extracted product group and format token, but manufacturer and prices not present in the snippet.",,EAU STÉRILE POUR INJECTION,,,,,,,,5
9024,99101432,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group inferred from the context, but not explicitly stated. Manufacturer not available.",,ÉDULCORANTS,,null,,,,,,1
9025,99002353,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group identified, marketing authority not available.",,ÉTHANOL,,,,,,,,500
9026,99002388,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Fields populated based on available data; prices not present in snippet.,,,,,,,,,,
9027,99001519,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Only the product group and format token have been extracted; other fields remain blank.,,GÉLATINE (CAPSULE VIDE),,,,,,,,5
9028,00903159,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group identified as the generic name. Other fields missing.,,GLYCÉRINE,,,,,,,,100
9030,99002760,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,Extracted values based on visible content; confidence reduced due to incomplete data.,,,,,,,,,,
9031,00907448,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group inferred from generic name, manufacturer not specified.",,HUILE D'AMANDE DOUCE,,,,,,,,100
9032,00906654,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Only partial data is available; confident in generic name and format.,,HUILE MINÉRALE,,,,,,,,500
9033,00900834,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product Group extracted from generic name, marketing authority not present in the snippet.",,LACTOSE,,null,,,,,,500
9034,00902659,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,The product group and marketing authority are inferred from the snippet context.,,LARMES ARTIFICIELLES,,LARMES ARTIFICIELLES,,,,,,450
9035,00921270,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Only the product group and format token are identifiable from the snippet.,,LARMES ARTIFICIELLES,,,,,,,,15
9036,99101013,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Product group is inferred from 'GENERIC', manufacturer is not available.",,,,,,,,,,
9037,99100243,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group and format token extracted, but no prices or marketing authority available.",,MAGNÉSIUM (HYDROXYDE)/ ALUMINIUM (HYDROXYDE),,,,,,,,1
9038,99003376,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Marketing authority not available; extracted product group from generic name.,,MÉTHYLCELLULOSE,,null,,,,,,1
9039,00902365,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Extracted product group from the generic name. Format token found, other fields are blank.",,MÉTHYLCELLULOSE,,,,,,,,100
9040,99001527,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product group taken from the snippet; other fields are not provided.,,PARAFFINE MOLLE (BLANCHE),,,,,,,,500
9041,00902691,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Used available data for product group and format token; manufacturer not specified in the snippet.,,PARAFFINE MOLLE,,null,,,,,,450
9042,00902683,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,"Product Group derived from generic name, Marketing Authority not present.",,PARAFFINE MOLLE,,,,,,,,454
9043,99002272,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,Brand and manufacturer visible but prices and format are missing.,,,,,,,,,,
9044,99002280,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Product group and marketing authority are inferred as they are missing detailed information.,,,,,,,,,,
9045,00903353,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group from generic name; other fields are not present.,,PROPYLÈNEGLYCOL,,,,,,,,500
9046,99002299,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.100,Only the generic name provided; other fields are blank.,,,,,,,,,,
9047,99002302,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,Only product group is available; other fields are missing.,,,,,,,,,,
9048,00905038,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Extracted product group as Generic Name; marketing authority information is not available.,,SIROP SIMPLE,,,,,,,,500
9049,99001535,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Product Group inferred from generic name; other fields are not available.,,ADJUVANT,,null,,,,,,100
9050,99002310,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK",0.900,Extracted the Product Group and Format token. Manufacturer information is not available.,,SODIUM (CHLORURE DE),,,1000.0,1000.0,,,,500
9051,00921300,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.500,"Extracted product group from generic name, but marketing authority and prices are unavailable.",,,,,,,,,,
9052,99002329,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.700,Extracted product group and format token from the snippet; other fields are missing.,,SODIUM (CHLORURE DE),,,,,,,,5
9053,99101482,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Manufacturer and format are inferred from the generic name and format.,,SODIUM (CHLORURE DE),,INHALOTHÉRAPIE,,,,,,3
9054,99002779,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,Product group identified from the context; other fields not available.,,SORBITOL,,,,,,,,100
9055,99000555,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product group derived from generic name, other fields are missing.",,SORBITOL,,,,,,,,100
9056,99002361,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.900,Extracted product group and format token from the snippet; manufacturer inferred as generic.,,VÉHICULE HUILEUX,,GENERIC,,,,,,100
9057,99101192,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.600,Product group extracted from Generic Name; other fields are missing.,,,,,,,,,,
9058,99101222,"PRODUCT_GROUP_BLANK,MARKETING_AUTHORITY_BLANK,BOTH_PRICES_BLANK",0.800,"Product Group extracted from Generic Name, other fields are missing or not applicable.",,VÉHICULES POUR SUSPENSION ORALE,,,,,,,,250
