DIN,Product,Manufacturer,Format,Cost,UnitPrice
02303027,ACT,Clopidogrel Teva Can,30,7.89,0.2631
02431971,AG-Clopidogrel,Angita,30,7.89,0.2631
02252767,Apo-Clopidogrel,Apotex,30,7.89,0.2631
02416387,Auro-Clopidogrel,AuroPharma,30,7.89,0.2631
02444895,Bio-Clopidogrel,Biomed,30,7.89,0.2631
02394820,Clopidogrel,Pro Doc,30,7.89,0.2631
02400553,Clopidogrel,Sanis,500,131.55,0.2631
02385813,Clopidogrel,Sivem,30,7.89,0.2631
02415550,Jamp-Clopidogrel,Jamp,30,7.89,0.2631
02422255,Mar-Clopidogrel,Marcan,100,26.31,0.2631
02502283,M-Clopidogrel,Mantra Ph.,30,7.89,0.2631
02408910,Mint-Clopidogrel,Mint,500,131.55,0.2631
02482037,NRA-Clopidogrel,Nora,30,7.89,0.2631
02238682,Plavix,SanofiAven,28,74.23,2.6511
02348004,Pms-Clopidogrel,Phmscience,30,7.89,0.2631
02388529,Riva-Clopidogrel,Riva,30,7.89,0.2631
02359316,Sandoz,Clopidogrel Sandoz,100,26.31,0.2631
02379813,Taro-Clopidogrel,Sun Pharma,100,26.31,0.2631
02293161,Teva,Clopidogrel Teva Can,30,7.89,0.2631
02485591,Nivestym,Pfizer,10,1385.38,138.5376
02485656,Nivestym,Pfizer,10,2216.64,221.6640
02441489,Grastofil,Apotex,1,138.53,138.5300
02485575,Nivestym,Pfizer,1,138.54,138.5400
02520990,Nypozi,Tanvex,1,138.53,138.5300
02454548,Grastofil,Apotex,1,221.66,221.6600
02485583,Nivestym,Pfizer,1,221.66,221.6600
02521008,Nypozi,Tanvex,1,221.66,221.6600
02484153,Fulphila,Biocon,1,492.00,492.0000
02474565,Lapelga,Apotex,1,492.00,492.0000
02546973,Niopeg,Nora,1,492.00,492.0000
02506238,Nyvepria,Pfizer,1,1375.00,1375.0000
02497395,Ziextenzo,Sandoz,1,492.00,492.0000
02529343,Lapelga,Apotex,1,1375.00,1375.0000
02401231,Acide,Tranexamique Sterimax,100,29.67,0.2967
02064405,Cyklokapron,Pfizer,100,102.48,1.0248
02496232,Mar-Tranexamic,Acid Marcan,100,29.67,0.2967
02549395,M-Tranexamic,Acid Mantra Ph.,100,29.67,0.2967
02519194,Tranexamic,Acide Jamp,100,29.67,0.2967
02292173,pms-Amiodarone,Phmscience,100,67.76,0.6776
02364336,Amiodarone,Sanis,100,37.06,0.3706
02385465,Amiodarone,Sivem,100,37.06,0.3706
02246194,Apo-Amiodarone,Apotex,100,37.06,0.3706
02531844,JAMP,Amiodarone Jamp,100,37.06,0.3706
02242472,pms-Amiodarone,Phmscience,100,37.06,0.3706
02309661,Pro-Amiodarone-200,Pro Doc,100,37.06,0.3706
02247217,Riva-Amiodarone,Riva,100,37.06,0.3706
02243836,Sandoz,Amiodarone Sandoz,100,37.06,0.3706
02239835,Teva-Amiodarone,Teva Can,100,37.06,0.3706
02224801,Rythmodan,Cheplaphar,84,18.93,0.2254
02516063,AG-Flecainide,Angita,100,13.89,0.1389
02459957,Auro-Flecainide,AuroPharma,100,13.89,0.1389
02275538,Flecainide,Apotex,100,13.89,0.1389
02534800,Flecainide,Sanis,100,13.89,0.1389
02493705,Jamp,Flecainide Jamp,100,13.89,0.1389
02476177,Mar-Flecainide,Marcan,100,13.89,0.1389
02530066,NRA-Flecainide,Nora,100,13.89,0.1389
02516071,AG-Flecainide,Angita,100,27.79,0.2779
02459965,Auro-Flecainide,AuroPharma,100,27.79,0.2779
02275546,Flecainide,Apotex,100,27.79,0.2779
02534819,Flecainide,Sanis,100,27.79,0.2779
02493713,Jamp,Flecainide Jamp,100,27.79,0.2779
02476185,Mar-Flecainide,Marcan,100,27.79,0.2779
02530074,NRA-Flecainide,Nora,100,27.79,0.2779
02536846,Mint-Mexiletine,Mint,100,73.46,0.7346
02230359,Teva-Mexiletine,Teva Can,100,73.46,0.7346
02536854,Mint-Mexiletine,Mint,100,98.37,0.9837
02230360,Teva-Mexiletine,Teva Can,100,98.37,0.9837
02243324,Apo-Propafenone,Apotex,100,63.06,0.6306
02457172,Mylan-Propafenone,Mylan,100,63.06,0.6306
00603708,Rythmol,BGP Pharma,100,94.10,0.9410
02243325,Apo-Propafenone,Apotex,100,111.16,1.1116
02457164,Mylan-Propafenone,Mylan,100,111.16,1.1116
00603716,Rythmol,BGP Pharma,100,165.86,1.6586
02498502,Jamp,Digoxin Jamp,100,18.50,0.1850
02335700,pms-Digoxin,Phmscience,250,46.25,0.1850
02498510,Jamp,Digoxin Jamp,100,17.51,0.1751
02335719,pms-Digoxin,Phmscience,250,43.78,0.1751
02455609,Cholestyramine-Odan,Odan,30,27.65,0.9217
02478595,Jamp-Cholestyramine,Jamp,30,27.65,0.9217
02210320,Olestyr,Phmscience,30,27.65,0.9217
00642975,Colestid,Pfizer,30,25.85,0.8617
02425610,ACH-Ezetimibe,Accord,30,5.43,0.1811
02475898,AG-Ezetimibe,Angita,30,5.43,0.1811
02427826,Apo-Ezetimibe,Apotex,30,5.43,0.1811
02469286,Auro-Ezetimibe,AuroPharma,30,5.43,0.1811
02425211,Bio-Ezetimibe,Biomed,30,5.43,0.1811
02422549,Ezetimibe,Pro Doc,30,5.43,0.1811
02478544,Ezetimibe,Riva,30,5.43,0.1811
02431300,Ezetimibe,Sanis,100,18.11,0.1811
02429659,Ezetimibe,Sivem,30,5.43,0.1811
02247521,Ezetrol,Organon,30,52.20,1.7400
02460750,GLN-Ezetimide,Glenmark,100,18.11,0.1811
02423235,Jamp-Ezetimibe,Jamp,30,5.43,0.1811
02422662,Mar-Ezetimibe,Marcan,100,18.11,0.1811
02467437,M-Ezetimibe,Mantra Ph.,30,5.43,0.1811
02423243,Mint-Ezetimibe,Mint,100,18.11,0.1811
02536420,NRA-Ezetimibe,Tablets Nora,30,5.43,0.1811
02481669,NRA-Ezetimide,Nora,30,5.43,0.1811
02416409,pms-Ezetimibe,Phmscience,30,5.43,0.1811
02425238,Priva-Ezetimide,Nora,30,5.43,0.1811
02419548,Ran-Ezetimibe,Ranbaxy,100,18.11,0.1811
02416778,Sandoz,Ezetimibe Sandoz,30,5.43,0.1811
02354101,Teva-Ezetimibe,Teva Can,30,5.43,0.1811
02083523,Bezalip,S.R. Aralez,30,15.21,0.5069
02453312,Jamp-Bezafibrate,SR Jamp,30,15.21,0.5069
02246859,AA-Feno,Super AA Pharma,100,54.06,0.5406
02246860,AA-Feno,Super AA Pharma,100,27.22,0.2722
02239864,Feno-Micro (200,mg) AA Pharma,100,27.22,0.2722
02269082,Lipidil EZ (145,mg) BGP Pharma,30,32.16,1.0720
02241602,Lipidil Supra,(160 mg) Fournier,30,37.27,1.2423
02390701,Sandoz Fenofibrate,E (145 Sandoz,100,27.22,0.2722
02454696,Taro-Fenofibrate E (145,mg) Sun Pharma,100,27.22,0.2722
02269074,Lipidil,EZ BGP Pharma,30,12.56,0.4187
02390698,Sandoz,Fenofibrate E Sandoz,30,10.68,0.3560
02142074,Teva-Gemfibrozil,Teva Can,100,51.57,0.5157
02411253,Apo-Amlodipine-Atorvastatin,Apotex,100,58.02,0.5802
02273233,Caduet,BGP Pharma,90,67.96,0.7551
02362759,Mylan-Amlopdipine/,Mylan,90,52.22,0.5802
02411261,Apo-Amlodipine-Atorvastatin,Apotex,100,68.42,0.6842
02273241,Caduet,BGP Pharma,90,77.32,0.8591
02362767,Mylan-Amlopdipine/,Mylan,90,61.58,0.6842
02411288,Apo-Amlodipine-Atorvastatin,Apotex,100,72.32,0.7232
02273268,Caduet,BGP Pharma,90,80.83,0.8981
02362775,Mylan-Amlopdipine/,Mylan,90,65.09,0.7232
02411296,Apo-Amlodipine-Atorvastatin,Apotex,100,72.32,0.7232
02273276,Caduet,BGP Pharma,90,80.83,0.8981
02362783,Mylan-Amlopdipine/,Mylan,90,65.09,0.7232
02411318,Apo-Amlodipine-Atorvastatin,Apotex,100,61.25,0.6125
02273284,Caduet,BGP Pharma,90,82.75,0.9194
02362791,Mylan-Amlopdipine/,Mylan,90,55.13,0.6125
02411326,Apo-Amlodipine-Atorvastatin,Apotex,100,76.36,0.7636
02273292,Caduet,BGP Pharma,90,92.11,1.0234
02362805,Mylan-Amlopdipine/,Mylan,90,68.72,0.7636
02411334,Apo-Amlodipine-Atorvastatin,Apotex,100,80.00,0.8000
02273306,Caduet,BGP Pharma,90,95.62,1.0624
02362813,Mylan-Amlopdipine/,Mylan,90,72.00,0.8000
02411342,Apo-Amlodipine-Atorvastatin,Apotex,100,80.00,0.8000
02273314,Caduet,BGP Pharma,90,95.62,1.0624
02362821,Mylan-Amlopdipine/,Mylan,90,72.00,0.8000
02457741,ACH-Atorvastatin,Accord,90,15.69,0.1743
02478145,AG-Atorvastatin,Angita,100,17.43,0.1743
02295261,Apo-Atorvastatin,Apotex,30,5.23,0.1743
02476940,Atorvastatin,Altamed,500,87.15,0.1743
02506076,Atorvastatin,Angita,30,5.23,0.1743
02496607,Atorvastatin,Nora,500,87.15,0.1743
02346486,Atorvastatin,Pro Doc,500,87.15,0.1743
02475022,Atorvastatin,Riva,30,5.23,0.1743
02348705,Atorvastatin,Sanis,500,87.15,0.1743
02411350,Atorvastatin-10,Sivem,100,17.43,0.1743
02407256,Auro-Atorvastatin,AuroPharma,90,15.69,0.1743
02481189,Bio-Atorvastatin,Biomed,500,87.15,0.1743
02503387,Jamp,Atorvastatin Jamp,100,17.43,0.1743
02504197,Jamp,Atorvastatin Calcium Jamp,30,5.23,0.1743
02391058,Jamp-Atorvastatin,Jamp,90,15.69,0.1743
02230711,Lipitor,BGP Pharma,90,155.69,1.7299
02454017,Mar-Atorvastatin,Marcan,100,17.43,0.1743
02471167,M-Atorvastatin,Mantra Ph.,30,5.23,0.1743
02479508,Mint-Atorvastatin,Mint,500,87.15,0.1743
02392933,Mylan-Atorvastatin,Mylan,90,15.69,0.1743
02476517,NRA-Atorvastatin,Nora,30,5.23,0.1743
02477149,pms-Atorvastatin,Phmscience,100,17.43,0.1743
02507234,pmsc-Atorvastatin,Phmscience,90,15.69,0.1743
02521555,PRZ-Atorvastatin,Pharmaris,500,87.15,0.1743
02417936,Reddy-Atorvastatin,Dr Reddy's,90,15.69,0.1743
02422751,Riva-Atorvastatin,Riva,30,5.23,0.1743
02324946,Sandoz,Atorvastatin Sandoz,30,5.23,0.1743
02313707,Taro-Atorvastatin,Sun Pharma,90,15.69,0.1743
02310899,Teva-Atorvastatin,Teva Can,30,5.23,0.1743
02457768,ACH-Atorvastatin,Accord,90,19.61,0.2179
02478153,AG-Atorvastatin,Angita,100,21.79,0.2179
02295288,Apo-Atorvastatin,Apotex,30,6.54,0.2179
02476959,Atorvastatin,Altamed,500,108.95,0.2179
02506084,Atorvastatin,Angita,30,6.54,0.2179
02496615,Atorvastatin,Nora,500,108.95,0.2179
02346494,Atorvastatin,Pro Doc,500,108.95,0.2179
02475030,Atorvastatin,Riva,30,6.54,0.2179
02348713,Atorvastatin,Sanis,500,108.95,0.2179
02411369,Atorvastatin-20,Sivem,100,21.79,0.2179
02407264,Auro-Atorvastatin,AuroPharma,90,19.61,0.2179
02481197,Bio-Atorvastatin,Biomed,500,108.95,0.2179
02503395,Jamp,Atorvastatin Jamp,100,21.79,0.2179
02504200,Jamp,Atorvastatin Calcium Jamp,30,6.54,0.2179
02391066,Jamp-Atorvastatin,Jamp,90,19.61,0.2179
02230713,Lipitor,BGP Pharma,90,194.62,2.1624
02454025,Mar-Atorvastatin,Marcan,100,21.79,0.2179
02471175,M-Atorvastatin,Mantra Ph.,30,6.54,0.2179
02479516,Mint-Atorvastatin,Mint,500,108.95,0.2179
02392941,Mylan-Atorvastatin,Mylan,90,19.61,0.2179
02476525,NRA-Atorvastatin,Nora,30,6.54,0.2179
02477157,pms-Atorvastatin,Phmscience,100,21.79,0.2179
02507242,pmsc-Atorvastatin,Phmscience,90,19.61,0.2179
02521563,PRZ-Atorvastatin,Pharmaris,500,108.95,0.2179
02417944,Reddy-Atorvastatin,Dr Reddy's,90,19.61,0.2179
02422778,Riva-Atorvastatin,Riva,30,6.54,0.2179
02324954,Sandoz,Atorvastatin Sandoz,30,6.54,0.2179
02313715,Taro-Atorvastatin,Sun Pharma,90,19.61,0.2179
02310902,Teva-Atorvastatin,Teva Can,30,6.54,0.2179
02457776,ACH-Atorvastatin,Accord,90,21.08,0.2342
02478161,AG-Atorvastatin,Angita,100,23.42,0.2342
02295296,Apo-Atorvastatin,Apotex,30,7.03,0.2342
02476967,Atorvastatin,Altamed,500,117.10,0.2342
02506092,Atorvastatin,Angita,30,7.03,0.2342
02496623,Atorvastatin,Nora,500,117.10,0.2342
02346508,Atorvastatin,Pro Doc,500,117.10,0.2342
02475049,Atorvastatin,Riva,30,7.03,0.2342
02348721,Atorvastatin,Sanis,500,117.10,0.2342
02411377,Atorvastatin-40,Sivem,100,23.42,0.2342
02407272,Auro-Atorvastatin,AuroPharma,90,21.08,0.2342
02481200,Bio-Atorvastatin,Biomed,500,117.10,0.2342
02503409,Jamp,Atorvastatin Jamp,100,23.42,0.2342
02504219,Jamp,Atorvastatin Calcium Jamp,30,7.03,0.2342
02391074,Jamp-Atorvastatin,Jamp,90,21.08,0.2342
02230714,Lipitor,BGP Pharma,90,209.22,2.3247
02454033,Mar-Atorvastatin,Marcan,100,23.42,0.2342
02471183,M-Atorvastatin,Mantra Ph.,30,7.03,0.2342
02479524,Mint-Atorvastatin,Mint,500,117.10,0.2342
02392968,Mylan-Atorvastatin,Mylan,90,21.08,0.2342
02476533,NRA-Atorvastatin,Nora,30,7.03,0.2342
02477165,pms-Atorvastatin,Phmscience,100,23.42,0.2342
02507250,pmsc-Atorvastatin,Phmscience,90,21.08,0.2342
02521571,PRZ-Atorvastatin,Pharmaris,500,117.10,0.2342
02417952,Reddy-Atorvastatin,Dr Reddy's,90,21.08,0.2342
02422786,Riva-Atorvastatin,Riva,30,7.03,0.2342
02324962,Sandoz,Atorvastatin Sandoz,30,7.03,0.2342
02313723,Taro-Atorvastatin,Sun Pharma,90,21.08,0.2342
02310910,Teva-Atorvastatin,Teva Can,30,7.03,0.2342
02457784,ACH-Atorvastatin,Accord,90,21.08,0.2342
02478188,AG-Atorvastatin,Angita,100,23.42,0.2342
02295318,Apo-Atorvastatin,Apotex,30,7.03,0.2342
02476975,Atorvastatin,Altamed,100,23.42,0.2342
02506106,Atorvastatin,Angita,30,7.03,0.2342
02496631,Atorvastatin,Nora,100,23.42,0.2342
02346516,Atorvastatin,Pro Doc,30,7.03,0.2342
02475057,Atorvastatin,Riva,30,7.03,0.2342
02348748,Atorvastatin,Sanis,100,23.42,0.2342
02411385,Atorvastatin-80,Sivem,100,23.42,0.2342
02407280,Auro-Atorvastatin,AuroPharma,90,21.08,0.2342
02481219,Bio-Atorvastatin,Biomed,100,23.42,0.2342
02503417,Jamp,Atorvastatin Jamp,100,23.42,0.2342
02504235,Jamp,Atorvastatin Calcium Jamp,30,7.03,0.2342
02391082,Jamp-Atorvastatin,Jamp,90,21.08,0.2342
02243097,Lipitor,BGP Pharma,30,69.74,2.3247
02454041,Mar-Atorvastatin,Marcan,100,23.42,0.2342
02471191,M-Atorvastatin,Mantra Ph.,30,7.03,0.2342
02479532,Mint-Atorvastatin,Mint,500,117.10,0.2342
02392976,Mylan-Atorvastatin,Mylan,90,21.08,0.2342
02476541,NRA-Atorvastatin,Nora,30,7.03,0.2342
02507269,pmsc-Atorvastatin,Phmscience,90,21.08,0.2342
02521598,PRZ-Atorvastatin,Pharmaris,100,23.42,0.2342
02417960,Reddy-Atorvastatin,Dr Reddy's,90,21.08,0.2342
02422794,Riva-Atorvastatin,Riva,30,7.03,0.2342
02324970,Sandoz,Atorvastatin Sandoz,30,7.03,0.2342
02313758,Taro-Atorvastatin,Sun Pharma,90,21.08,0.2342
02310929,Teva-Atorvastatin,Teva Can,30,7.03,0.2342
02299224,Teva,Fluvastatin Teva Can,100,22.02,0.2202
02299232,Teva,Fluvastatin Teva Can,100,30.92,0.3092
02250527,Lescol,XL Novartis,28,40.01,1.4289
02220172,Lovastatin,AA Pharma,100,119.31,1.1931
02220180,Lovastatin,AA Pharma,100,217.93,2.1793
02440644,ACH-Pravastatin,Accord,100,29.16,0.2916
02476142,AG-Pravastatin,Angita,100,29.16,0.2916
02243506,Apo-Pravastatin,Apotex,30,8.75,0.2916
02458977,Auro-Pravastatin,AuroPharma,100,29.16,0.2916
02446251,Bio-Pravastatin,Biomed,100,29.16,0.2916
02330954,Jamp-Pravastatin,Jamp,30,8.75,0.2916
02432048,Mar-Pravastatin,Marcan,100,29.16,0.2916
02317451,Mint-Pravastatin,Mint,30,8.75,0.2916
02476274,M-Pravastatin,Mantra Ph.,30,8.75,0.2916
02535653,NRA-Pravastatin,Nora,100,29.16,0.2916
02247655,pms-Pravastatin,Phmscience,100,29.16,0.2916
02356546,Pravastatin,Sanis,30,8.75,0.2916
02389703,Pravastatin,Sivem,30,8.75,0.2916
02468700,Sandoz,Pravastatin Sandoz,100,29.16,0.2916
02284421,Taro-Pravastatin,Sun Pharma,30,8.75,0.2916
02247008,Teva-Pravastatin,Teva Can,30,8.75,0.2916
02440652,ACH-Pravastatin,Accord,100,34.40,0.3440
02476150,AG-Pravastatin,Angita,100,34.40,0.3440
02243507,Apo-Pravastatin,Apotex,30,10.32,0.3440
02458985,Auro-Pravastatin,AuroPharma,100,34.40,0.3440
02446278,Bio-Pravastatin,Biomed,100,34.40,0.3440
02330962,Jamp-Pravastatin,Jamp,30,10.32,0.3440
02432056,Mar-Pravastatin,Marcan,100,34.40,0.3440
02317478,Mint-Pravastatin,Mint,30,10.32,0.3440
02476282,M-Pravastatin,Mantra Ph.,30,10.32,0.3440
02535661,NRA-Pravastatin,Nora,100,34.40,0.3440
02247656,pms-Pravastatin,Phmscience,100,34.40,0.3440
02356554,Pravastatin,Sanis,30,10.32,0.3440
02389738,Pravastatin,Sivem,30,10.32,0.3440
02468719,Sandoz,Pravastatin Sandoz,100,34.40,0.3440
02284448,Taro-Pravastatin,Sun Pharma,30,10.32,0.3440
02247009,Teva-Pravastatin,Teva Can,30,10.32,0.3440
02440660,ACH-Pravastatin,Accord,100,41.43,0.4143
02476169,AG-Pravastatin,Angita,100,41.43,0.4143
02243508,Apo-Pravastatin,Apotex,30,12.43,0.4143
02458993,Auro-Pravastatin,AuroPharma,100,41.43,0.4143
02446286,Bio-Pravastatin,Biomed,100,41.43,0.4143
02330970,Jamp-Pravastatin,Jamp,30,12.43,0.4143
02432064,Mar-Pravastatin,Marcan,100,41.43,0.4143
02317486,Mint-Pravastatin,Mint,30,12.43,0.4143
02476290,M-Pravastatin,Mantra Ph.,30,12.43,0.4143
02535688,NRA-Pravastatin,Nora,100,41.43,0.4143
02247657,pms-Pravastatin,Phmscience,100,41.43,0.4143
02356562,Pravastatin,Sanis,30,12.43,0.4143
02389746,Pravastatin,Sivem,30,12.43,0.4143
02468727,Sandoz,Pravastatin Sandoz,100,41.43,0.4143
02284456,Taro-Pravastatin,Sun Pharma,30,12.43,0.4143
02247010,Teva-Pravastatin,Teva Can,30,12.43,0.4143
02438917,ACH-Rosuvastatin,Accord,90,11.55,0.1283
02477033,AG-Rosuvastatin,Angita,100,12.83,0.1283
02500132,AG-Rosuvastatin,Calcium Angita,30,3.85,0.1283
02337975,Apo-Rosuvastatin,Apotex,30,3.85,0.1283
02442574,Auro-Rosuvastatin,AuroPharma,30,3.85,0.1283
02444968,Bio-Rosuvastatin,Biomed,90,11.55,0.1283
02265540,Crestor,AZC,30,38.70,1.2900
02498332,Jamp,Rosuvastatin Calcium Jamp,30,3.85,0.1283
02391252,Jamp-Rosuvastatin,Jamp,100,12.83,0.1283
02413051,Mar-Rosuvastatin,Marcan,30,3.85,0.1283
02399164,Med-Rosuvastatin,GMP,30,3.85,0.1283
02397781,Mint-Rosuvastatin,Mint,100,12.83,0.1283
02496534,M-Rosuvastatin,Mantra Ph.,30,3.85,0.1283
02477483,NRA-Rosuvastatin,Nora,500,64.15,0.1283
02536595,NRA-Rosuvastatin,Nora,30,3.85,0.1283
02378523,pms-Rosuvastatin,Phmscience,30,3.85,0.1283
02505576,PRZ-Rosuvastatin,Pharmaris,90,11.55,0.1283
02380013,Riva-Rosuvastatin,Riva,30,3.85,0.1283
02496054,Rosuvastatin,Nora,500,64.15,0.1283
02381176,Rosuvastatin,Pro Doc,30,3.85,0.1283
02405628,Rosuvastatin,Sanis,100,12.83,0.1283
02411628,Rosuvastatin,Sivem,30,3.85,0.1283
02338726,Sandoz,Rosuvastatin Sandoz,30,3.85,0.1283
02382644,Taro-Rosuvastatin,Sun Pharma,100,12.83,0.1283
02354608,Teva,Rosuvastatin Teva Can,30,3.85,0.1283
02438925,ACH-Rosuvastatin,Accord,90,12.18,0.1353
02477041,AG-Rosuvastatin,Angita,100,13.53,0.1353
02500140,AG-Rosuvastatin,Calcium Angita,30,4.06,0.1353
02337983,Apo-Rosuvastatin,Apotex,30,4.06,0.1353
02442582,Auro-Rosuvastatin,AuroPharma,30,4.06,0.1353
02444976,Bio-Rosuvastatin,Biomed,90,12.18,0.1353
02247162,Crestor,AZC,30,40.80,1.3600
02498340,Jamp,Rosuvastatin Calcium Jamp,30,4.06,0.1353
02391260,Jamp-Rosuvastatin,Jamp,100,13.53,0.1353
02413078,Mar-Rosuvastatin,Marcan,30,4.06,0.1353
02399172,Med-Rosuvastatin,GMP,30,4.06,0.1353
02397803,Mint-Rosuvastatin,Mint,100,13.53,0.1353
02496542,M-Rosuvastatin,Mantra Ph.,30,4.06,0.1353
02477491,NRA-Rosuvastatin,Nora,500,67.65,0.1353
02536609,NRA-Rosuvastatin,Nora,30,4.06,0.1353
02378531,pms-Rosuvastatin,Phmscience,30,4.06,0.1353
02505584,PRZ-Rosuvastatin,Pharmaris,90,12.18,0.1353
02380056,Riva-Rosuvastatin,Riva,30,4.06,0.1353
02496089,Rosuvastatin,Nora,500,67.65,0.1353
02381184,Rosuvastatin,Pro Doc,30,4.06,0.1353
02405636,Rosuvastatin,Sanis,500,67.65,0.1353
02411636,Rosuvastatin,Sivem,30,4.06,0.1353
02338734,Sandoz,Rosuvastatin Sandoz,30,4.06,0.1353
02382652,Taro-Rosuvastatin,Sun Pharma,100,13.53,0.1353
02354616,Teva,Rosuvastatin Teva Can,30,4.06,0.1353
02438933,ACH-Rosuvastatin,Accord,90,15.23,0.1692
02477068,AG-Rosuvastatin,Angita,100,16.92,0.1692
02500159,AG-Rosuvastatin,Calcium Angita,30,5.08,0.1692
02337991,Apo-Rosuvastatin,Apotex,30,5.08,0.1692
02442590,Auro-Rosuvastatin,AuroPharma,30,5.08,0.1692
02444984,Bio-Rosuvastatin,Biomed,90,15.23,0.1692
02247163,Crestor,AZC,30,51.00,1.7000
02498359,Jamp,Rosuvastatin Calcium Jamp,30,5.08,0.1692
02391279,Jamp-Rosuvastatin,Jamp,100,16.92,0.1692
02413086,Mar-Rosuvastatin,Marcan,30,5.08,0.1692
02399180,Med-Rosuvastatin,GMP,30,5.08,0.1692
02397811,Mint-Rosuvastatin,Mint,100,16.92,0.1692
02496550,M-Rosuvastatin,Mantra Ph.,30,5.08,0.1692
02477505,NRA-Rosuvastatin,Nora,500,84.60,0.1692
02536625,NRA-Rosuvastatin,Nora,30,5.08,0.1692
02378558,pms-Rosuvastatin,Phmscience,30,5.08,0.1692
02505592,PRZ-Rosuvastatin,Pharmaris,90,15.23,0.1692
02380064,Riva-Rosuvastatin,Riva,30,5.08,0.1692
02496070,Rosuvastatin,Nora,500,84.60,0.1692
02381192,Rosuvastatin,Pro Doc,30,5.08,0.1692
02405644,Rosuvastatin,Sanis,500,84.60,0.1692
02411644,Rosuvastatin,Sivem,30,5.08,0.1692
02338742,Sandoz,Rosuvastatin Sandoz,30,5.08,0.1692
02382660,Taro-Rosuvastatin,Sun Pharma,100,16.92,0.1692
02354624,Teva,Rosuvastatin Teva Can,30,5.08,0.1692
02438941,ACH-Rosuvastatin,Accord,90,17.91,0.1990
02477076,AG-Rosuvastatin,Angita,100,19.90,0.1990
02500167,AG-Rosuvastatin,Calcium Angita,30,5.97,0.1990
02338009,Apo-Rosuvastatin,Apotex,30,5.97,0.1990
02442604,Auro-Rosuvastatin,AuroPharma,30,5.97,0.1990
02444992,Bio-Rosuvastatin,Biomed,90,17.91,0.1990
02247164,Crestor,AZC,30,59.70,1.9900
02498367,Jamp,Rosuvastatin Calcium Jamp,30,5.97,0.1990
02391287,Jamp-Rosuvastatin,Jamp,100,19.90,0.1990
02413108,Mar-Rosuvastatin,Marcan,30,5.97,0.1990
02399199,Med-Rosuvastatin,GMP,30,5.97,0.1990
02397838,Mint-Rosuvastatin,Mint,100,19.90,0.1990
02496569,M-Rosuvastatin,Mantra Ph.,30,5.97,0.1990
02477513,NRA-Rosuvastatin,Nora,500,99.50,0.1990
02536633,NRA-Rosuvastatin,Nora,30,5.97,0.1990
02378566,pms-Rosuvastatin,Phmscience,30,5.97,0.1990
02505606,PRZ-Rosuvastatin,Pharmaris,90,17.91,0.1990
02380102,Riva-Rosuvastatin,Riva,30,5.97,0.1990
02381206,Rosuvastatin,Pro Doc,30,5.97,0.1990
02405652,Rosuvastatin,Sanis,100,19.90,0.1990
02411652,Rosuvastatin,Sivem,30,5.97,0.1990
02338750,Sandoz,Rosuvastatin Sandoz,30,5.97,0.1990
02382679,Taro-Rosuvastatin,Sun Pharma,100,19.90,0.1990
02354632,Teva,Rosuvastatin Teva Can,30,5.97,0.1990
02480050,AG-Simvastatin,Angita,100,10.23,0.1023
02247011,Apo-Simvastatin,Apotex,100,10.23,0.1023
02405148,Auro-Simvastatin,AuroPharma,100,10.23,0.1023
02375591,Jamp-Simvastatin,Jamp,100,10.23,0.1023
02375036,Mar-Simvastatin,Marcan,100,10.23,0.1023
02372932,Mint-Simvastatin,Mint,100,10.23,0.1023
02469979,Pharma-Simvastatin,Phmscience,30,3.07,0.1023
02284723,Simvastatin,Sanis,100,10.23,0.1023
02386291,Simvastatin,Sivem,100,10.23,0.1023
02329131,Taro-Simvastatin,Sun Pharma,100,10.23,0.1023
02250144,Teva-Simvastatin,Teva Can,30,3.07,0.1023
02480069,AG-Simvastatin,Angita,100,20.23,0.2023
02247012,Apo-Simvastatin,Apotex,30,6.07,0.2023
02405156,Auro-Simvastatin,AuroPharma,100,20.23,0.2023
02375605,Jamp-Simvastatin,Jamp,30,6.07,0.2023
02375044,Mar-Simvastatin,Marcan,100,20.23,0.2023
02372940,Mint-Simvastatin,Mint,100,20.23,0.2023
02469987,Pharma-Simvastatin,Phmscience,100,20.23,0.2023
02284731,Simvastatin,Sanis,100,20.23,0.2023
02386305,Simvastatin,Sivem,30,6.07,0.2023
02247221,Simvastatin-10,Pro Doc,30,6.07,0.2023
02329158,Taro-Simvastatin,Sun Pharma,30,6.07,0.2023
02250152,Teva-Simvastatin,Teva Can,30,6.07,0.2023
00884332,Zocor,Organon,28,54.41,1.9432
02480077,AG-Simvastatin,Angita,100,25.01,0.2501
02247013,Apo-Simvastatin,Apotex,30,7.50,0.2501
02405164,Auro-Simvastatin,AuroPharma,100,25.01,0.2501
02375613,Jamp-Simvastatin,Jamp,30,7.50,0.2501
02375052,Mar-Simvastatin,Marcan,100,25.01,0.2501
02372959,Mint-Simvastatin,Mint,100,25.01,0.2501
02469995,Pharma-Simvastatin,Phmscience,100,25.01,0.2501
02284758,Simvastatin,Sanis,100,25.01,0.2501
02386313,Simvastatin,Sivem,30,7.50,0.2501
02247222,Simvastatin-20,Pro Doc,30,7.50,0.2501
02329166,Taro-Simvastatin,Sun Pharma,30,7.50,0.2501
02250160,Teva-Simvastatin,Teva Can,30,7.50,0.2501
00884340,Zocor,Organon,28,67.71,2.4182
